name,prefix,seed,dim,cluster_loss_weight,dip_merge_threshold,embedding_size,n_clusters_init,max_n_clusters,ari,nmi,sum
DipDECK,high_data,2,2,1,0.75,2,2,10,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,2,15,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,2,20,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,2,25,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,2,30,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,2,35,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.75,2,5,10,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,5,15,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,5,20,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,5,25,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,5,30,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,5,35,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.75,2,7,10,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,7,15,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,7,20,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,7,25,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,7,30,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,7,35,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.75,2,10,15,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.75,2,10,20,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.75,2,10,25,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.75,2,10,30,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.75,2,10,35,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.75,2,15,20,0.3193515435893686,0.459467647546021,0.7788191911353897
DipDECK,high_data,2,2,1,0.75,2,15,25,0.3193515435893686,0.459467647546021,0.7788191911353897
DipDECK,high_data,2,2,1,0.75,2,15,30,0.3193515435893686,0.459467647546021,0.7788191911353897
DipDECK,high_data,2,2,1,0.75,2,15,35,0.3193515435893686,0.459467647546021,0.7788191911353897
DipDECK,high_data,2,2,1,0.8,2,2,10,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,2,15,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,2,20,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,2,25,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,2,30,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,2,35,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.8,2,5,10,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,5,15,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,5,20,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,5,25,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,5,30,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,5,35,0.1881985920718971,0.40635284380392966,0.5945514358758268
DipDECK,high_data,2,2,1,0.8,2,7,10,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,7,15,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,7,20,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,7,25,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,7,30,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,7,35,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.8,2,10,15,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.8,2,10,20,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.8,2,10,25,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.8,2,10,30,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.8,2,10,35,0.4347468687777235,0.5587461737282202,0.9934930425059437
DipDECK,high_data,2,2,1,0.8,2,15,20,0.47101629815042784,0.6033625647180272,1.074378862868455
DipDECK,high_data,2,2,1,0.8,2,15,25,0.47101629815042784,0.6033625647180272,1.074378862868455
DipDECK,high_data,2,2,1,0.8,2,15,30,0.47101629815042784,0.6033625647180272,1.074378862868455
DipDECK,high_data,2,2,1,0.8,2,15,35,0.47101629815042784,0.6033625647180272,1.074378862868455
DipDECK,high_data,2,2,1,0.85,2,2,10,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,2,15,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,2,20,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,2,25,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,2,30,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,2,35,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.85,2,5,10,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,5,15,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,5,20,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,5,25,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,5,30,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,5,35,0.19698776954801658,0.41048363673799715,0.6074714062860137
DipDECK,high_data,2,2,1,0.85,2,7,10,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,7,15,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,7,20,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,7,25,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,7,30,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,7,35,0.4421150434755074,0.5354906011579036,0.9776056446334109
DipDECK,high_data,2,2,1,0.85,2,10,15,0.325556348522279,0.5215195513837222,0.8470758999060012
DipDECK,high_data,2,2,1,0.85,2,10,20,0.325556348522279,0.5215195513837222,0.8470758999060012
DipDECK,high_data,2,2,1,0.85,2,10,25,0.325556348522279,0.5215195513837222,0.8470758999060012
DipDECK,high_data,2,2,1,0.85,2,10,30,0.325556348522279,0.5215195513837222,0.8470758999060012
DipDECK,high_data,2,2,1,0.85,2,10,35,0.325556348522279,0.5215195513837222,0.8470758999060012
DipDECK,high_data,2,2,1,0.85,2,15,20,0.387808013769213,0.5333943968412731,0.9212024106104861
DipDECK,high_data,2,2,1,0.85,2,15,25,0.387808013769213,0.5333943968412731,0.9212024106104861
DipDECK,high_data,2,2,1,0.85,2,15,30,0.387808013769213,0.5333943968412731,0.9212024106104861
DipDECK,high_data,2,2,1,0.85,2,15,35,0.387808013769213,0.5333943968412731,0.9212024106104861
DipDECK,high_data,2,2,1,0.9,2,2,10,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.9,2,2,15,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.9,2,2,20,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.9,2,2,25,0.16384755628305156,0.35076959653841916,0.5146171528214707
DipDECK,high_data,2,2,1,0.9,2,2,30,0.16384755628305156,0.35076959653841916,0.5146171528214707
