name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,high_data,1,2,10,0.1,2,0.34390685550626565,0.5119938048693208,0.8559006603755864
DEC,high_data,1,2,10,0.2,2,0.3448886177096511,0.5127671858119417,0.8576558035215929
DEC,high_data,1,2,10,0.3,2,0.3625480541430609,0.5112875917216612,0.8738356458647221
DEC,high_data,1,2,10,0.4,2,0.3470643378111534,0.5094065752642541,0.8564709130754076
DEC,high_data,1,2,10,0.5,2,0.3394350718424841,0.4941375307808224,0.8335726026233066
DEC,high_data,1,2,10,0.6,2,0.33440784367393583,0.5025195843795998,0.8369274280535356
DEC,high_data,1,2,10,0.7,2,0.3480695991553332,0.506252602644532,0.8543222017998652
DEC,high_data,1,2,10,0.8,2,0.3504709830319592,0.5093448985315349,0.8598158815634941
DEC,high_data,1,2,10,0.9,2,0.325384155581641,0.49777904399508116,0.8231631995767221
DEC,high_data,1,2,10,1,2,0.28297192632866053,0.484625033740156,0.7675969600688165
DEC,high_data,1,5,10,0.1,2,0.3368908421294834,0.5369774781737426,0.873868320303226
DEC,high_data,1,5,10,0.1,5,0.40450299673854323,0.6036318331910866,1.0081348299296298
DEC,high_data,1,5,10,0.2,2,0.34108379041926656,0.5016678264346005,0.8427516168538671
DEC,high_data,1,5,10,0.2,5,0.31165102183894955,0.5606940746971982,0.8723450965361478
DEC,high_data,1,5,10,0.3,2,0.29367170015822364,0.4434685661734717,0.7371402663316953
DEC,high_data,1,5,10,0.3,5,0.3459030813368675,0.5749612283473382,0.9208643096842057
DEC,high_data,1,5,10,0.4,2,0.28604348235271965,0.4536976682465585,0.7397411505992781
DEC,high_data,1,5,10,0.4,5,0.4472388904619252,0.6018647297148689,1.049103620176794
DEC,high_data,1,5,10,0.5,2,0.2993193752979829,0.457659535440467,0.7569789107384499
DEC,high_data,1,5,10,0.5,5,0.37556309895215334,0.5328441035947442,0.9084072025468976
DEC,high_data,1,5,10,0.6,2,0.2897018330581565,0.4566462042996835,0.7463480373578399
DEC,high_data,1,5,10,0.6,5,0.4676386363747997,0.617834470933828,1.0854731073086277
DEC,high_data,1,5,10,0.7,2,0.2808660098875221,0.45515376620130854,0.7360197760888306
DEC,high_data,1,5,10,0.7,5,0.39709809667273677,0.5749221845360659,0.9720202812088027
DEC,high_data,1,5,10,0.8,2,0.27314211968323254,0.4507193059780095,0.7238614256612421
DEC,high_data,1,5,10,0.8,5,0.40253502843619066,0.5773321235928064,0.979867152028997
DEC,high_data,1,5,10,0.9,2,0.275654260117416,0.4494122545550227,0.7250665146724387
DEC,high_data,1,5,10,0.9,5,0.3793056064408056,0.5378347326558639,0.9171403390966695
DEC,high_data,1,5,10,1,2,0.2922815791624915,0.45656799968888495,0.7488495788513765
DEC,high_data,1,5,10,1,5,0.3893219435923646,0.5335249369355654,0.92284688052793
DEC,high_data,1,10,10,0.1,2,0.5255359410873334,0.7167558402456655,1.242291781332999
DEC,high_data,1,10,10,0.1,5,0.7174719584250628,0.8255527508490024,1.5430247092740652
DEC,high_data,1,10,10,0.1,10,0.7002717267598998,0.842180460672596,1.5424521874324957
DEC,high_data,1,10,10,0.2,2,0.5904798656631558,0.7263209287936564,1.316800794456812
DEC,high_data,1,10,10,0.2,5,0.6679728055096757,0.7730541933809272,1.441026998890603
DEC,high_data,1,10,10,0.2,10,0.6688350659777691,0.8069107778699597,1.4757458438477289
DEC,high_data,1,10,10,0.3,2,0.5079175822952142,0.6901395216295898,1.198057103924804
DEC,high_data,1,10,10,0.3,5,0.637817994176736,0.7387973538934557,1.3766153480701917
