name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,high_data,1,2,10,10,0.5,500,0.06918370775183665,0.17494959026353407,0.2441332980153707
SCAR,high_data,1,2,10,10,0.5,1000,0.21354208968000052,0.3348350159470672,0.5483771056270678
SCAR,high_data,1,2,10,10,0.5,2000,0.14725598881008403,0.2762911031670786,0.42354709197716267
SCAR,high_data,1,2,10,10,0.5,2500,0.11516176276123773,0.24170260740405974,0.3568643701652975
SCAR,high_data,1,2,10,10,0.5,3000,0.255993514746369,0.353916237956301,0.60990975270267
SCAR,high_data,1,2,10,10,0.5,4000,0.18569309984625237,0.3570333368353836,0.542726436681636
SCAR,high_data,1,2,10,10,0.5,5000,0.2043477431728212,0.43128824451487685,0.635635987687698
SCAR,high_data,1,2,10,10,0.6,500,0.13690727805492311,0.25145824545519674,0.3883655235101199
SCAR,high_data,1,2,10,10,0.6,1000,0.2343969815367209,0.3553957148828972,0.5897926964196181
SCAR,high_data,1,2,10,10,0.6,2000,0.2677303139243318,0.4344272922286395,0.7021576061529713
SCAR,high_data,1,2,10,10,0.6,2500,0.1524657685858331,0.3379306630185895,0.4903964316044226
SCAR,high_data,1,2,10,10,0.6,3000,0.1837766158076946,0.3600124630123635,0.5437890788200581
SCAR,high_data,1,2,10,10,0.6,4000,0.1844562760938151,0.42744953735109154,0.6119058134449067
SCAR,high_data,1,2,10,10,0.6,5000,0.19477468546863827,0.38672391378532844,0.5814985992539667
SCAR,high_data,1,2,10,10,0.7,500,0.38108623038688333,0.5032332147737896,0.8843194451606728
SCAR,high_data,1,2,10,10,0.7,1000,0.21161704088888342,0.37862212377874827,0.5902391646676317
SCAR,high_data,1,2,10,10,0.7,2000,0.25484393331741295,0.439093777626687,0.6939377109441
SCAR,high_data,1,2,10,10,0.7,2500,0.18087748018350466,0.41130972719877884,0.5921872073822835
SCAR,high_data,1,2,10,10,0.7,3000,0.19448529572129855,0.4541133101253127,0.6485986058466112
SCAR,high_data,1,2,10,10,0.7,4000,0.1256798572163963,0.2585363027643896,0.3842161599807859
SCAR,high_data,1,2,10,10,0.7,5000,0.14830785558740286,0.2709624004041316,0.41927025599153445
SCAR,high_data,1,2,10,10,0.8,500,0.3314803937336924,0.5489017259988475,0.8803821197325399
SCAR,high_data,1,2,10,10,0.8,1000,0.1359624460375889,0.3693108624578535,0.5052733084954424
SCAR,high_data,1,2,10,10,0.8,2000,0.2608063549824517,0.4739019184013055,0.7347082733837572
SCAR,high_data,1,2,10,10,0.8,2500,0.21452782898599534,0.3318599161025491,0.5463877450885445
SCAR,high_data,1,2,10,10,0.8,3000,0.1816253822884621,0.34068423121752134,0.5223096135059835
SCAR,high_data,1,2,10,10,0.8,4000,0.16283981081793808,0.2879696942983988,0.4508095051163369
SCAR,high_data,1,2,10,10,0.8,5000,0.2180106223258716,0.34439641728513554,0.5624070396110071
SCAR,high_data,1,2,10,10,0.9,500,0.28388128043167077,0.5658696474703523,0.849750927902023
SCAR,high_data,1,2,10,10,0.9,1000,0.26973814965011966,0.49086097030948816,0.7605991199596078
SCAR,high_data,1,2,10,10,0.9,2000,0.16140346473793138,0.3249741227370856,0.48637758747501697
SCAR,high_data,1,2,10,10,0.9,2500,0.14229901141739545,0.28671791629308885,0.4290169277104843
SCAR,high_data,1,2,10,10,0.9,3000,0.20471059140145265,0.38925992857210173,0.5939705199735543
SCAR,high_data,1,2,10,10,0.9,4000,0.22273124965153737,0.3692323452807374,0.5919635949322748
SCAR,high_data,1,2,10,10,0.9,5000,0.30035047320160174,0.5123962853939321,0.8127467585955339
SCAR,high_data,1,2,10,15,0.5,500,0.23114794633438396,0.38981261987232035,0.6209605662067044
SCAR,high_data,1,2,10,15,0.5,1000,0.15939864277141885,0.33617496486299137,0.4955736076344102
SCAR,high_data,1,2,10,15,0.5,2000,0.2181964976911596,0.34976300019457696,0.5679594978857365
SCAR,high_data,1,2,10,15,0.5,2500,0.24564165893565051,0.3772030835301043,0.6228447424657548
SCAR,high_data,1,2,10,15,0.5,3000,0.16194476880537492,0.35082290206537387,0.5127676708707488
SCAR,high_data,1,2,10,15,0.5,4000,0.1334368957533314,0.29561137269109555,0.42904826844442695
SCAR,high_data,1,2,10,15,0.5,5000,0.16899085867295335,0.3760672382869328,0.5450580969598862
SCAR,high_data,1,2,10,15,0.6,500,0.35969078897446916,0.4987625484990787,0.8584533374735479
SCAR,high_data,1,2,10,15,0.6,1000,0.20449233905120892,0.3767102201338944,0.5812025591851033
SCAR,high_data,1,2,10,15,0.6,2000,0.20768683292688978,0.36140024860509334,0.5690870815319831
SCAR,high_data,1,2,10,15,0.6,2500,0.24021334481509807,0.4320241083025023,0.6722374531176004
SCAR,high_data,1,2,10,15,0.6,3000,0.2568743186959693,0.4426277120688218,0.699502030764791
SCAR,high_data,1,2,10,15,0.6,4000,0.19801499878329615,0.3724447630011122,0.5704597617844083
SCAR,high_data,1,2,10,15,0.6,5000,0.3038429868508137,0.45105963248221703,0.7549026193330307
SCAR,high_data,1,2,10,15,0.7,500,0.36485461329042085,0.585297705501147,0.9501523187915679
SCAR,high_data,1,2,10,15,0.7,1000,0.331820738239991,0.5696350128824547,0.9014557511224457
SCAR,high_data,1,2,10,15,0.7,2000,0.35603105916333344,0.5148003539223842,0.8708314130857177
SCAR,high_data,1,2,10,15,0.7,2500,0.32584987949316935,0.5394045879457128,0.8652544674388821
SCAR,high_data,1,2,10,15,0.7,3000,0.2842900501541798,0.4687425028980948,0.7530325530522746
SCAR,high_data,1,2,10,15,0.7,4000,0.30278900717396945,0.539371118567138,0.8421601257411075
SCAR,high_data,1,2,10,15,0.7,5000,0.31625574298428316,0.4953793035089759,0.8116350464932591
SCAR,high_data,1,2,10,15,0.8,500,0.5298768802766055,0.6994919102432089,1.2293687905198145
SCAR,high_data,1,2,10,15,0.8,1000,0.425625158261168,0.6042920915931197,1.0299172498542877
SCAR,high_data,1,2,10,15,0.8,2000,0.33249949013111185,0.5545471656628318,0.8870466557939436
SCAR,high_data,1,2,10,15,0.8,2500,0.37288465996220516,0.5819794081191579,0.9548640680813631
SCAR,high_data,1,2,10,15,0.8,3000,0.3717507701088858,0.5466884753505051,0.9184392454593909
