name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,high_data,8,2,0.001,2,10,0.01,0.49997920667691564,0.6098739796059904,1.1098531862829062
DipMeans,high_data,8,2,0.001,2,12,0.01,0.4889960821936704,0.6126505951343143,1.1016466773279847
DipMeans,high_data,8,2,0.001,2,15,0.01,0.4398346258174109,0.6144194199408137,1.0542540457582246
DipMeans,high_data,8,2,0.001,2,20,0.01,0.43393465415334104,0.6255874895376016,1.0595221436909426
DipMeans,high_data,8,2,0.001,2,25,0.01,0.41404394944535183,0.6436747819420803,1.057718731387432
DipMeans,high_data,8,2,0.001,2,30,0.01,0.4194829254583603,0.6621163645838122,1.0815992900421725
DipMeans,high_data,8,2,0.001,5,10,0.01,0.49997920667691564,0.6098739796059904,1.1098531862829062
DipMeans,high_data,8,2,0.001,5,12,0.01,0.4889977660056897,0.6126549974113054,1.101652763416995
DipMeans,high_data,8,2,0.001,5,15,0.01,0.4492948604141244,0.6174677315362609,1.0667625919503854
DipMeans,high_data,8,2,0.001,5,20,0.01,0.47449981831119487,0.6499232325723052,1.1244230508835
DipMeans,high_data,8,2,0.001,5,25,0.01,0.4143921776738478,0.6393089260825008,1.0537011037563486
DipMeans,high_data,8,2,0.001,5,30,0.01,0.37982428617537123,0.6445134937601831,1.0243377799355544
DipMeans,high_data,8,2,0.001,7,10,0.01,0.47757637510293643,0.6033022273767467,1.080878602479683
DipMeans,high_data,8,2,0.001,7,12,0.01,0.5134625775289711,0.6310567128311404,1.1445192903601114
DipMeans,high_data,8,2,0.001,7,15,0.01,0.4475659663274057,0.6160298889782985,1.063595855305704
DipMeans,high_data,8,2,0.001,7,20,0.01,0.4727760743104586,0.6460538660324181,1.1188299403428767
DipMeans,high_data,8,2,0.001,7,25,0.01,0.41345252116100195,0.6555741974675886,1.0690267186285904
DipMeans,high_data,8,2,0.001,7,30,0.01,0.39635197515934906,0.6665695192860079,1.0629214944453569
DipMeans,high_data,8,2,0.001,10,12,0.01,0.4610835331584501,0.6290267961954366,1.0901103293538865
DipMeans,high_data,8,2,0.001,10,15,0.01,0.4524283029499682,0.6188601888453521,1.0712884917953203
DipMeans,high_data,8,2,0.001,10,20,0.01,0.4305720650545655,0.637344529906521,1.0679165949610865
DipMeans,high_data,8,2,0.001,10,25,0.01,0.41998183133208616,0.6570886928305526,1.0770705241626388
DipMeans,high_data,8,2,0.001,10,30,0.01,0.3771115589091794,0.6550021140129332,1.0321136729221125
DipMeans,high_data,8,2,0.001,12,15,0.01,0.4490214950297382,0.61865760102247,1.0676790960522082
DipMeans,high_data,8,2,0.001,12,20,0.01,0.47276289813486955,0.646036101046615,1.1187989991814846
DipMeans,high_data,8,2,0.001,12,25,0.01,0.4096029447518776,0.6380298554512305,1.0476328002031081
DipMeans,high_data,8,2,0.001,12,30,0.01,0.4020395232350013,0.6645262473695959,1.0665657706045972
DipMeans,high_data,8,2,0.001,15,20,0.01,0.4570221606031032,0.6581233653343527,1.1151455259374559
DipMeans,high_data,8,2,0.001,15,25,0.01,0.4196472217224718,0.6570617911347624,1.076709012857234
