name,prefix,seed,dim,n_clusters,nearest_neighbors,ari,nmi,sum
SpectralClustering,high_data,7,2,10,3,0.009351363740780112,0.06742799505948845,0.07677935880026857
SpectralClustering,high_data,7,2,10,4,0.3376277241077957,0.5243849127627147,0.8620126368705103
SpectralClustering,high_data,7,2,10,5,0.4354522395231948,0.6952884634360735,1.1307407029592684
SpectralClustering,high_data,7,2,10,6,0.4206288934402235,0.679311468647707,1.0999403620879304
SpectralClustering,high_data,7,2,10,7,0.4784809954015513,0.7094720476457376,1.1879530430472889
SpectralClustering,high_data,7,2,10,8,0.5513754679391902,0.7282992512076382,1.2796747191468283
SpectralClustering,high_data,7,2,10,9,0.5120762035678256,0.7143601343603422,1.2264363379281678
SpectralClustering,high_data,7,2,10,10,0.5503158081841957,0.7374699713980484,1.287785779582244
SpectralClustering,high_data,7,2,10,11,0.5508231396895553,0.7373231724382635,1.288146312127819
SpectralClustering,high_data,7,2,10,12,0.5563310968134927,0.7400899455204766,1.2964210423339693
SpectralClustering,high_data,7,2,10,13,0.5477013138874018,0.7378603429458775,1.2855616568332793
SpectralClustering,high_data,7,2,10,14,0.5298837690066586,0.7303689640269712,1.2602527330336297
SpectralClustering,high_data,7,2,10,15,0.5228448030326461,0.7250915202532886,1.2479363232859346
SpectralClustering,high_data,7,2,10,16,0.5261124102898261,0.7171108930712893,1.2432233033611153
SpectralClustering,high_data,7,2,10,17,0.5210564452163068,0.715594486375694,1.236650931592001
SpectralClustering,high_data,7,2,10,18,0.532949147957217,0.7198349055906424,1.2527840535478596
SpectralClustering,high_data,7,2,10,19,0.544048029929454,0.7163886383003908,1.2604366682298447
SpectralClustering,high_data,7,2,10,20,0.5544498324571702,0.7271851294924895,1.2816349619496596
SpectralClustering,high_data,7,2,10,25,0.5714565336757361,0.7430240077253891,1.3144805414011254
SpectralClustering,high_data,7,2,10,30,0.5655832469889625,0.7374153630598221,1.3029986100487845
SpectralClustering,high_data,7,2,10,35,0.5619361141197435,0.7293774443683526,1.2913135584880961
SpectralClustering,high_data,7,2,10,40,0.5591410720371788,0.7256158110895725,1.2847568831267513
SpectralClustering,high_data,7,2,10,45,0.5396677751032238,0.7197300454518296,1.2593978205550536
