name,prefix,seed,dim,epsilon,min_samples,ari,nmi,sum
DBSCAN,high_data,0,2,0.001,2,-0.03867946838307934,0.2347540099836122,0.19607454160053286
DBSCAN,high_data,0,2,0.001,3,-0.03320062375659335,0.14968499345951658,0.11648436970292322
DBSCAN,high_data,0,2,0.001,4,-0.017558839870446288,0.07590631353963426,0.058347473669187966
DBSCAN,high_data,0,2,0.001,5,-0.00814821121205793,0.03539973074539387,0.02725151953333594
DBSCAN,high_data,0,2,0.001,6,-0.004722725868365863,0.02093363839835094,0.016210912529985078
DBSCAN,high_data,0,2,0.001,7,-0.002018080999478065,0.008954659326116653,0.006936578326638588
DBSCAN,high_data,0,2,0.001,8,-0.0014135419174504105,0.006407304073387566,0.004993762155937155
DBSCAN,high_data,0,2,0.001,9,-0.0005871368559984548,0.002634112801169804,0.0020469759451713495
DBSCAN,high_data,0,2,0.001,10,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,11,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,12,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,13,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,14,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,15,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,16,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,17,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,18,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,19,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.001,20,0.0,0.0,0.0
DBSCAN,high_data,0,2,0.002,2,0.024513219446149963,0.39827325810310965,0.42278647754925963
DBSCAN,high_data,0,2,0.002,3,-0.00434863551758476,0.3558384054194772,0.35148976990189246
DBSCAN,high_data,0,2,0.002,4,-0.02797174606031509,0.2980840916865155,0.2701123456262004
DBSCAN,high_data,0,2,0.002,5,-0.03937165928165268,0.2426592123310773,0.2032875530494246
DBSCAN,high_data,0,2,0.002,6,-0.039453595909390654,0.18944065938804297,0.14998706347865232
DBSCAN,high_data,0,2,0.002,7,-0.03294502103764994,0.15094705185272167,0.11800203081507174
DBSCAN,high_data,0,2,0.002,8,-0.02674224524121561,0.12368478298196238,0.09694253774074676
DBSCAN,high_data,0,2,0.002,9,-0.022781242949651018,0.10217128648233648,0.07939004353268546
DBSCAN,high_data,0,2,0.002,10,-0.01868888473700138,0.082847796166461,0.06415891142945962
DBSCAN,high_data,0,2,0.002,11,-0.015575413939851054,0.06996592136984152,0.054390507429990465
DBSCAN,high_data,0,2,0.002,12,-0.012054832595445174,0.054557181302468435,0.04250234870702326
DBSCAN,high_data,0,2,0.002,13,-0.00931525447641479,0.0420942912313328,0.03277903675491801
DBSCAN,high_data,0,2,0.002,14,-0.007262121685112335,0.034562052508574574,0.02729993082346224
DBSCAN,high_data,0,2,0.002,15,-0.004760782591997678,0.023242616839646544,0.018481834247648866
DBSCAN,high_data,0,2,0.002,16,-0.0036065551629211852,0.017320445832784352,0.013713890669863168
DBSCAN,high_data,0,2,0.002,17,-0.003394550365279328,0.016176938686698727,0.0127823883214194
DBSCAN,high_data,0,2,0.002,18,-0.0023249424140689427,0.011044255273729122,0.00871931285966018
DBSCAN,high_data,0,2,0.002,19,-0.0018110618543079032,0.008443620519830124,0.006632558665522221
DBSCAN,high_data,0,2,0.002,20,-0.001575278244967766,0.007285411837604143,0.005710133592636377
DBSCAN,high_data,0,2,0.003,2,0.2560481778780491,0.5226241348190512,0.7786723126971004
DBSCAN,high_data,0,2,0.003,3,0.19080651514750535,0.5085687164758853,0.6993752316233907
DBSCAN,high_data,0,2,0.003,4,0.11690861709432408,0.4740054732923208,0.5909140903866449
DBSCAN,high_data,0,2,0.003,5,0.07841190191582269,0.43681548544009624,0.5152273873559189
DBSCAN,high_data,0,2,0.003,6,0.044064828218930735,0.39165065190407755,0.4357154801230083
DBSCAN,high_data,0,2,0.003,7,0.0059855700769636125,0.3426674779522148,0.3486530480291784
DBSCAN,high_data,0,2,0.003,8,-0.006595327145477093,0.3088766794604064,0.3022813523149293
DBSCAN,high_data,0,2,0.003,9,-0.025948207330393627,0.27104591361516583,0.2450977062847722
DBSCAN,high_data,0,2,0.003,10,-0.032198382111037496,0.23652547615121583,0.20432709404017835
DBSCAN,high_data,0,2,0.003,11,-0.03022357291529676,0.20024112044097178,0.17001754752567502
DBSCAN,high_data,0,2,0.003,12,-0.028184637565710748,0.17588765223655303,0.1477030146708423
DBSCAN,high_data,0,2,0.003,13,-0.028198751753594025,0.16461888685002812,0.1364201350964341
DBSCAN,high_data,0,2,0.003,14,-0.026753264442378525,0.15227207288659236,0.12551880844421384
DBSCAN,high_data,0,2,0.003,15,-0.026161103737575027,0.13618107019881018,0.11001996646123516
DBSCAN,high_data,0,2,0.003,16,-0.025881815741968454,0.1313163615672575,0.10543454582528905
DBSCAN,high_data,0,2,0.003,17,-0.023776327378084286,0.11808905811148498,0.0943127307334007
DBSCAN,high_data,0,2,0.003,18,-0.022375361877003754,0.1085202998916032,0.08614493801459944
DBSCAN,high_data,0,2,0.003,19,-0.02016813436690752,0.09608881783877236,0.07592068347186484
DBSCAN,high_data,0,2,0.003,20,-0.01761111159466221,0.08276013162207914,0.06514902002741693
DBSCAN,high_data,0,2,0.004,2,0.6124986140271536,0.6243929184230114,1.2368915324501648
DBSCAN,high_data,0,2,0.004,3,0.5406411250446598,0.6232543773505673,1.163895502395227
DBSCAN,high_data,0,2,0.004,4,0.44781570026058964,0.6045891834711075,1.052404883731697
