name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
kmeans,high_data,3,2,10,1,0.47329586645247823,0.5992837074269264,1.0725795738794046
kmeans,high_data,3,2,10,2,0.47329586645247823,0.5992837074269264,1.0725795738794046
kmeans,high_data,3,2,10,3,0.47329586645247823,0.5992837074269264,1.0725795738794046
kmeans,high_data,3,2,10,4,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,5,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,6,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,7,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,8,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,9,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,2,10,10,0.47668857097829676,0.6020521346885322,1.078740705666829
kmeans,high_data,3,5,10,1,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,2,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,3,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,4,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,5,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,6,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,7,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,8,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,9,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,5,10,10,0.311802471657208,0.5151382129247175,0.8269406845819255
kmeans,high_data,3,10,10,1,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,2,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,3,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,4,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,5,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,6,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,7,0.654917832093416,0.7462562101465237,1.4011740422399397
kmeans,high_data,3,10,10,8,0.5291796730536906,0.6992935632923936,1.2284732363460842
kmeans,high_data,3,10,10,9,0.5291796730536906,0.6992935632923936,1.2284732363460842
kmeans,high_data,3,10,10,10,0.5291796730536906,0.6992935632923936,1.2284732363460842
kmeans,high_data,3,50,10,1,0.5847187035047028,0.7408646774624089,1.3255833809671116
kmeans,high_data,3,50,10,2,0.5847187035047028,0.7408646774624089,1.3255833809671116
kmeans,high_data,3,50,10,3,0.5847187035047028,0.7408646774624089,1.3255833809671116
kmeans,high_data,3,50,10,4,0.5909684763791878,0.7307688982083044,1.3217373745874923
kmeans,high_data,3,50,10,5,0.5909684763791878,0.7307688982083044,1.3217373745874923
kmeans,high_data,3,50,10,6,0.5909684763791878,0.7307688982083044,1.3217373745874923
kmeans,high_data,3,50,10,7,0.6088832535736609,0.7559582977454415,1.3648415513191026
kmeans,high_data,3,50,10,8,0.6088832535736609,0.7559582977454415,1.3648415513191026
kmeans,high_data,3,50,10,9,0.6088832535736609,0.7559582977454415,1.3648415513191026
kmeans,high_data,3,50,10,10,0.6088832535736609,0.7559582977454415,1.3648415513191026
kmeans,high_data,3,100,10,1,0.39260490388682834,0.6533933026471666,1.0459982065339948
kmeans,high_data,3,100,10,2,0.39260490388682834,0.6533933026471666,1.0459982065339948
kmeans,high_data,3,100,10,3,0.39260490388682834,0.6533933026471666,1.0459982065339948
kmeans,high_data,3,100,10,4,0.4824362559892559,0.735241841531483,1.2176780975207389
kmeans,high_data,3,100,10,5,0.4824362559892559,0.735241841531483,1.2176780975207389
kmeans,high_data,3,100,10,6,0.7010156290714162,0.8241654963602556,1.5251811254316718
kmeans,high_data,3,100,10,7,0.7010156290714162,0.8241654963602556,1.5251811254316718
kmeans,high_data,3,100,10,8,0.7010156290714162,0.8241654963602556,1.5251811254316718
kmeans,high_data,3,100,10,9,0.7010156290714162,0.8241654963602556,1.5251811254316718
kmeans,high_data,3,100,10,10,0.7010156290714162,0.8241654963602556,1.5251811254316718
