name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,high_data,2,2,10,0.1,2,0.4379325691436324,0.5442358163866081,0.9821683855302406
DEC,high_data,2,2,10,0.2,2,0.37802786505141456,0.5235528005571447,0.9015806656085592
DEC,high_data,2,2,10,0.3,2,0.4025141437049668,0.5259287508311226,0.9284428945360894
DEC,high_data,2,2,10,0.4,2,0.3703960969385615,0.5209069711196979,0.8913030680582594
DEC,high_data,2,2,10,0.5,2,0.40557699347313536,0.5345467050239718,0.9401236984971072
DEC,high_data,2,2,10,0.6,2,0.40651952473402136,0.5338496239839996,0.940369148718021
DEC,high_data,2,2,10,0.7,2,0.3981301356874081,0.5298506933113545,0.9279808289987626
DEC,high_data,2,2,10,0.8,2,0.40119534005993746,0.5273711079054609,0.9285664479653983
DEC,high_data,2,2,10,0.9,2,0.37437964357693754,0.5219862856923371,0.8963659292692746
DEC,high_data,2,2,10,1,2,0.39553351721807173,0.5300947121231974,0.9256282293412691
DEC,high_data,2,5,10,0.1,2,0.3202856059355742,0.4989546188107206,0.8192402247462949
DEC,high_data,2,5,10,0.1,5,0.40444704351999766,0.6044187827239716,1.0088658262439694
DEC,high_data,2,5,10,0.2,2,0.3706060925883734,0.5106717400464017,0.8812778326347751
DEC,high_data,2,5,10,0.2,5,0.38576279994434076,0.5745733659346933,0.9603361658790341
DEC,high_data,2,5,10,0.3,2,0.3926542881961778,0.5549082815309269,0.9475625697271046
DEC,high_data,2,5,10,0.3,5,0.2739827087082461,0.4967569086035964,0.7707396173118425
DEC,high_data,2,5,10,0.4,2,0.36742416627471663,0.5058944354220821,0.8733186016967988
DEC,high_data,2,5,10,0.4,5,0.33719692667506534,0.5605237215719644,0.8977206482470297
DEC,high_data,2,5,10,0.5,2,0.3668381442609372,0.5057767966583049,0.8726149409192421
DEC,high_data,2,5,10,0.5,5,0.3391884884081546,0.564335544483769,0.9035240328919236
DEC,high_data,2,5,10,0.6,2,0.367917614961621,0.5069253991414848,0.8748430141031058
