name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,high_data,8,100,10,10,0.5,500,0.049514523985852335,0.12922139963244872,0.17873592361830104
SCAR,high_data,8,100,10,10,0.5,1000,0.05885616949148668,0.13037855391151124,0.1892347234029979
SCAR,high_data,8,100,10,10,0.5,2000,0.0495459609869258,0.12176349304004024,0.17130945402696604
SCAR,high_data,8,100,10,10,0.5,2500,0.041903467072722037,0.11606456460720932,0.15796803167993134
SCAR,high_data,8,100,10,10,0.5,3000,0.029697731496152697,0.09621047889961748,0.1259082103957702
SCAR,high_data,8,100,10,10,0.5,4000,0.026421863351700478,0.07953803216775972,0.1059598955194602
SCAR,high_data,8,100,10,10,0.6,500,0.043367741049850896,0.12396176525000127,0.16732950629985216
SCAR,high_data,8,100,10,10,0.6,1000,0.026289190864809676,0.07655978596557936,0.10284897683038903
SCAR,high_data,8,100,10,10,0.6,2000,0.03877068186291484,0.11689806402834903,0.15566874589126387
SCAR,high_data,8,100,10,10,0.6,2500,0.02609396106748927,0.08423591061394226,0.11032987168143152
SCAR,high_data,8,100,10,10,0.6,3000,0.033069949967640885,0.08598365275373164,0.11905360272137253
SCAR,high_data,8,100,10,10,0.6,4000,0.024077613786051735,0.07707089020480777,0.1011485039908595
SCAR,high_data,8,100,10,10,0.7,500,0.03165196312168946,0.1112476348724199,0.14289959799410937
SCAR,high_data,8,100,10,10,0.7,1000,0.053014689371734244,0.12405699882693047,0.1770716881986647
SCAR,high_data,8,100,10,10,0.7,2000,0.02581014576350601,0.07964431236243126,0.10545445812593728
SCAR,high_data,8,100,10,10,0.7,2500,0.037860515572143,0.11339801723399284,0.15125853280613583
SCAR,high_data,8,100,10,10,0.7,3000,0.03407394085203893,0.09910672209917547,0.1331806629512144
SCAR,high_data,8,100,10,10,0.7,4000,0.03655888021499193,0.09897468872253734,0.13553356893752927
SCAR,high_data,8,100,10,10,0.8,500,0.017459787951453032,0.08230842530927224,0.09976821326072527
SCAR,high_data,8,100,10,10,0.8,1000,0.05670344701288618,0.14259717852280246,0.19930062553568864
SCAR,high_data,8,100,10,10,0.8,2000,0.027193061522841976,0.09487534039997024,0.12206840192281221
SCAR,high_data,8,100,10,10,0.8,2500,0.02062247758233909,0.08782102268026086,0.10844350026259995
SCAR,high_data,8,100,10,10,0.8,3000,0.023714602595732576,0.07484643168891114,0.09856103428464372
SCAR,high_data,8,100,10,10,0.8,4000,0.05217617772875731,0.12576638534744594,0.17794256307620326
SCAR,high_data,8,100,10,10,0.9,500,0.00625053661078176,0.05567316377863209,0.06192370038941385
SCAR,high_data,8,100,10,10,0.9,1000,0.003637064787826945,0.03775815851810843,0.041395223305935376
SCAR,high_data,8,100,10,10,0.9,2000,0.007337733770833813,0.0631969509235739,0.07053468469440771
SCAR,high_data,8,100,10,10,0.9,2500,0.0074794663824848855,0.06287372363448275,0.07035319001696763
SCAR,high_data,8,100,10,10,0.9,3000,0.007419439905138072,0.06245100207617763,0.0698704419813157
SCAR,high_data,8,100,10,10,0.9,4000,0.007313313640519069,0.06279032538247126,0.07010363902299033
SCAR,high_data,8,100,10,15,0.5,500,0.047126339247725565,0.12040338561120435,0.16752972485892992
SCAR,high_data,8,100,10,15,0.5,1000,0.0595599076508094,0.13491436663287015,0.19447427428367955
SCAR,high_data,8,100,10,15,0.5,2000,0.033444850286034125,0.07945172489826392,0.11289657518429805
SCAR,high_data,8,100,10,15,0.5,2500,0.031517369650909184,0.09640321402510164,0.12792058367601084
SCAR,high_data,8,100,10,15,0.5,3000,0.027280004662971702,0.09192767269359788,0.11920767735656958
SCAR,high_data,8,100,10,15,0.5,4000,0.034347676262290565,0.09919001176199985,0.13353768802429042
SCAR,high_data,8,100,10,15,0.6,500,0.03160092608648271,0.0970165041179657,0.1286174302044484
SCAR,high_data,8,100,10,15,0.6,1000,0.047576445355645924,0.1178771155824363,0.16545356093808222
SCAR,high_data,8,100,10,15,0.6,2000,0.03874628618972476,0.09475520669338064,0.1335014928831054
SCAR,high_data,8,100,10,15,0.6,2500,0.03777791558995109,0.11016869862517674,0.14794661421512784
SCAR,high_data,8,100,10,15,0.6,3000,0.030667088905755827,0.0961719726908674,0.12683906159662323
SCAR,high_data,8,100,10,15,0.6,4000,0.03854584169103921,0.09701068677100734,0.13555652846204655
SCAR,high_data,8,100,10,15,0.7,500,0.05751215771889964,0.13865524564274603,0.19616740336164568
SCAR,high_data,8,100,10,15,0.7,1000,0.03526212851320814,0.09572616853719787,0.13098829705040602
SCAR,high_data,8,100,10,15,0.7,2000,0.03361780374474614,0.1241599472773323,0.15777775102207844
SCAR,high_data,8,100,10,15,0.7,2500,0.03134113223509361,0.09123207518857938,0.122573207423673
SCAR,high_data,8,100,10,15,0.7,3000,0.050030601898604594,0.11245139038374911,0.16248199228235372
SCAR,high_data,8,100,10,15,0.7,4000,0.018118332925331652,0.09546622660700303,0.11358455953233468
SCAR,high_data,8,100,10,15,0.8,500,0.07637159657293259,0.14740451354353995,0.22377611011647253
SCAR,high_data,8,100,10,15,0.8,1000,0.0369884161262361,0.11486811646603802,0.1518565325922741
SCAR,high_data,8,100,10,15,0.8,2000,0.054587006919045694,0.13162793757439414,0.18621494449343984
SCAR,high_data,8,100,10,15,0.8,2500,0.040292601298897876,0.11403902971264124,0.15433163101153913
SCAR,high_data,8,100,10,15,0.8,3000,0.05390205918675276,0.12737364472118312,0.18127570390793588
SCAR,high_data,8,100,10,15,0.8,4000,0.038899303386315975,0.10907781589769765,0.14797711928401364
SCAR,high_data,8,100,10,15,0.9,500,0.006906106208269072,0.06062246524259827,0.06752857145086734
SCAR,high_data,8,100,10,15,0.9,1000,0.005518242529688784,0.052071947582617406,0.05759019011230619
SCAR,high_data,8,100,10,15,0.9,2000,0.004767803955437263,0.04386436770096448,0.04863217165640175
SCAR,high_data,8,100,10,15,0.9,2500,0.005015865067927287,0.044936046838272334,0.04995191190619962
