name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,high_data,7,2,0.001,2,10,0.01,0.5161007785229517,0.6172364997267357,1.1333372782496873
DipMeans,high_data,7,2,0.001,2,12,0.01,0.5199506084892195,0.6356230225765835,1.1555736310658031
DipMeans,high_data,7,2,0.001,2,15,0.01,0.5247774095214125,0.6347882784707406,1.1595656879921532
DipMeans,high_data,7,2,0.001,2,20,0.01,0.4557739386117869,0.6581658002317194,1.1139397388435064
DipMeans,high_data,7,2,0.001,2,25,0.01,0.4196472217224718,0.6570617911347624,1.076709012857234
DipMeans,high_data,7,2,0.001,2,30,0.01,0.3942952789201981,0.6650850947796099,1.059380373699808
DipMeans,high_data,7,2,0.001,5,10,0.01,0.49722561577238417,0.6103283107388477,1.107553926511232
DipMeans,high_data,7,2,0.001,5,12,0.01,0.454957924526063,0.6030661504285797,1.0580240749546426
DipMeans,high_data,7,2,0.001,5,15,0.01,0.49439182043180346,0.6393251931027095,1.133717013534513
DipMeans,high_data,7,2,0.001,5,20,0.01,0.4358072339025848,0.6407514801477721,1.076558714050357
DipMeans,high_data,7,2,0.001,5,25,0.01,0.39150515239453937,0.6524856969124705,1.0439908493070098
DipMeans,high_data,7,2,0.001,5,30,0.01,0.4005231237317397,0.6676701522593267,1.0681932759910664
DipMeans,high_data,7,2,0.001,7,10,0.01,0.499098031043925,0.6098511205623962,1.1089491516063212
DipMeans,high_data,7,2,0.001,7,12,0.01,0.4889977660056897,0.6126549974113056,1.1016527634169953
DipMeans,high_data,7,2,0.001,7,15,0.01,0.44718346470489634,0.6159657048511403,1.0631491695560367
DipMeans,high_data,7,2,0.001,7,20,0.01,0.47438543824684876,0.6464420296276929,1.1208274678745416
DipMeans,high_data,7,2,0.001,7,25,0.01,0.4280027306285369,0.6575272106769211,1.085529941305458
DipMeans,high_data,7,2,0.001,7,30,0.01,0.39734949234663774,0.6664294276042863,1.063778919950924
