name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,high_data,2,2,10,10,0.5,500,0.06508328830240956,0.1855241121606395,0.2506074004630491
SCAR,high_data,2,2,10,10,0.5,1000,0.19419088017108077,0.32848208937849593,0.5226729695495766
SCAR,high_data,2,2,10,10,0.5,2000,0.11659395048605416,0.26134977801905684,0.377943728505111
SCAR,high_data,2,2,10,10,0.5,2500,0.14408100970125445,0.2597853015124241,0.40386631121367855
SCAR,high_data,2,2,10,10,0.5,3000,0.24407402545411597,0.3764593350027967,0.6205333604569127
SCAR,high_data,2,2,10,10,0.5,4000,0.1982100252398706,0.4013919691303555,0.5996019943702261
SCAR,high_data,2,2,10,10,0.5,5000,0.22951226464852384,0.4141446391093036,0.6436569037578275
SCAR,high_data,2,2,10,10,0.6,500,0.13228741205126016,0.2613408687396363,0.39362828079089646
SCAR,high_data,2,2,10,10,0.6,1000,0.1987685982363384,0.3598954178857021,0.5586640161220405
SCAR,high_data,2,2,10,10,0.6,2000,0.24211080089642453,0.44548967955355,0.6876004804499746
SCAR,high_data,2,2,10,10,0.6,2500,0.17985178198985963,0.35256082393548616,0.5324126059253458
SCAR,high_data,2,2,10,10,0.6,3000,0.21706760581302253,0.39842020960755353,0.6154878154205761
SCAR,high_data,2,2,10,10,0.6,4000,0.17045526636152403,0.4001459760134829,0.5706012423750069
SCAR,high_data,2,2,10,10,0.6,5000,0.20995875426296579,0.4013781547232057,0.6113369089861715
SCAR,high_data,2,2,10,10,0.7,500,0.3950443100608717,0.5266246417500414,0.9216689518109131
SCAR,high_data,2,2,10,10,0.7,1000,0.22333212193280852,0.3963544817325564,0.6196866036653649
SCAR,high_data,2,2,10,10,0.7,2000,0.23099149625535115,0.45590563815389296,0.686897134409244
SCAR,high_data,2,2,10,10,0.7,2500,0.17481521223121949,0.40664587614649284,0.5814610883777123
SCAR,high_data,2,2,10,10,0.7,3000,0.20881899675654209,0.4600235454335934,0.6688425421901355
SCAR,high_data,2,2,10,10,0.7,4000,0.17685657249862732,0.32179517180940664,0.49865174430803394
SCAR,high_data,2,2,10,10,0.7,5000,0.15200043758867782,0.266605772200053,0.4186062097887308
SCAR,high_data,2,2,10,10,0.8,500,0.3298714841404836,0.5451031315083078,0.8749746156487914
SCAR,high_data,2,2,10,10,0.8,1000,0.14435049285271062,0.36550543467748353,0.5098559275301942
SCAR,high_data,2,2,10,10,0.8,2000,0.25598117747091936,0.45690788683048383,0.7128890643014032
SCAR,high_data,2,2,10,10,0.8,2500,0.21011901725027882,0.35098168303042215,0.5611007002807009
SCAR,high_data,2,2,10,10,0.8,3000,0.1836101261760665,0.3346205155084509,0.5182306416845174
SCAR,high_data,2,2,10,10,0.8,4000,0.1441431396266776,0.25730573465164513,0.40144887427832276
SCAR,high_data,2,2,10,10,0.8,5000,0.20102636902851342,0.3149797089827819,0.5160060780112953
SCAR,high_data,2,2,10,10,0.9,500,0.27906517805658637,0.5568690839637899,0.8359342620203762
SCAR,high_data,2,2,10,10,0.9,1000,0.2605871298199846,0.48935969849783983,0.7499468283178244
SCAR,high_data,2,2,10,10,0.9,2000,0.162160019002775,0.30636132833053326,0.46852134733330825
SCAR,high_data,2,2,10,10,0.9,2500,0.14030051319385364,0.289009178119914,0.4293096913137676
SCAR,high_data,2,2,10,10,0.9,3000,0.1915128137970342,0.3412053070016645,0.5327181207986987
SCAR,high_data,2,2,10,10,0.9,4000,0.1893800969191828,0.3626265746764215,0.5520066715956043
SCAR,high_data,2,2,10,10,0.9,5000,0.26424507616928766,0.46083738814637754,0.7250824643156653
SCAR,high_data,2,2,10,15,0.5,500,0.22316923353120546,0.40656747110309416,0.6297367046342996
SCAR,high_data,2,2,10,15,0.5,1000,0.17400059830942294,0.33285009706429697,0.50685069537372
SCAR,high_data,2,2,10,15,0.5,2000,0.20180660885185553,0.33150036682726547,0.533306975679121
SCAR,high_data,2,2,10,15,0.5,2500,0.26149586247747436,0.3992401438033317,0.6607360062808061
SCAR,high_data,2,2,10,15,0.5,3000,0.15115233144128654,0.3108410760193668,0.4619934074606533
SCAR,high_data,2,2,10,15,0.5,4000,0.1226248406794795,0.2947828722846264,0.4174077129641059
SCAR,high_data,2,2,10,15,0.5,5000,0.17676588255271355,0.3772976796993634,0.554063562252077
SCAR,high_data,2,2,10,15,0.6,500,0.3859499911219476,0.5346984135895864,0.920648404711534
SCAR,high_data,2,2,10,15,0.6,1000,0.20857691517915836,0.38013586709785835,0.5887127822770167
SCAR,high_data,2,2,10,15,0.6,2000,0.2114610615857278,0.37942907019270244,0.5908901317784303
SCAR,high_data,2,2,10,15,0.6,2500,0.2328488325435179,0.4085982789018888,0.6414471114454068
SCAR,high_data,2,2,10,15,0.6,3000,0.28461785665342215,0.46451234482748244,0.7491302014809046
SCAR,high_data,2,2,10,15,0.6,4000,0.20781958702813302,0.3844518651327711,0.592271452160904
SCAR,high_data,2,2,10,15,0.6,5000,0.2975746115405367,0.4472355904640737,0.7448102020046103
SCAR,high_data,2,2,10,15,0.7,500,0.334366952153048,0.5440238453815838,0.8783907975346318
SCAR,high_data,2,2,10,15,0.7,1000,0.3411811531534369,0.5577916634220274,0.8989728165754642
SCAR,high_data,2,2,10,15,0.7,2000,0.3417254309000391,0.4683785602272455,0.8101039911272846
SCAR,high_data,2,2,10,15,0.7,2500,0.3532151365022417,0.5255951566862753,0.878810293188517
SCAR,high_data,2,2,10,15,0.7,3000,0.2950726826639517,0.48951843558675956,0.7845911182507113
SCAR,high_data,2,2,10,15,0.7,4000,0.26661813796025086,0.5072722319653665,0.7738903699256174
SCAR,high_data,2,2,10,15,0.7,5000,0.32057896622575865,0.504397184202994,0.8249761504287526
SCAR,high_data,2,2,10,15,0.8,500,0.5298768802766055,0.6994919102432089,1.2293687905198145
SCAR,high_data,2,2,10,15,0.8,1000,0.4277994580129084,0.6028359603281827,1.030635418341091
SCAR,high_data,2,2,10,15,0.8,2000,0.27679668910688093,0.49930764373126507,0.7761043328381461
SCAR,high_data,2,2,10,15,0.8,2500,0.3193689612338936,0.5379401807496814,0.857309141983575
SCAR,high_data,2,2,10,15,0.8,3000,0.3675304991440569,0.5653719663344706,0.9329024654785275
SCAR,high_data,2,2,10,15,0.8,4000,0.34688264754861453,0.5000974390827767,0.8469800866313912
SCAR,high_data,2,2,10,15,0.8,5000,0.25346890832001795,0.4282711776155851,0.6817400859356031
SCAR,high_data,2,2,10,15,0.9,500,0.2970170403512446,0.5807685774744117,0.8777856178256562
SCAR,high_data,2,2,10,15,0.9,1000,0.5956561486983264,0.6898337039907748,1.2854898526891012
SCAR,high_data,2,2,10,15,0.9,2000,0.20154977353826362,0.394009532268723,0.5955593058069866
SCAR,high_data,2,2,10,15,0.9,2500,0.16058899262063087,0.3586064071167973,0.5191953997374281
SCAR,high_data,2,2,10,15,0.9,3000,0.24146801389624736,0.4257434208870663,0.6672114347833137
SCAR,high_data,2,2,10,15,0.9,4000,0.26270637667052854,0.46444768884721355,0.7271540655177421
SCAR,high_data,2,2,10,15,0.9,5000,0.2072885268152636,0.37128399374862214,0.5785725205638858
SCAR,high_data,2,2,10,20,0.5,500,0.40444150043343957,0.5074822769231179,0.9119237773565574
SCAR,high_data,2,2,10,20,0.5,1000,0.3760236971772627,0.47745344859805366,0.8534771457753163
SCAR,high_data,2,2,10,20,0.5,2000,0.32916985372180285,0.46721894690488974,0.7963888006266926
SCAR,high_data,2,2,10,20,0.5,2500,0.37063221985079076,0.46556691348845125,0.836199133339242
SCAR,high_data,2,2,10,20,0.5,3000,0.22745679436042315,0.3677472169794182,0.5952040113398414
SCAR,high_data,2,2,10,20,0.5,4000,0.24817359579748852,0.4393472640181107,0.6875208598155992
SCAR,high_data,2,2,10,20,0.5,5000,0.20692792492581752,0.40163381563390677,0.6085617405597243
SCAR,high_data,2,2,10,20,0.6,500,0.3584514670190962,0.5304114758513939,0.8888629428704902
SCAR,high_data,2,2,10,20,0.6,1000,0.31124018068385123,0.51869868254668,0.8299388632305311
SCAR,high_data,2,2,10,20,0.6,2000,0.2776885527688751,0.48293972100786897,0.760628273776744
SCAR,high_data,2,2,10,20,0.6,2500,0.3165708716567595,0.49641660984136693,0.8129874814981264
SCAR,high_data,2,2,10,20,0.6,3000,0.30592296971077043,0.5019926178896543,0.8079155876004247
SCAR,high_data,2,2,10,20,0.6,4000,0.35359776651855135,0.4927636253572203,0.8463613918757716
SCAR,high_data,2,2,10,20,0.6,5000,0.2568402836801635,0.42563970531691,0.6824799889970734
SCAR,high_data,2,2,10,20,0.7,500,0.396385948754577,0.6281083121378475,1.0244942608924243
SCAR,high_data,2,2,10,20,0.7,1000,0.4796197576461976,0.6424998503771359,1.1221196080233335
SCAR,high_data,2,2,10,20,0.7,2000,0.35652968490181935,0.6138387513174316,0.970368436219251
SCAR,high_data,2,2,10,20,0.7,2500,0.3683135734200039,0.5875189000331192,0.9558324734531232
SCAR,high_data,2,2,10,20,0.7,3000,0.40106109023504494,0.5879907090325801,0.9890517992676251
SCAR,high_data,2,2,10,20,0.7,4000,0.31678582503998926,0.5134479520022321,0.8302337770422215
SCAR,high_data,2,2,10,20,0.7,5000,0.28837846136951,0.5041996701557896,0.7925781315252995
SCAR,high_data,2,2,10,20,0.8,500,0.5242403622749973,0.6599285646078418,1.184168926882839
SCAR,high_data,2,2,10,20,0.8,1000,0.45471970842720605,0.6500015701635024,1.1047212785907083
SCAR,high_data,2,2,10,20,0.8,2000,0.5099028043549233,0.6689657968268511,1.1788686011817744
SCAR,high_data,2,2,10,20,0.8,2500,0.31127954278310904,0.556954894581639,0.8682344373647481
SCAR,high_data,2,2,10,20,0.8,3000,0.35799264529246316,0.5369445609964757,0.8949372062889389
SCAR,high_data,2,2,10,20,0.8,4000,0.3282020466420496,0.4896708729428883,0.8178729195849379
SCAR,high_data,2,2,10,20,0.8,5000,0.2195183335123033,0.407822611804639,0.6273409453169423
SCAR,high_data,2,2,10,20,0.9,500,0.2909868690417741,0.5542497776649276,0.8452366467067016
SCAR,high_data,2,2,10,20,0.9,1000,0.294009206085058,0.5638925678308593,0.8579017739159173
SCAR,high_data,2,2,10,20,0.9,2000,0.2758264179013594,0.496683876779344,0.7725102946807034
SCAR,high_data,2,2,10,20,0.9,2500,0.25092097527635276,0.43126328259250357,0.6821842578688564
SCAR,high_data,2,2,10,20,0.9,3000,0.27340787151012985,0.4691245959329683,0.7425324674430982
SCAR,high_data,2,2,10,20,0.9,4000,0.2984484235504736,0.4861350886578172,0.7845835122082907
SCAR,high_data,2,2,10,20,0.9,5000,0.2367803383665319,0.4252242370989029,0.6620045754654348
SCAR,high_data,2,2,10,25,0.5,500,0.4116855217037725,0.5537703801750141,0.9654559018787866
SCAR,high_data,2,2,10,25,0.5,1000,0.37138056953278875,0.5352373270596301,0.9066178965924189
SCAR,high_data,2,2,10,25,0.5,2000,0.28436688689438794,0.46296461820524004,0.747331505099628
SCAR,high_data,2,2,10,25,0.5,2500,0.3867724825747258,0.5474579570987107,0.9342304396734364
SCAR,high_data,2,2,10,25,0.5,3000,0.24746593767660485,0.4684258836254318,0.7158918213020367
SCAR,high_data,2,2,10,25,0.5,4000,0.21498858886781816,0.38366431949474256,0.5986529083625607
SCAR,high_data,2,2,10,25,0.5,5000,0.24839842167043122,0.41476729911199245,0.6631657207824236
SCAR,high_data,2,2,10,25,0.6,500,0.42613384335850407,0.5942997612573656,1.0204336046158697
SCAR,high_data,2,2,10,25,0.6,1000,0.5108252708794789,0.584555115959994,1.095380386839473
SCAR,high_data,2,2,10,25,0.6,2000,0.47004251810751974,0.6091508864669609,1.0791934045744807
SCAR,high_data,2,2,10,25,0.6,2500,0.36775388048082436,0.5561961509532978,0.9239500314341221
SCAR,high_data,2,2,10,25,0.6,3000,0.2985083557769501,0.5038071104020927,0.8023154661790428
SCAR,high_data,2,2,10,25,0.6,4000,0.2443748024155299,0.4136270937455417,0.6580018961610716
SCAR,high_data,2,2,10,25,0.6,5000,0.2580822038347671,0.4287190493595137,0.6868012531942809
SCAR,high_data,2,2,10,25,0.7,500,0.4219696970822724,0.6145497529706136,1.036519450052886
SCAR,high_data,2,2,10,25,0.7,1000,0.43221264628600914,0.6014484116546743,1.0336610579406835
SCAR,high_data,2,2,10,25,0.7,2000,0.4463779246315301,0.6099978530439308,1.056375777675461
SCAR,high_data,2,2,10,25,0.7,2500,0.46036192216140853,0.5771464590586948,1.0375083812201034
SCAR,high_data,2,2,10,25,0.7,3000,0.3222255426816665,0.5149503654137428,0.8371759080954093
SCAR,high_data,2,2,10,25,0.7,4000,0.33414993416573563,0.5329734279463567,0.8671233621120924
SCAR,high_data,2,2,10,25,0.7,5000,0.2505560924004342,0.4441360186000304,0.6946921110004646
SCAR,high_data,2,2,10,25,0.8,500,0.354707523563877,0.5968333089031618,0.9515408324670388
SCAR,high_data,2,2,10,25,0.8,1000,0.3981734392126942,0.608370714681501,1.006544153894195
SCAR,high_data,2,2,10,25,0.8,2000,0.4038363668598043,0.6148433282581446,1.0186796951179489
SCAR,high_data,2,2,10,25,0.8,2500,0.39710214662639765,0.6280686052099504,1.025170751836348
SCAR,high_data,2,2,10,25,0.8,3000,0.48688559532081566,0.6409325351220115,1.1278181304428272
SCAR,high_data,2,2,10,25,0.8,4000,0.3969720957667783,0.5703623105819017,0.96733440634868
SCAR,high_data,2,2,10,25,0.8,5000,0.29165505478862064,0.4803504650597886,0.7720055198484093
SCAR,high_data,2,2,10,25,0.9,500,0.26543352859903213,0.544658675476875,0.8100922040759071
SCAR,high_data,2,2,10,25,0.9,1000,0.22091592669192817,0.5265994600849337,0.7475153867768619
SCAR,high_data,2,2,10,25,0.9,2000,0.2641647263441836,0.509848532771036,0.7740132591152196
SCAR,high_data,2,2,10,25,0.9,2500,0.4180605077099362,0.606705289435499,1.0247657971454351
SCAR,high_data,2,2,10,25,0.9,3000,0.5155812617974739,0.6953798640443062,1.21096112584178
