name,prefix,seed,dim,n_clusters,epsilon,ari,nmi,sum
SpectACl,high_data,2,2,10,0.001,-0.006332411078323773,0.027128974590178764,0.02079656351185499
SpectACl,high_data,2,2,10,0.002,-0.016185378986192538,0.07085944108669466,0.05467406210050212
SpectACl,high_data,2,2,10,0.003,-0.025691504796352224,0.1234710049942713,0.09777950019791908
SpectACl,high_data,2,2,10,0.004,-0.02826999515084358,0.1652551884497169,0.13698519329887332
SpectACl,high_data,2,2,10,0.005,-0.030710505056961702,0.20677948583537095,0.17606898077840924
SpectACl,high_data,2,2,10,0.006,-0.02516746261570019,0.2559643964827986,0.23079693386709843
SpectACl,high_data,2,2,10,0.007,0.009064582248031689,0.3532281005104944,0.3622926827585261
SpectACl,high_data,2,2,10,0.008,0.0041668780010889065,0.348205568355503,0.3523724463565919
SpectACl,high_data,2,2,10,0.009,0.02717274752527277,0.39822134413284194,0.4253940916581147
SpectACl,high_data,2,2,10,0.01,0.03910595811628689,0.42195406526008566,0.46106002337637253
SpectACl,high_data,2,2,10,0.02,0.18269803231425483,0.602646628326629,0.7853446606408838
SpectACl,high_data,2,2,10,0.03,0.3653753741270667,0.6870160116957116,1.0523913858227782
SpectACl,high_data,2,2,10,0.04,0.5106124159428038,0.6920868843001846,1.2026993002429884
SpectACl,high_data,2,2,10,0.05,0.5527138691099609,0.6964917677990208,1.2492056369089817
SpectACl,high_data,2,2,10,0.06,0.5021341775805046,0.6700956727278203,1.1722298503083248
SpectACl,high_data,2,2,10,0.07,0.5464720440188277,0.6970324692756237,1.2435045132944513
SpectACl,high_data,2,2,10,0.08,0.536188845845305,0.6728357004890421,1.209024546334347
SpectACl,high_data,2,2,10,0.09,0.5739572497508926,0.6623602078935826,1.2363174576444753
SpectACl,high_data,2,2,10,0.1,0.5366410344826023,0.6426895091106306,1.1793305435932329
SpectACl,high_data,2,2,10,0.12,0.6117500960770226,0.6777148569896762,1.2894649530666986
SpectACl,high_data,2,2,10,0.15,0.3870660030638123,0.5629266239815314,0.9499926270453436
SpectACl,high_data,2,2,10,0.2,0.2881817842008135,0.4723785819974092,0.7605603661982226
SpectACl,high_data,2,2,10,0.25,0.34384474212286964,0.49849258156262366,0.8423373236854933
SpectACl,high_data,2,2,10,0.3,0.34973730112772955,0.4925989066686875,0.842336207796417
SpectACl,high_data,2,2,10,0.4,0.4393388179066962,0.5149782667475507,0.9543170846542468
SpectACl,high_data,2,2,10,0.5,0.4956215715263703,0.551482853011208,1.0471044245375785
SpectACl,high_data,2,5,10,0.001,-0.001355920727281791,0.004927825399116728,0.0035719046718349365
SpectACl,high_data,2,5,10,0.002,-0.005021762155921845,0.015654826476641705,0.010633064320719861
SpectACl,high_data,2,5,10,0.003,-0.006831325757365185,0.03303190071805564,0.026200574960690455
SpectACl,high_data,2,5,10,0.004,-0.005257992527662695,0.04308725850845606,0.037829265980793364
SpectACl,high_data,2,5,10,0.005,-0.007202360437324627,0.06109926869141257,0.053896908254087945
SpectACl,high_data,2,5,10,0.006,-0.012053349013130273,0.1152987375945194,0.10324538858138912
SpectACl,high_data,2,5,10,0.007,-0.007537060906530553,0.1754976862174018,0.16796062531087125
SpectACl,high_data,2,5,10,0.008,-0.005215220890904905,0.2258984924194489,0.220683271528544
SpectACl,high_data,2,5,10,0.009,-0.009549983853578196,0.2578564555833799,0.2483064717298017
SpectACl,high_data,2,5,10,0.01,0.003300319659591437,0.31447732606269185,0.3177776457222833
SpectACl,high_data,2,5,10,0.02,0.09397008624236443,0.5127964050147368,0.6067664912571012
SpectACl,high_data,2,5,10,0.03,0.33373791388512697,0.6872109452519215,1.0209488591370484
SpectACl,high_data,2,5,10,0.04,0.5575393647305761,0.795686642389507,1.353226007120083
SpectACl,high_data,2,5,10,0.05,0.5155735930483425,0.7446084596029661,1.2601820526513086
SpectACl,high_data,2,5,10,0.06,0.4697335990451318,0.6851651051722148,1.1548987042173466
SpectACl,high_data,2,5,10,0.07,0.4100095364343114,0.6203131247754015,1.0303226612097127
SpectACl,high_data,2,5,10,0.08,0.47739976370248716,0.6253215554783461,1.1027213191808332
SpectACl,high_data,2,5,10,0.09,0.46436000520095616,0.6215041440443551,1.0858641492453112
SpectACl,high_data,2,5,10,0.1,0.38723065340459606,0.5817833655471912,0.9690140189517873
SpectACl,high_data,2,5,10,0.12,0.4225323343092745,0.5860809110611138,1.0086132453703884
SpectACl,high_data,2,5,10,0.15,0.37534133127227126,0.5612757159225116,0.9366170471947828
SpectACl,high_data,2,5,10,0.2,0.36272001042836755,0.5495416039088892,0.9122616143372567
SpectACl,high_data,2,5,10,0.25,0.37843405575427735,0.5416734175156684,0.9201074732699458
SpectACl,high_data,2,5,10,0.3,0.3621991272100231,0.4866194159899125,0.8488185431999355
SpectACl,high_data,2,5,10,0.4,0.29619385273387316,0.44454088316276386,0.740734735896637
SpectACl,high_data,2,5,10,0.5,0.3314650633498074,0.5406706903650085,0.8721357537148159
SpectACl,high_data,2,10,10,0.001,0.0,0.0,0.0
SpectACl,high_data,2,10,10,0.002,0.0,0.0,0.0
SpectACl,high_data,2,10,10,0.003,0.0,0.0,0.0
SpectACl,high_data,2,10,10,0.004,-0.00027718636721287085,0.004288573720523629,0.004011387353310758
SpectACl,high_data,2,10,10,0.005,-0.0005993190018390379,0.011810128995919688,0.01121080999408065
SpectACl,high_data,2,10,10,0.006,-0.005044963507385825,0.0406168885984322,0.035571925091046376
SpectACl,high_data,2,10,10,0.007,-0.004482265470968762,0.04101945141925092,0.036537185948282154
