name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,high_data,2,2,0.001,2,10,0.01,0.501931390531797,0.6149033390309153,1.1168347295627123
DipMeans,high_data,2,2,0.001,2,12,0.01,0.4889960821936704,0.6126505951343143,1.1016466773279847
DipMeans,high_data,2,2,0.001,2,15,0.01,0.44835702749886536,0.6163689462604801,1.0647259737593455
DipMeans,high_data,2,2,0.001,2,20,0.01,0.47449981831119487,0.6499232325723052,1.1244230508835
DipMeans,high_data,2,2,0.001,2,25,0.01,0.4485644099182616,0.6464547176854826,1.0950191276037442
DipMeans,high_data,2,2,0.001,2,30,0.01,0.4021914597811152,0.6649133968347829,1.067104856615898
DipMeans,high_data,2,2,0.001,5,10,0.01,0.5142295213722773,0.629904518258252,1.1441340396305293
DipMeans,high_data,2,2,0.001,5,12,0.01,0.48933249704947573,0.6127375993461923,1.102070096395668
DipMeans,high_data,2,2,0.001,5,15,0.01,0.4471925780377964,0.6151682520961456,1.062360830133942
DipMeans,high_data,2,2,0.001,5,20,0.01,0.4787091728302488,0.649157143610191,1.1278663164404397
DipMeans,high_data,2,2,0.001,5,25,0.01,0.4146522048556225,0.6398544848308326,1.054506689686455
DipMeans,high_data,2,2,0.001,5,30,0.01,0.40464183034606294,0.6392948989319374,1.0439367292780002
DipMeans,high_data,2,2,0.001,7,10,0.01,0.499098031043925,0.6098511205623963,1.1089491516063212
DipMeans,high_data,2,2,0.001,7,12,0.01,0.4889960821936704,0.6126505951343142,1.1016466773279845
DipMeans,high_data,2,2,0.001,7,15,0.01,0.4398346258174109,0.6144194199408138,1.0542540457582248
DipMeans,high_data,2,2,0.001,7,20,0.01,0.47439864335262877,0.6464597868528374,1.1208584302054663
DipMeans,high_data,2,2,0.001,7,25,0.01,0.4143921776738478,0.6393089260825009,1.0537011037563486
DipMeans,high_data,2,2,0.001,7,30,0.01,0.4066659951245616,0.6557317768824336,1.062397772006995
DipMeans,high_data,2,2,0.001,10,12,0.01,0.45821986939071446,0.6124287808295749,1.0706486502202894
DipMeans,high_data,2,2,0.001,10,15,0.01,0.49213746668096725,0.6371493389546443,1.1292868056356116
DipMeans,high_data,2,2,0.001,10,20,0.01,0.47449981831119487,0.6499232325723051,1.1244230508835
DipMeans,high_data,2,2,0.001,10,25,0.01,0.41400756510813913,0.6392368637709029,1.0532444288790421
DipMeans,high_data,2,2,0.001,10,30,0.01,0.41347423095508046,0.6604199887802017,1.073894219735282
DipMeans,high_data,2,2,0.001,12,15,0.01,0.45447561201619574,0.6212593289480698,1.0757349409642656
DipMeans,high_data,2,2,0.001,12,20,0.01,0.4727760743104586,0.6460538660324181,1.1188299403428767
DipMeans,high_data,2,2,0.001,12,25,0.01,0.4142036178914184,0.6392763849737878,1.0534800028652063
DipMeans,high_data,2,2,0.001,12,30,0.01,0.4252491929270025,0.6559929391244252,1.0812421320514276
DipMeans,high_data,2,2,0.001,15,20,0.01,0.4727760743104586,0.6460538660324178,1.1188299403428763
DipMeans,high_data,2,2,0.001,15,25,0.01,0.41400756510813913,0.6392368637709029,1.0532444288790421
DipMeans,high_data,2,2,0.001,15,30,0.01,0.4105166203128907,0.660688349624921,1.0712049699378117
DipMeans,high_data,2,2,0.001,2,10,0.02,0.5150275855716975,0.6376150104932339,1.1526425960649314
DipMeans,high_data,2,2,0.001,2,12,0.02,0.4592810089327976,0.6132398037608731,1.0725208126936707
DipMeans,high_data,2,2,0.001,2,15,0.02,0.4918265424581694,0.6371662370489115,1.1289927795070809
DipMeans,high_data,2,2,0.001,2,20,0.02,0.4738595993176196,0.6475445569688083,1.1214041562864279
DipMeans,high_data,2,2,0.001,2,25,0.02,0.4144538698572448,0.6393509797385156,1.0538048495957604
DipMeans,high_data,2,2,0.001,2,30,0.02,0.4069098077802244,0.6557680180321346,1.062677825812359
DipMeans,high_data,2,2,0.001,5,10,0.02,0.5211066432228111,0.6367366330467015,1.1578432762695126
DipMeans,high_data,2,2,0.001,5,12,0.02,0.459833230261542,0.613899119483647,1.073732349745189
DipMeans,high_data,2,2,0.001,5,15,0.02,0.4929109175171635,0.6380847733364479,1.1309956908536114
DipMeans,high_data,2,2,0.001,5,20,0.02,0.4745449846293922,0.6462906874103671,1.1208356720397594
DipMeans,high_data,2,2,0.001,5,25,0.02,0.41400756510813913,0.6392368637709029,1.0532444288790421
DipMeans,high_data,2,2,0.001,5,30,0.02,0.4190450238393946,0.6703625314021395,1.089407555241534
DipMeans,high_data,2,2,0.001,7,10,0.02,0.499645210870414,0.626336165711386,1.1259813765817999
DipMeans,high_data,2,2,0.001,7,12,0.02,0.4329338355584277,0.5966551856870781,1.0295890212455059
DipMeans,high_data,2,2,0.001,7,15,0.02,0.47301080726983835,0.6283010677534799,1.1013118750233182
DipMeans,high_data,2,2,0.001,7,20,0.02,0.45565214461163234,0.6579409728644344,1.1135931174760667
DipMeans,high_data,2,2,0.001,7,25,0.02,0.4196472217224718,0.6570617911347625,1.0767090128572343
DipMeans,high_data,2,2,0.001,7,30,0.02,0.38332957389764466,0.6601603385156231,1.0434899124132677
DipMeans,high_data,2,2,0.001,10,12,0.02,0.45821986939071446,0.6124287808295749,1.0706486502202894
DipMeans,high_data,2,2,0.001,10,15,0.02,0.49213746668096725,0.6371493389546443,1.1292868056356116
DipMeans,high_data,2,2,0.001,10,20,0.02,0.47449981831119487,0.6499232325723051,1.1244230508835
DipMeans,high_data,2,2,0.001,10,25,0.02,0.41400756510813913,0.6392368637709029,1.0532444288790421
