name,prefix,seed,dim,xi,min_cluster_size,predecessor_correction,ari,nmi,sum
OPTICS,high_data,0,2,0.01,10,True,0.015223583535039392,0.40616663926673774,0.4213902228017771
OPTICS,high_data,0,2,0.01,50,True,0.0558604882613418,0.47157843909616054,0.5274389273575023
OPTICS,high_data,0,2,0.01,100,True,0.1362173719255935,0.5190175254306119,0.6552348973562053
OPTICS,high_data,0,2,0.01,150,True,0.1239675482022762,0.5067003390024997,0.6306678872047758
OPTICS,high_data,0,2,0.01,200,True,0.13433131599293605,0.5184575046314911,0.6527888206244271
OPTICS,high_data,0,2,0.01,250,True,0.16683305081538893,0.5681503117894798,0.7349833626048687
OPTICS,high_data,0,2,0.01,300,True,0.15332526544371144,0.5387270495424933,0.6920523149862048
OPTICS,high_data,0,2,0.01,350,True,0.10849452378614334,0.4698410581317183,0.5783355819178616
OPTICS,high_data,0,2,0.01,400,True,0.1465524407394621,0.5233540759519275,0.6699065166913896
OPTICS,high_data,0,2,0.01,500,True,0.08809260573308979,0.4287067046514393,0.5167993103845291
OPTICS,high_data,0,2,0.02,10,True,0.01830304943224432,0.4004539102652097,0.418756959697454
OPTICS,high_data,0,2,0.02,50,True,0.06041575073628454,0.46805545505200224,0.5284712057882868
OPTICS,high_data,0,2,0.02,100,True,0.1372595961295579,0.5198839268970692,0.6571435230266272
OPTICS,high_data,0,2,0.02,150,True,0.12306794260502535,0.5055777880319623,0.6286457306369877
OPTICS,high_data,0,2,0.02,200,True,0.13393590397425548,0.5180091146968415,0.651945018671097
OPTICS,high_data,0,2,0.02,250,True,0.16640831664881428,0.5677341906464435,0.7341425072952578
OPTICS,high_data,0,2,0.02,300,True,0.21805392977944946,0.6068158357560183,0.8248697655354678
OPTICS,high_data,0,2,0.02,350,True,0.1677810043820844,0.542880344750483,0.7106613491325674
OPTICS,high_data,0,2,0.02,400,True,0.1677810043820844,0.542880344750483,0.7106613491325674
OPTICS,high_data,0,2,0.02,500,True,0.11265462199629131,0.45543688820787115,0.5680915102041625
OPTICS,high_data,0,2,0.03,10,True,0.02519991002007046,0.3994099942370946,0.42460990425716505
OPTICS,high_data,0,2,0.03,50,True,0.07774104321873025,0.4896645185715157,0.5674055617902459
OPTICS,high_data,0,2,0.03,100,True,0.15511735588217346,0.521694998631641,0.6768123545138145
OPTICS,high_data,0,2,0.03,150,True,0.33325844429865215,0.6380965484809458,0.9713549927795979
OPTICS,high_data,0,2,0.03,200,True,0.33605897835473836,0.6513413832309966,0.987400361585735
OPTICS,high_data,0,2,0.03,250,True,0.37930018839701674,0.6918159408841075,1.0711161292811242
OPTICS,high_data,0,2,0.03,300,True,0.5803649072031394,0.7832362547682882,1.3636011619714274
OPTICS,high_data,0,2,0.03,350,True,0.48207335119772654,0.7235595956365217,1.2056329468342484
OPTICS,high_data,0,2,0.03,400,True,0.48207335119772654,0.7235595956365217,1.2056329468342484
OPTICS,high_data,0,2,0.03,500,True,0.3593559987581248,0.6404863348361896,0.9998423335943143
OPTICS,high_data,0,2,0.04,10,True,0.024614340076952877,0.3958499390125424,0.4204642790894953
OPTICS,high_data,0,2,0.04,50,True,0.10001740546739087,0.49734312377189493,0.5973605292392858
OPTICS,high_data,0,2,0.04,100,True,0.17604644873808084,0.5342085853011012,0.710255034039182
OPTICS,high_data,0,2,0.04,150,True,0.44616613866450827,0.7122255468372768,1.158391685501785
OPTICS,high_data,0,2,0.04,200,True,0.42418277620256917,0.7158010061593127,1.139983782361882
OPTICS,high_data,0,2,0.04,250,True,0.5587392634743352,0.8028847406026313,1.3616240040769665
OPTICS,high_data,0,2,0.04,300,True,0.5803468708059129,0.7836819599480933,1.3640288307540063
OPTICS,high_data,0,2,0.04,350,True,0.48207335119772654,0.7235595956365217,1.2056329468342484
OPTICS,high_data,0,2,0.04,400,True,0.48207335119772654,0.7235595956365217,1.2056329468342484
OPTICS,high_data,0,2,0.04,500,True,0.3593559987581248,0.6404863348361896,0.9998423335943143
OPTICS,high_data,0,2,0.05,10,True,0.027678159424098257,0.3920259262485557,0.41970408567265394
OPTICS,high_data,0,2,0.05,50,True,0.12119285178708686,0.5027846579608539,0.6239775097479408
OPTICS,high_data,0,2,0.05,100,True,0.18371125436004623,0.5411603032318039,0.7248715575918501
OPTICS,high_data,0,2,0.05,150,True,0.8168303705098962,0.900555969332596,1.7173863398424922
OPTICS,high_data,0,2,0.05,200,True,0.8914013807098651,0.9319769473004109,1.823378328010276
OPTICS,high_data,0,2,0.05,250,True,0.8914013807098651,0.9319769473004109,1.823378328010276
OPTICS,high_data,0,2,0.05,300,True,0.7297358942640931,0.8564894130936845,1.5862253073577777
OPTICS,high_data,0,2,0.05,350,True,0.6300585997929126,0.8051086325685672,1.4351672323614797
OPTICS,high_data,0,2,0.05,400,True,0.6300585997929126,0.8051086325685672,1.4351672323614797
OPTICS,high_data,0,2,0.05,500,True,0.49731138807886094,0.7351286744994121,1.232440062578273
OPTICS,high_data,0,2,0.06,10,True,0.02684503123823991,0.386769734371563,0.41361476560980287
OPTICS,high_data,0,2,0.06,50,True,0.11836816511344199,0.5033006025554175,0.6216687676688595
OPTICS,high_data,0,2,0.06,100,True,0.22977991166739978,0.5960941655853125,0.8258740772527122
OPTICS,high_data,0,2,0.06,150,True,0.8165578443705052,0.9004698267727782,1.7170276711432835
OPTICS,high_data,0,2,0.06,200,True,0.7293001936872696,0.8765627515171026,1.6058629452043722
OPTICS,high_data,0,2,0.06,250,True,0.7293001936872696,0.8765627515171026,1.6058629452043722
