name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
kmeans,high_data,4,2,10,1,0.5404482157153184,0.644350515305646,1.1847987310209644
kmeans,high_data,4,2,10,2,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,3,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,4,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,5,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,6,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,7,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,8,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,9,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,2,10,10,0.476222189390088,0.6013749912824587,1.0775971806725466
kmeans,high_data,4,5,10,1,0.31462488873649974,0.5240157027326688,0.8386405914691686
kmeans,high_data,4,5,10,2,0.31462488873649974,0.5240157027326688,0.8386405914691686
kmeans,high_data,4,5,10,3,0.31462488873649974,0.5240157027326688,0.8386405914691686
kmeans,high_data,4,5,10,4,0.31462488873649974,0.5240157027326688,0.8386405914691686
kmeans,high_data,4,5,10,5,0.30899519607571035,0.5217079110492414,0.8307031071249518
kmeans,high_data,4,5,10,6,0.30899519607571035,0.5217079110492414,0.8307031071249518
kmeans,high_data,4,5,10,7,0.3105584705588355,0.5236663141699538,0.8342247847287894
kmeans,high_data,4,5,10,8,0.3105584705588355,0.5236663141699538,0.8342247847287894
kmeans,high_data,4,5,10,9,0.3105584705588355,0.5236663141699538,0.8342247847287894
kmeans,high_data,4,5,10,10,0.3105584705588355,0.5236663141699538,0.8342247847287894
kmeans,high_data,4,10,10,1,0.6726063715977222,0.7604382597330407,1.433044631330763
kmeans,high_data,4,10,10,2,0.6726063715977222,0.7604382597330407,1.433044631330763
kmeans,high_data,4,10,10,3,0.6726063715977222,0.7604382597330407,1.433044631330763
kmeans,high_data,4,10,10,4,0.6726063715977222,0.7604382597330407,1.433044631330763
kmeans,high_data,4,10,10,5,0.6726063715977222,0.7604382597330407,1.433044631330763
kmeans,high_data,4,10,10,6,0.6713950917829586,0.7587602728128727,1.4301553645958314
kmeans,high_data,4,10,10,7,0.6713950917829586,0.7587602728128727,1.4301553645958314
kmeans,high_data,4,10,10,8,0.6713950917829586,0.7587602728128727,1.4301553645958314
kmeans,high_data,4,10,10,9,0.6713950917829586,0.7587602728128727,1.4301553645958314
kmeans,high_data,4,10,10,10,0.6713950917829586,0.7587602728128727,1.4301553645958314
kmeans,high_data,4,50,10,1,0.5440394847521088,0.7183452547042087,1.2623847394563175
kmeans,high_data,4,50,10,2,0.5440394847521088,0.7183452547042087,1.2623847394563175
kmeans,high_data,4,50,10,3,0.5440394847521088,0.7183452547042087,1.2623847394563175
kmeans,high_data,4,50,10,4,0.5440394847521088,0.7183452547042087,1.2623847394563175
kmeans,high_data,4,50,10,5,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,50,10,6,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,50,10,7,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,50,10,8,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,50,10,9,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,50,10,10,0.6091209982615621,0.7559239579371021,1.3650449561986642
kmeans,high_data,4,100,10,1,0.5360679405030156,0.7269610744215923,1.263029014924608
kmeans,high_data,4,100,10,2,0.392241202698534,0.6528695839242856,1.0451107866228195
kmeans,high_data,4,100,10,3,0.392241202698534,0.6528695839242856,1.0451107866228195
kmeans,high_data,4,100,10,4,0.4825644644853015,0.7363271720042598,1.2188916364895612
kmeans,high_data,4,100,10,5,0.624257276609807,0.7905704225194314,1.4148276991292383
kmeans,high_data,4,100,10,6,0.624257276609807,0.7905704225194314,1.4148276991292383
kmeans,high_data,4,100,10,7,0.6297311364083864,0.7910765802118763,1.4208077166202626
kmeans,high_data,4,100,10,8,0.6297311364083864,0.7910765802118763,1.4208077166202626
kmeans,high_data,4,100,10,9,0.6297311364083864,0.7910765802118763,1.4208077166202626
kmeans,high_data,4,100,10,10,0.6297311364083864,0.7910765802118763,1.4208077166202626
