name,prefix,seed,dim,cluster_all,bandwidth,ari,nmi,sum
MeanShift,high_data,0,2,True,0.01,0.10696105436032044,0.5648054792591772,0.6717665336194977
MeanShift,high_data,0,2,True,0.02,0.30688014766021066,0.6323155230776725,0.9391956707378831
MeanShift,high_data,0,2,True,0.03,0.43474366339896875,0.6496088383875628,1.0843525017865314
MeanShift,high_data,0,2,True,0.04,0.5427509519890173,0.658986093893715,1.2017370458827323
MeanShift,high_data,0,2,True,0.05,0.5969242946061284,0.6824639233073004,1.2793882179134288
MeanShift,high_data,0,2,True,0.06,0.6423047682884339,0.6822607855082673,1.3245655537967012
MeanShift,high_data,0,2,True,0.07,0.597805692625111,0.6450660729596919,1.2428717655848027
MeanShift,high_data,0,2,True,0.08,0.5532488679427476,0.6386256342459113,1.191874502188659
MeanShift,high_data,0,2,True,0.09,0.5106342046498722,0.611406406906809,1.1220406115566812
MeanShift,high_data,0,2,True,0.1,0.4486671563646436,0.571618734880701,1.0202858912453445
MeanShift,high_data,0,2,True,0.11,0.43001992407737155,0.5741633684011445,1.004183292478516
MeanShift,high_data,0,2,True,0.12,0.4417521187459725,0.5722165783161357,1.0139686970621082
MeanShift,high_data,0,2,True,0.13,0.40696937892608215,0.5652193617832038,0.972188740709286
MeanShift,high_data,0,2,True,0.14,0.20644642277589728,0.428615233021216,0.6350616557971133
MeanShift,high_data,0,2,True,0.15,0.09671290421703024,0.28500264450714524,0.38171554872417546
MeanShift,high_data,0,2,True,0.16,0.09651943691093876,0.28223520797640117,0.3787546448873399
MeanShift,high_data,0,2,True,0.17,0.08474105128158473,0.2525335318439511,0.3372745831255358
MeanShift,high_data,0,2,True,0.18,0.034944448878158105,0.14654878532365676,0.18149323420181485
MeanShift,high_data,0,2,True,0.19,0.02883194315131593,0.09949068160540064,0.12832262475671657
MeanShift,high_data,0,2,True,0.2,0.023815741188169325,0.08936659290127492,0.11318233408944425
MeanShift,high_data,0,2,True,0.21,0.021109968817474803,0.08433006130232237,0.10544003011979718
MeanShift,high_data,0,2,True,0.22,0.020960263993383008,0.08410169608899269,0.1050619600823757
MeanShift,high_data,0,2,True,0.23,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.24,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.25,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.28,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.3,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.35,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.4,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.45,0.0,0.0,0.0
MeanShift,high_data,0,2,True,0.5,0.0,0.0,0.0
MeanShift,high_data,0,2,False,0.01,0.07337358495053012,0.5091244750394789,0.582498059990009
MeanShift,high_data,0,2,False,0.02,0.1772131550317894,0.5579452314208563,0.7351583864526456
MeanShift,high_data,0,2,False,0.03,0.2725220893479423,0.5926314776491356,0.8651535669970779
MeanShift,high_data,0,2,False,0.04,0.3401389601678483,0.5882872482382457,0.928426208406094
MeanShift,high_data,0,2,False,0.05,0.4001001072462034,0.6092045176337184,1.0093046248799218
MeanShift,high_data,0,2,False,0.06,0.45655924802459785,0.6069896670150237,1.0635489150396216
MeanShift,high_data,0,2,False,0.07,0.34295944900403225,0.5299130135066279,0.8728724625106601
MeanShift,high_data,0,2,False,0.08,0.3611173790071178,0.529127220918905,0.8902445999260228
MeanShift,high_data,0,2,False,0.09,0.4187163818814038,0.5389231627961742,0.9576395446775781
MeanShift,high_data,0,2,False,0.1,0.416575718780998,0.5171823227768759,0.9337580415578739
MeanShift,high_data,0,2,False,0.11,0.4440060427111403,0.5320326250684829,0.9760386677796232
MeanShift,high_data,0,2,False,0.12,0.4400051205141761,0.5258221406929557,0.9658272612071319
MeanShift,high_data,0,2,False,0.13,0.40529779818556444,0.5239904318529645,0.9292882300385289
MeanShift,high_data,0,2,False,0.14,0.1937223114579404,0.3679212928706687,0.561643604328609
MeanShift,high_data,0,2,False,0.15,0.14652114951409717,0.29966431890325174,0.4461854684173489
MeanShift,high_data,0,2,False,0.16,0.14698854636333977,0.2946395001342955,0.4416280464976353
MeanShift,high_data,0,2,False,0.17,0.1454867999087567,0.28256230118449266,0.42804910109324934
MeanShift,high_data,0,2,False,0.18,0.1460713490055128,0.27737167686644804,0.4234430258719608
MeanShift,high_data,0,2,False,0.19,0.127131542281759,0.2203376972631168,0.3474692395448758
MeanShift,high_data,0,2,False,0.2,0.12558986366750552,0.22318079411825842,0.34877065778576394
MeanShift,high_data,0,2,False,0.21,0.1256121704363613,0.22956476092558445,0.3551769313619457
MeanShift,high_data,0,2,False,0.22,0.12179627090600663,0.22940893213200264,0.3512052030380093
MeanShift,high_data,0,2,False,0.23,0.11465680641803926,0.21647005369108943,0.3311268601091287
MeanShift,high_data,0,2,False,0.24,0.10484692431618026,0.20534046039871995,0.3101873847149002
MeanShift,high_data,0,2,False,0.25,0.09235647375065312,0.19122451142467284,0.28358098517532593
MeanShift,high_data,0,2,False,0.28,0.06449587618584092,0.17005377733238505,0.234549653518226
MeanShift,high_data,0,2,False,0.3,0.05459720203527467,0.1658083491151068,0.22040555115038146
MeanShift,high_data,0,2,False,0.35,0.03835864268469474,0.15409010250389735,0.1924487451885921
MeanShift,high_data,0,2,False,0.4,0.025614417799862278,0.12087194028233318,0.14648635808219546
MeanShift,high_data,0,2,False,0.45,0.01818367986332251,0.09652996600306005,0.11471364586638255
MeanShift,high_data,0,2,False,0.5,0.010005675554360058,0.06727253388053057,0.07727820943489064
