name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,high_data,0,2,2,0.05205255687763986,0.45823665772043837,0.5102892145980782
HDBSCAN,high_data,0,2,3,0.7209081034038146,0.6924526041484388,1.4133607075522534
HDBSCAN,high_data,0,2,4,0.7546740118439565,0.7395770339504899,1.4942510457944465
HDBSCAN,high_data,0,2,5,0.7767020142475644,0.768237656774539,1.5449396710221035
HDBSCAN,high_data,0,2,6,0.8136745782128862,0.7958447361869805,1.6095193143998667
HDBSCAN,high_data,0,2,7,0.7414744890744932,0.7548426279754766,1.4963171170499698
HDBSCAN,high_data,0,2,8,0.7297746877277603,0.748022197977053,1.4777968857048134
HDBSCAN,high_data,0,2,9,0.7450898409417948,0.7647840125427764,1.5098738534845713
HDBSCAN,high_data,0,2,10,0.7445622544608794,0.7693774303123143,1.5139396847731939
HDBSCAN,high_data,0,2,11,0.7254854990790442,0.7588479640210717,1.484333463100116
HDBSCAN,high_data,0,2,12,0.7258125869511965,0.7609039700747301,1.4867165570259266
HDBSCAN,high_data,0,2,13,0.7173587993719753,0.7617800160543194,1.4791388154262948
HDBSCAN,high_data,0,2,14,0.7521898440171385,0.7862718080680061,1.5384616520851446
HDBSCAN,high_data,0,2,15,0.6826024968162471,0.7464782294901394,1.4290807263063865
HDBSCAN,high_data,0,2,16,0.7445811644654008,0.7828746865094994,1.5274558509749
HDBSCAN,high_data,0,2,17,0.72473996120925,0.7693589090784115,1.4940988702876616
HDBSCAN,high_data,0,2,18,0.7091604464534113,0.7608639017156522,1.4700243481690634
HDBSCAN,high_data,0,2,19,0.699721762533661,0.7595073925898956,1.4592291551235568
HDBSCAN,high_data,0,2,20,0.6998870505749851,0.7613707261763871,1.4612577767513724
HDBSCAN,high_data,0,2,21,0.5758605681307442,0.715734878649976,1.29159544678072
HDBSCAN,high_data,0,2,22,0.5688807105104413,0.7124257161329431,1.2813064266433845
HDBSCAN,high_data,0,2,23,0.5703087831234184,0.7127543661103386,1.283063149233757
HDBSCAN,high_data,0,2,24,0.3459173533937018,0.6227378536855231,0.9686552070792249
HDBSCAN,high_data,0,2,25,0.3256398501353095,0.6128717700034979,0.9385116201388074
HDBSCAN,high_data,0,2,26,0.3199934431538696,0.6104380322700289,0.9304314754238985
HDBSCAN,high_data,0,2,27,0.30671337955449535,0.6034440095021943,0.9101573890566896
HDBSCAN,high_data,0,2,28,0.2850783103760042,0.591566223445737,0.8766445338217411
HDBSCAN,high_data,0,2,29,0.3015986896213223,0.6019667272713519,0.9035654168926742
HDBSCAN,high_data,0,2,30,0.29335019076411,0.598954915917022,0.892305106681132
HDBSCAN,high_data,0,5,2,0.9319634177492583,0.8926864873733059,1.8246499051225642
HDBSCAN,high_data,0,5,3,0.9459382379636008,0.9279562314167361,1.8738944693803368
HDBSCAN,high_data,0,5,4,0.9468097530870772,0.9358664438328922,1.8826761969199692
HDBSCAN,high_data,0,5,5,0.945199691150036,0.9418875850183682,1.8870872761684043
HDBSCAN,high_data,0,5,6,0.9450078542205139,0.9440870037497934,1.8890948579703073
HDBSCAN,high_data,0,5,7,0.8996249555576389,0.9291033562767803,1.828728311834419
HDBSCAN,high_data,0,5,8,0.8983209318155438,0.9279209694506383,1.8262419012661821
HDBSCAN,high_data,0,5,9,0.9028476906663837,0.932288113217131,1.8351358038835146
HDBSCAN,high_data,0,5,10,0.9001253051252457,0.931197415946008,1.8313227210712537
HDBSCAN,high_data,0,5,11,0.9008934518508014,0.9314190742064518,1.8323125260572533
HDBSCAN,high_data,0,5,12,0.9005117649765069,0.9257551164955439,1.8262668814720509
HDBSCAN,high_data,0,5,13,0.6374107936793182,0.8445807902090409,1.481991583888359
HDBSCAN,high_data,0,5,14,0.6368374935807736,0.8439233512677783,1.4807608448485519
HDBSCAN,high_data,0,5,15,0.8932997202186096,0.9194885300858212,1.8127882503044308
HDBSCAN,high_data,0,5,16,0.7895400885383586,0.8867601287092198,1.6763002172475785
HDBSCAN,high_data,0,5,17,0.7855278216316796,0.8830064539130862,1.6685342755447659
HDBSCAN,high_data,0,5,18,0.631501069520802,0.834666565606467,1.466167635127269
HDBSCAN,high_data,0,5,19,0.627538530196609,0.8322793221445046,1.4598178523411136
HDBSCAN,high_data,0,5,20,0.6200500090863121,0.8244126139469051,1.4444626230332172
HDBSCAN,high_data,0,5,21,0.503804924483621,0.740680925064922,1.2444858495485431
HDBSCAN,high_data,0,5,22,0.5750880857137323,0.7788347622661406,1.3539228479798728
HDBSCAN,high_data,0,5,23,0.5015201975096323,0.7310081653945321,1.2325283629041643
HDBSCAN,high_data,0,5,24,0.5013435633550063,0.7310952565773694,1.2324388199323757
HDBSCAN,high_data,0,5,25,0.49836040484470395,0.7258249331882033,1.2241853380329073
HDBSCAN,high_data,0,5,26,0.4976805290923351,0.7254643412675168,1.223144870359852
HDBSCAN,high_data,0,5,27,0.49979166605400216,0.7278203348257427,1.2276120008797449
HDBSCAN,high_data,0,5,28,0.48333171137759284,0.7039030582160224,1.1872347695936152
HDBSCAN,high_data,0,5,29,0.4823051174166506,0.7029061445860525,1.185211262002703
HDBSCAN,high_data,0,5,30,0.4827970027540342,0.7034048878055011,1.1862018905595353
HDBSCAN,high_data,0,10,2,0.9776262811725692,0.9633408780391427,1.940967159211712
HDBSCAN,high_data,0,10,3,0.9926889346328484,0.988730663771495,1.9814195984043432
HDBSCAN,high_data,0,10,4,0.9943414135731724,0.991570762014027,1.9859121755871993
HDBSCAN,high_data,0,10,5,0.9991209067623731,0.9987166540098192,1.9978375607721923
