name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,high_data,4,50,10,10,0.5,500,0.07187834965597027,0.17696994603552138,0.24884829569149164
SCAR,high_data,4,50,10,10,0.5,1000,0.07402602054202331,0.17584735951018282,0.24987338005220613
SCAR,high_data,4,50,10,10,0.5,2000,0.07292936159864039,0.1795801645089058,0.2525095261075462
SCAR,high_data,4,50,10,10,0.5,2500,0.057549660456080225,0.14721818194363412,0.20476784239971435
SCAR,high_data,4,50,10,10,0.5,3000,0.06187158586052648,0.15243052075671326,0.21430210661723975
SCAR,high_data,4,50,10,10,0.5,4000,0.04719906341584743,0.13408115470255091,0.18128021811839834
SCAR,high_data,4,50,10,10,0.6,500,0.046338471817522084,0.11163361259933775,0.15797208441685984
SCAR,high_data,4,50,10,10,0.6,1000,0.03780452784592488,0.10394757478503368,0.14175210263095855
SCAR,high_data,4,50,10,10,0.6,2000,0.06857688624593902,0.1463410202765406,0.21491790652247963
SCAR,high_data,4,50,10,10,0.6,2500,0.10528466746642151,0.17116636233683266,0.2764510298032542
SCAR,high_data,4,50,10,10,0.6,3000,0.028666650488081393,0.07909740957039325,0.10776406005847465
SCAR,high_data,4,50,10,10,0.6,4000,0.02661336129235106,0.12653104245407581,0.15314440374642688
SCAR,high_data,4,50,10,10,0.7,500,0.13759890631640895,0.2665141079968316,0.40411301431324054
SCAR,high_data,4,50,10,10,0.7,1000,0.10828358419417246,0.22266496021181453,0.330948544405987
SCAR,high_data,4,50,10,10,0.7,2000,0.0378843925129234,0.132760147099873,0.1706445396127964
SCAR,high_data,4,50,10,10,0.7,2500,0.04072983930067686,0.09821561755510669,0.13894545685578355
SCAR,high_data,4,50,10,10,0.7,3000,0.027842868040791134,0.08192038064290806,0.10976324868369919
SCAR,high_data,4,50,10,10,0.7,4000,0.046282833555370176,0.11827772928479229,0.16456056284016246
SCAR,high_data,4,50,10,10,0.8,500,0.06532302465195614,0.1232009191579473,0.18852394380990345
SCAR,high_data,4,50,10,10,0.8,1000,0.031109796436089885,0.08039605991196262,0.1115058563480525
SCAR,high_data,4,50,10,10,0.8,2000,0.049359301563119955,0.11953649066157224,0.1688957922246922
SCAR,high_data,4,50,10,10,0.8,2500,0.03873650741154053,0.11631223051308327,0.15504873792462381
SCAR,high_data,4,50,10,10,0.8,3000,0.09284246006268979,0.2144771604647491,0.3073196205274389
SCAR,high_data,4,50,10,10,0.8,4000,0.08230846467315009,0.19453048096627767,0.2768389456394278
SCAR,high_data,4,50,10,10,0.9,500,0.09603298794794328,0.17818226153323058,0.2742152494811739
SCAR,high_data,4,50,10,10,0.9,1000,0.004466799063038488,0.032139876622995826,0.03660667568603432
SCAR,high_data,4,50,10,10,0.9,2000,0.006225108625313018,0.0454377333433607,0.05166284196867372
SCAR,high_data,4,50,10,10,0.9,2500,0.006750383712050317,0.05060422975936316,0.057354613471413476
SCAR,high_data,4,50,10,10,0.9,3000,0.007190377989370143,0.05292030532562155,0.0601106833149917
SCAR,high_data,4,50,10,10,0.9,4000,0.006765004633216562,0.051082574397288805,0.057847579030505365
SCAR,high_data,4,50,10,15,0.5,500,0.07977991845929973,0.187529803777567,0.2673097222368667
SCAR,high_data,4,50,10,15,0.5,1000,0.05633085438983053,0.1483851948579205,0.20471604924775105
SCAR,high_data,4,50,10,15,0.5,2000,0.05718842596337694,0.1442546844747927,0.20144311043816965
SCAR,high_data,4,50,10,15,0.5,2500,0.07594052817139425,0.1620388741155016,0.23797940228689585
