name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,high_data,0,2,10,0.01,10,0.4599908521627912,0.5945415575844547,1.054532409747246
Birch,high_data,0,2,10,0.01,25,0.19868076372698332,0.4253277045442519,0.6240084682712352
Birch,high_data,0,2,10,0.01,40,0.45009158389587345,0.5745626563721729,1.0246542402680463
Birch,high_data,0,2,10,0.01,50,0.3862764096912635,0.5202019771747058,0.9064783868659694
Birch,high_data,0,2,10,0.01,60,0.32771014904087103,0.5311147368351263,0.8588248858759974
Birch,high_data,0,2,10,0.01,75,0.41037796086209266,0.5411181816876975,0.9514961425497902
Birch,high_data,0,2,10,0.01,100,0.47032064510773886,0.6230387594140545,1.0933594045217934
Birch,high_data,0,2,10,0.01,150,0.33820482636919996,0.5110683991191125,0.8492732254883124
Birch,high_data,0,2,10,0.01,200,0.41241482426230575,0.5430819711757553,0.9554967954380611
Birch,high_data,0,2,10,0.01,250,0.45186850091704167,0.5693765659998465,1.0212450669168882
Birch,high_data,0,2,10,0.01,300,0.37475263546412585,0.5517870086959399,0.9265396441600657
Birch,high_data,0,2,10,0.01,400,0.4077861580706966,0.5439820643403913,0.9517682224110879
Birch,high_data,0,2,10,0.01,500,0.45186850091704167,0.5693765659998465,1.0212450669168882
Birch,high_data,0,2,10,0.01,600,0.42754415692904724,0.5617701498251152,0.9893143067541624
Birch,high_data,0,2,10,0.01,750,0.42754415692904724,0.5617701498251152,0.9893143067541624
Birch,high_data,0,2,10,0.01,1000,0.42754415692904724,0.5617701498251152,0.9893143067541624
Birch,high_data,0,2,10,0.025,10,0.24457994878473324,0.4555958097434405,0.7001757585281737
Birch,high_data,0,2,10,0.025,25,0.3191198795169707,0.4790589798010135,0.7981788593179842
Birch,high_data,0,2,10,0.025,40,0.3734796665869017,0.5225283900908987,0.8960080566778004
Birch,high_data,0,2,10,0.025,50,0.3213297921518807,0.5086494402806224,0.829979232432503
Birch,high_data,0,2,10,0.025,60,0.42946083863202,0.5751412625908628,1.0046021012228827
Birch,high_data,0,2,10,0.025,75,0.296437763983459,0.48073730255745584,0.7771750665409148
Birch,high_data,0,2,10,0.025,100,0.23564349710536955,0.4716014968566215,0.707244993961991
Birch,high_data,0,2,10,0.025,150,0.40646296718743224,0.5863703248468354,0.9928332920342676
Birch,high_data,0,2,10,0.025,200,0.36803106640971384,0.5406038835151086,0.9086349499248224
Birch,high_data,0,2,10,0.025,250,0.35814917502058835,0.5326629164945729,0.8908120915151612
Birch,high_data,0,2,10,0.025,300,0.35814917502058835,0.5326629164945729,0.8908120915151612
