name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,new_data_scaled,1,2,10,0.1,2,0.4896049497088907,0.6313703637182114,1.120975313427102
DEC,new_data_scaled,1,2,10,0.2,2,0.4390989528633991,0.5717891353815006,1.0108880882448996
DEC,new_data_scaled,1,2,10,0.3,2,0.43933543117103485,0.5890013214168218,1.0283367525878566
DEC,new_data_scaled,1,2,10,0.4,2,0.4467306560469922,0.5897725106825212,1.0365031667295135
DEC,new_data_scaled,1,2,10,0.5,2,0.4268830817080184,0.570177000777201,0.9970600824852194
DEC,new_data_scaled,1,2,10,0.6,2,0.41205159510086725,0.5585425941711305,0.9705941892719978
DEC,new_data_scaled,1,2,10,0.7,2,0.40768990722696474,0.5646187785397517,0.9723086857667165
DEC,new_data_scaled,1,2,10,0.8,2,0.4475094103684287,0.5808176959115392,1.028327106279968
DEC,new_data_scaled,1,2,10,0.9,2,0.43716148034110464,0.575600182839599,1.0127616631807037
DEC,new_data_scaled,1,2,10,1,2,0.4610246803617322,0.5913503063327356,1.0523749866944678
