name,prefix,seed,dim,xi,min_cluster_size,predecessor_correction,ari,nmi,sum
OPTICS,new_data_scaled,0,2,0.01,10,True,0.007222420053976797,0.3824336769661102,0.38965609702008697
OPTICS,new_data_scaled,0,2,0.01,50,True,0.04597051171511871,0.4258869674577461,0.47185747917286486
OPTICS,new_data_scaled,0,2,0.01,100,True,0.10031261668216272,0.5222328459042258,0.6225454625863885
OPTICS,new_data_scaled,0,2,0.01,150,True,0.12430379030976828,0.5407608167149119,0.6650646070246802
OPTICS,new_data_scaled,0,2,0.01,200,True,0.16740421099509162,0.5812583763796502,0.7486625873747418
OPTICS,new_data_scaled,0,2,0.01,250,True,0.27308891111529604,0.6603652314207122,0.9334541425360083
OPTICS,new_data_scaled,0,2,0.01,300,True,0.2987914428666982,0.6687754872690583,0.9675669301357566
OPTICS,new_data_scaled,0,2,0.01,350,True,0.1889188308154277,0.5684576907097665,0.7573765215251942
OPTICS,new_data_scaled,0,2,0.01,400,True,0.12729960463194917,0.484972371156803,0.6122719757887521
OPTICS,new_data_scaled,0,2,0.01,500,True,0.13658526506378663,0.48279439521816225,0.6193796602819489
OPTICS,new_data_scaled,0,2,0.02,10,True,0.007869162491011251,0.3787087095295202,0.38657787202053145
OPTICS,new_data_scaled,0,2,0.02,50,True,0.05156557370863028,0.4302868753239733,0.4818524490326036
OPTICS,new_data_scaled,0,2,0.02,100,True,0.10602772901736385,0.5249350813240906,0.6309628103414544
OPTICS,new_data_scaled,0,2,0.02,150,True,0.1789097530006133,0.5746095014217454,0.7535192544223587
OPTICS,new_data_scaled,0,2,0.02,200,True,0.18569079396996938,0.5826115146569669,0.7683023086269363
OPTICS,new_data_scaled,0,2,0.02,250,True,0.5209658692032549,0.7639551359444391,1.284921005147694
OPTICS,new_data_scaled,0,2,0.02,300,True,0.7771601802026797,0.8640449758985577,1.6412051561012375
OPTICS,new_data_scaled,0,2,0.02,350,True,0.6044595983388829,0.7897168034012548,1.3941764017401377
OPTICS,new_data_scaled,0,2,0.02,400,True,0.49457389732407386,0.7248441430784553,1.2194180404025292
OPTICS,new_data_scaled,0,2,0.02,500,True,0.44195676757115054,0.6922394601888697,1.1341962277600204
OPTICS,new_data_scaled,0,2,0.03,10,True,0.005490003779385063,0.37323094541876445,0.3787209491981495
OPTICS,new_data_scaled,0,2,0.03,50,True,0.043366137700298485,0.4245141973776092,0.4678803350779077
OPTICS,new_data_scaled,0,2,0.03,100,True,0.09215864775122481,0.5199116675587448,0.6120703153099697
OPTICS,new_data_scaled,0,2,0.03,150,True,0.18928295539493228,0.5821177372963979,0.7714006926913302
OPTICS,new_data_scaled,0,2,0.03,200,True,0.23310911196738535,0.6180952327021095,0.8512043446694949
OPTICS,new_data_scaled,0,2,0.03,250,True,0.8676591944416088,0.9028300373501668,1.7704892317917755
OPTICS,new_data_scaled,0,2,0.03,300,True,0.7422839875422107,0.8603284035746542,1.6026123911168648
OPTICS,new_data_scaled,0,2,0.03,350,True,0.6450855751623638,0.8151115707125142,1.460197145874878
OPTICS,new_data_scaled,0,2,0.03,400,True,0.5553615671215,0.7682054039055751,1.3235669710270752
OPTICS,new_data_scaled,0,2,0.03,500,True,0.4783323875106236,0.7218309646951726,1.2001633522057962
OPTICS,new_data_scaled,0,2,0.04,10,True,0.004051520879922659,0.36695227172351713,0.3710037926034398
OPTICS,new_data_scaled,0,2,0.04,50,True,0.041930945181868025,0.4057358909870422,0.44766683616891023
OPTICS,new_data_scaled,0,2,0.04,100,True,0.19889382651314286,0.5843272240687227,0.7832210505818655
OPTICS,new_data_scaled,0,2,0.04,150,True,0.5322735065433882,0.770166633145473,1.3024401396888612
OPTICS,new_data_scaled,0,2,0.04,200,True,0.5232038369156654,0.7673222495141914,1.290526086429857
OPTICS,new_data_scaled,0,2,0.04,250,True,0.8960101786600301,0.916297020752253,1.8123071994122832
OPTICS,new_data_scaled,0,2,0.04,300,True,0.772969449598328,0.8743872220624918,1.6473566716608197
OPTICS,new_data_scaled,0,2,0.04,350,True,0.6783508100516166,0.833067383031331,1.5114181930829476
OPTICS,new_data_scaled,0,2,0.04,400,True,0.5657374511550204,0.7766431538991826,1.342380605054203
OPTICS,new_data_scaled,0,2,0.04,500,True,0.4783323875106236,0.7218309646951726,1.2001633522057962
OPTICS,new_data_scaled,0,2,0.05,10,True,-0.0005055316905143618,0.3559890581659294,0.35548352647541503
OPTICS,new_data_scaled,0,2,0.05,50,True,0.009888705757246364,0.33062847060349465,0.340517176360741
OPTICS,new_data_scaled,0,2,0.05,100,True,0.29227723735066985,0.6717890516736164,0.9640662890242861
OPTICS,new_data_scaled,0,2,0.05,150,True,0.8407760624491049,0.8901108989468788,1.7308869613959836
OPTICS,new_data_scaled,0,2,0.05,200,True,0.8344340469784179,0.8911094892817896,1.7255435362602074
OPTICS,new_data_scaled,0,2,0.05,250,True,0.9220187882926842,0.9362061457585785,1.8582249340512629
OPTICS,new_data_scaled,0,2,0.05,300,True,0.8021708096679728,0.8964652898884115,1.6986360995563843
OPTICS,new_data_scaled,0,2,0.05,350,True,0.7077957789366293,0.8567504379098907,1.5645462168465198
OPTICS,new_data_scaled,0,2,0.05,400,True,0.5941084890533238,0.8023587064129718,1.3964671954662955
OPTICS,new_data_scaled,0,2,0.05,500,True,0.49377754974766674,0.7362461965199736,1.2300237462676402
OPTICS,new_data_scaled,0,2,0.06,10,True,0.00041706963440800855,0.3535084205231752,0.35392549015758323
OPTICS,new_data_scaled,0,2,0.06,50,True,0.08590402985495978,0.4489717578668636,0.5348757877218234
