name,prefix,seed,dim,min_cluster_size,ari,nmi,sum
HDBSCAN,new_data_scaled,0,2,2,0.01486603607434241,0.43192652344995736,0.44679255952429975
HDBSCAN,new_data_scaled,0,2,3,0.8409539508542607,0.7904022500595621,1.6313562009138227
HDBSCAN,new_data_scaled,0,2,4,0.8607052900974079,0.8332037138956495,1.6939090039930575
HDBSCAN,new_data_scaled,0,2,5,0.9253454213586759,0.9014198453538559,1.8267652667125318
HDBSCAN,new_data_scaled,0,2,6,0.8714421420261155,0.8589027031240755,1.7303448451501908
HDBSCAN,new_data_scaled,0,2,7,0.8736158087981215,0.8665872918501069,1.7402031006482284
HDBSCAN,new_data_scaled,0,2,8,0.8766324889245455,0.8705710060180765,1.7472034949426218
HDBSCAN,new_data_scaled,0,2,9,0.8720368652563869,0.8693972438590779,1.7414341091154648
HDBSCAN,new_data_scaled,0,2,10,0.8726870235319723,0.8702196944142644,1.7429067179462367
HDBSCAN,new_data_scaled,0,2,11,0.8665963219822601,0.8702973472646702,1.7368936692469303
HDBSCAN,new_data_scaled,0,2,12,0.8807881743203689,0.8878232254986156,1.7686113998189845
HDBSCAN,new_data_scaled,0,2,13,0.8668685931207694,0.8753980753341067,1.7422666684548762
HDBSCAN,new_data_scaled,0,2,14,0.8559816938857545,0.8683008057873555,1.72428249967311
HDBSCAN,new_data_scaled,0,2,15,0.8476492884700082,0.8629062612120151,1.7105555496820233
HDBSCAN,new_data_scaled,0,2,16,0.8684544728660059,0.8791851599007215,1.7476396327667274
HDBSCAN,new_data_scaled,0,2,17,0.8509417643067538,0.8673698959952842,1.718311660302038
HDBSCAN,new_data_scaled,0,2,18,0.8567326332839613,0.872629285340614,1.7293619186245754
HDBSCAN,new_data_scaled,0,2,19,0.8515885482782856,0.8696311906780096,1.7212197389562953
HDBSCAN,new_data_scaled,0,2,20,0.8558789390811217,0.873541476562359,1.7294204156434807
HDBSCAN,new_data_scaled,0,2,21,0.872997627506569,0.8860279653634195,1.7590255928699885
HDBSCAN,new_data_scaled,0,2,22,0.8644206170628441,0.881110245495202,1.7455308625580461
HDBSCAN,new_data_scaled,0,2,23,0.8641900102051475,0.8814161372559105,1.745606147461058
HDBSCAN,new_data_scaled,0,2,24,0.8598776143870072,0.8801131285624118,1.739990742949419
HDBSCAN,new_data_scaled,0,2,25,0.8416446798303747,0.8656708519784445,1.7073155318088191
HDBSCAN,new_data_scaled,0,2,26,0.8352728773396981,0.8670784501556765,1.7023513274953745
HDBSCAN,new_data_scaled,0,2,27,0.8355656400726817,0.8664765462652114,1.7020421863378932
HDBSCAN,new_data_scaled,0,2,28,0.844067451925953,0.8746152246079502,1.7186826765339032
HDBSCAN,new_data_scaled,0,2,29,0.8261442307222394,0.8614306711357756,1.687574901858015
HDBSCAN,new_data_scaled,0,2,30,0.837761846849561,0.869285973602878,1.707047820452439
