name,prefix,seed,dim,n_clusters,epsilon,ari,nmi,sum
SpectACl,new_data_scaled,7,2,10,0.001,-0.006865300143899723,0.023868680839299557,0.017003380695399833
SpectACl,new_data_scaled,7,2,10,0.002,-0.008917656494884555,0.045830448484511135,0.03691279198962658
SpectACl,new_data_scaled,7,2,10,0.003,-0.015223909758663872,0.10196362059659958,0.0867397108379357
SpectACl,new_data_scaled,7,2,10,0.004,-0.009414299435608267,0.1598562803385465,0.15044198090293825
SpectACl,new_data_scaled,7,2,10,0.005,-0.006657116353275967,0.21205935817531432,0.20540224182203837
SpectACl,new_data_scaled,7,2,10,0.006,0.005872875304880836,0.2597405515315449,0.26561342683642575
SpectACl,new_data_scaled,7,2,10,0.007,-0.0016157943644547008,0.26771117531964667,0.266095380955192
SpectACl,new_data_scaled,7,2,10,0.008,0.006311783942217777,0.295210588446044,0.30152237238826174
SpectACl,new_data_scaled,7,2,10,0.009,0.024925070208922262,0.345048678768348,0.36997374897727026
SpectACl,new_data_scaled,7,2,10,0.01,0.04690314676994774,0.41840737077146195,0.4653105175414097
SpectACl,new_data_scaled,7,2,10,0.02,0.23168201247720863,0.6159347002258216,0.8476167127030303
SpectACl,new_data_scaled,7,2,10,0.03,0.39856349277829944,0.7238518668998714,1.1224153596781707
SpectACl,new_data_scaled,7,2,10,0.04,0.7868612132049148,0.8761428789333401,1.6630040921382547
SpectACl,new_data_scaled,7,2,10,0.05,0.7276135072761459,0.8483038322093047,1.5759173394854507
SpectACl,new_data_scaled,7,2,10,0.06,0.7999046138563553,0.8763085311393344,1.6762131449956896
SpectACl,new_data_scaled,7,2,10,0.07,0.7770617911608341,0.8517096988870442,1.6287714900478782
SpectACl,new_data_scaled,7,2,10,0.08,0.7432178333643649,0.8210158764175767,1.5642337097819414
SpectACl,new_data_scaled,7,2,10,0.09,0.7230222327190331,0.7945091790781597,1.5175314117971928
SpectACl,new_data_scaled,7,2,10,0.1,0.6697751836597575,0.7727325476587781,1.4425077313185355
SpectACl,new_data_scaled,7,2,10,0.12,0.5881036741430418,0.7391723254725714,1.3272759996156132
SpectACl,new_data_scaled,7,2,10,0.15,0.7559656108529528,0.7848205226482086,1.5407861335011614
SpectACl,new_data_scaled,7,2,10,0.2,0.46080302214894575,0.6680536472728441,1.1288566694217899
SpectACl,new_data_scaled,7,2,10,0.25,0.5374501778925557,0.6713666168163326,1.2088167947088881
SpectACl,new_data_scaled,7,2,10,0.3,0.4850693994816148,0.6667040863835783,1.1517734858651931
SpectACl,new_data_scaled,7,2,10,0.4,0.2789065375656951,0.49760433657747605,0.7765108741431712
SpectACl,new_data_scaled,7,2,10,0.5,0.46110361341560663,0.6238521149225142,1.0849557283381208
