name,prefix,seed,dim,n_clusters,nearest_neighbors,ari,nmi,sum
SpectralClustering,new_data_scaled,3,2,10,3,0.025948570563252605,0.14013835578807912,0.16608692635133174
SpectralClustering,new_data_scaled,3,2,10,4,0.23500388933674218,0.5186851618941266,0.7536890512308688
SpectralClustering,new_data_scaled,3,2,10,5,0.5226760779556964,0.7584501916351228,1.2811262695908192
SpectralClustering,new_data_scaled,3,2,10,6,0.5647369042846773,0.8012707284978865,1.3660076327825639
SpectralClustering,new_data_scaled,3,2,10,7,0.5564696447129762,0.7709219991311625,1.3273916438441389
SpectralClustering,new_data_scaled,3,2,10,8,0.5407354050301402,0.7566155846265424,1.2973509896566826
SpectralClustering,new_data_scaled,3,2,10,9,0.5945952207158612,0.7885217303995652,1.3831169511154264
SpectralClustering,new_data_scaled,3,2,10,10,0.578760972953448,0.7805640074794034,1.3593249804328513
SpectralClustering,new_data_scaled,3,2,10,11,0.5565128663468564,0.7610250143678197,1.317537880714676
SpectralClustering,new_data_scaled,3,2,10,12,0.5777612637042425,0.7809436000206156,1.3587048637248582
SpectralClustering,new_data_scaled,3,2,10,13,0.5592680115729003,0.7684786114409234,1.3277466230138237
SpectralClustering,new_data_scaled,3,2,10,14,0.5569301321147282,0.7686288697900517,1.32555900190478
SpectralClustering,new_data_scaled,3,2,10,15,0.5631886737094457,0.7778972461301072,1.341085919839553
SpectralClustering,new_data_scaled,3,2,10,16,0.560667185716865,0.7725117290259463,1.3331789147428115
SpectralClustering,new_data_scaled,3,2,10,17,0.547703012049647,0.7574553831065736,1.3051583951562207
SpectralClustering,new_data_scaled,3,2,10,18,0.5459125503198088,0.7568254799019547,1.3027380302217635
SpectralClustering,new_data_scaled,3,2,10,19,0.5570356543561044,0.7680192096124137,1.325054863968518
SpectralClustering,new_data_scaled,3,2,10,20,0.5606472041792654,0.7701730941684378,1.330820298347703
SpectralClustering,new_data_scaled,3,2,10,25,0.5626306918218256,0.7709330019141594,1.333563693735985
SpectralClustering,new_data_scaled,3,2,10,30,0.5729445642977384,0.7759421996099504,1.348886763907689
SpectralClustering,new_data_scaled,3,2,10,35,0.5838188898461494,0.7802221164333677,1.3640410062795172
SpectralClustering,new_data_scaled,3,2,10,40,0.5836573551321652,0.7802821344220789,1.363939489554244
SpectralClustering,new_data_scaled,3,2,10,45,0.5857372898109584,0.7804545739196986,1.366191863730657
SpectralClustering,new_data_scaled,3,2,10,50,0.6164747866215757,0.8031400338373248,1.4196148204589005
SpectralClustering,new_data_scaled,3,2,10,55,0.6049734935668203,0.7966445134001248,1.401618006966945
SpectralClustering,new_data_scaled,3,2,10,60,0.6049166109182886,0.7963650174349868,1.4012816283532754
SpectralClustering,new_data_scaled,3,2,10,65,0.6044245536859758,0.7951482676371027,1.3995728213230785
SpectralClustering,new_data_scaled,3,2,10,70,0.6019391693753331,0.7912570909995852,1.3931962603749182
SpectralClustering,new_data_scaled,3,2,10,75,0.594386886478659,0.7816138473389417,1.3760007338176008
SpectralClustering,new_data_scaled,3,2,10,80,0.6053339889838953,0.791232372225388,1.3965663612092833
SpectralClustering,new_data_scaled,3,2,10,85,0.6036597344033632,0.7884805884201903,1.3921403228235536
SpectralClustering,new_data_scaled,3,2,10,90,0.6038943772547127,0.7878151854268879,1.3917095626816005
SpectralClustering,new_data_scaled,3,2,10,95,0.6031629178908431,0.7869887651639346,1.3901516830547775
SpectralClustering,new_data_scaled,3,2,10,100,0.6033219550967642,0.7865689894462475,1.3898909445430117
SpectralClustering,new_data_scaled,3,2,10,110,0.6061520938578462,0.7865282751801127,1.3926803690379588
SpectralClustering,new_data_scaled,3,2,10,120,0.6312531876615672,0.8020618961409529,1.4333150838025202
SpectralClustering,new_data_scaled,3,2,10,130,0.631906050034798,0.803239216762088,1.435145266796886
SpectralClustering,new_data_scaled,3,2,10,140,0.6302114062739568,0.8012631128586606,1.4314745191326175
SpectralClustering,new_data_scaled,3,2,10,150,0.628340319335011,0.7992186820200748,1.4275590013550858
SpectralClustering,new_data_scaled,3,2,10,160,0.6257501579933606,0.7960065606980758,1.4217567186914364
SpectralClustering,new_data_scaled,3,2,10,170,0.6205752554208929,0.7835655385935667,1.4041407940144595
SpectralClustering,new_data_scaled,3,2,10,180,0.6169867318691238,0.7796680887478291,1.396654820616953
SpectralClustering,new_data_scaled,3,2,10,190,0.6157887690839119,0.7784390015668775,1.3942277706507893
SpectralClustering,new_data_scaled,3,2,10,200,0.6132764622862467,0.7754554396160962,1.388731901902343
SpectralClustering,new_data_scaled,3,2,10,220,0.610847259940643,0.7732082375514835,1.3840554974921266
SpectralClustering,new_data_scaled,3,2,10,240,0.6080369823459231,0.7704604941262141,1.3784974764721372
SpectralClustering,new_data_scaled,3,2,10,260,0.6057804516585715,0.7679846241259906,1.373765075784562
SpectralClustering,new_data_scaled,3,2,10,280,0.601132280619729,0.7639327303622512,1.3650650109819802
SpectralClustering,new_data_scaled,3,2,10,300,0.5998701364189925,0.7633918755790408,1.3632620119980332
SpectralClustering,new_data_scaled,3,2,10,350,0.5694872475978974,0.7488425469195912,1.3183297945174886
SpectralClustering,new_data_scaled,3,2,10,400,0.5517670206683972,0.7304147363033587,1.282181756971756
SpectralClustering,new_data_scaled,3,2,10,450,0.5580977770896272,0.7360570437035673,1.2941548207931945
SpectralClustering,new_data_scaled,3,2,10,500,0.5624334760471683,0.7399435454725021,1.3023770215196704
