name,prefix,seed,dim,radius,merge,clunum,ari,nmi,sum
DaDC,new_data_scaled,0,2,0.01,False,1508,0.037401303866765656,0.5026072840983542,0.5400085879651199
DaDC,new_data_scaled,0,2,0.02,False,805,0.1238535843620934,0.5771338640694564,0.7009874484315498
DaDC,new_data_scaled,0,2,0.03,False,605,0.21971422785833566,0.6246113137167639,0.8443255415750996
DaDC,new_data_scaled,0,2,0.04,False,478,0.2818790488202779,0.6478335486415836,0.9297125974618615
DaDC,new_data_scaled,0,2,0.05,False,346,0.3456458262800099,0.6701975921057849,1.0158434183857947
DaDC,new_data_scaled,0,2,0.06,False,255,0.4600094400774289,0.7014051755333588,1.1614146156107876
DaDC,new_data_scaled,0,2,0.07,False,202,0.3526956866897959,0.648158630049448,1.0008543167392439
DaDC,new_data_scaled,0,2,0.08,False,166,0.4234134128621619,0.6614974661669903,1.0849108790291522
DaDC,new_data_scaled,0,2,0.09,False,136,0.4369880996272082,0.6633940427422895,1.1003821423694977
DaDC,new_data_scaled,0,2,0.1,False,103,0.5900429285133667,0.6981113696904928,1.2881542982038594
DaDC,new_data_scaled,0,2,0.11,False,89,0.4277817077084789,0.6521834483253846,1.0799651560338634
DaDC,new_data_scaled,0,2,0.12,False,75,0.5449039896101948,0.6831868711204832,1.228090860730678
DaDC,new_data_scaled,0,2,0.13,False,66,0.3847226717312717,0.6003773631913907,0.9851000349226624
DaDC,new_data_scaled,0,2,0.14,False,62,0.29046418702668453,0.5861794086170076,0.8766435956436921
DaDC,new_data_scaled,0,2,0.15,False,59,0.23971587950304993,0.5189526394211803,0.7586685189242303
DaDC,new_data_scaled,0,2,0.18,False,45,0.2788139772449023,0.5121047815301494,0.7909187587750517
DaDC,new_data_scaled,0,2,0.2,False,36,0.2380202245904514,0.5025647757931789,0.7405850003836303
DaDC,new_data_scaled,0,2,0.25,False,30,0.10845071006930937,0.3765454005204501,0.48499611058975944
DaDC,new_data_scaled,0,2,0.3,False,19,0.05665836264204601,0.2782333055275651,0.3348916681696111
DaDC,new_data_scaled,0,2,0.4,False,13,0.019415058740425855,0.12843854379752973,0.14785360253795557
DaDC,new_data_scaled,0,2,0.5,False,14,0.00784466895502609,0.06920105905031781,0.0770457280053439
DaDC,new_data_scaled,0,2,0.16,False,51,0.26575583895404326,0.5237615133140315,0.7895173522680747
DaDC,new_data_scaled,0,2,0.17,False,45,0.28046905607204686,0.5280413259252527,0.8085103819972995
DaDC,new_data_scaled,0,2,0.19,False,45,0.26195776763879114,0.5039654760788823,0.7659232437176735
DaDC,new_data_scaled,0,2,0.21,False,30,0.19130387665554485,0.46689194755531455,0.6581958242108594
DaDC,new_data_scaled,0,2,0.22,False,31,0.16835427760547947,0.4516506773117878,0.6200049549172673
DaDC,new_data_scaled,0,2,0.23,False,30,0.14574736737074293,0.4276194790783761,0.5733668464491191
DaDC,new_data_scaled,0,2,0.24,False,32,0.12845260404268824,0.4042341269838821,0.5326867310265704
DaDC,new_data_scaled,0,2,0.35,False,17,0.03508688709436103,0.17039894633052521,0.20548583342488624
DaDC,new_data_scaled,0,2,0.45,False,11,0.013292736161738908,0.0991459541840469,0.11243869034578581
DaDC,new_data_scaled,0,2,0.55,False,12,0.003348755741349128,0.037046849746017546,0.040395605487366676
DaDC,new_data_scaled,0,2,0.6,False,11,0.0023311269508224835,0.027919571277173035,0.030250698227995518
DaDC,new_data_scaled,0,2,0.65,False,11,0.0023636776219918797,0.027943183007899892,0.030306860629891772
DaDC,new_data_scaled,0,2,0.7,False,11,0.0023952460034714403,0.027976886203362205,0.030372132206833644
DaDC,new_data_scaled,0,2,0.75,False,9,0.0024102938449887187,0.028003397611024005,0.030413691456012724
DaDC,new_data_scaled,0,2,0.8,False,9,0.002406531902699,0.02799225471668489,0.03039878661938389
DaDC,new_data_scaled,0,2,0.85,False,8,0.0024307389726486235,0.028022865794685686,0.03045360476733431
DaDC,new_data_scaled,0,2,0.9,False,8,0.002439898274307296,0.02803514903249177,0.030475047306799063
DaDC,new_data_scaled,0,2,0.95,False,5,0.0024734272508878065,0.028080880719007283,0.03055430796989509
DaDC,new_data_scaled,0,2,1,False,5,0.002495997437089241,0.028094087026742855,0.030590084463832094
DaDC,new_data_scaled,0,2,1.1,False,5,0.002495997437089241,0.028094087026742855,0.030590084463832094
DaDC,new_data_scaled,0,2,1.2,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.3,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.4,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.5,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.6,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.7,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.8,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,1.9,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,2,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,2.5,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,3,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,4,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
DaDC,new_data_scaled,0,2,5,False,5,0.002488146986777779,0.028089371017556305,0.030577518004334083
