name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,new_data_scaled,0,2,10,0.01,2,0.33259873679972446,0.5978044046042221,0.9304031414039466
Birch,new_data_scaled,0,2,10,0.01,5,0.4275860327663317,0.6361780947395096,1.0637641275058414
Birch,new_data_scaled,0,2,10,0.01,10,0.4809474604818573,0.6695369824427873,1.1504844429246446
Birch,new_data_scaled,0,2,10,0.01,25,0.5255727921432244,0.6903989237355626,1.215971715878787
Birch,new_data_scaled,0,2,10,0.01,40,0.5074602427307565,0.662597482141924,1.1700577248726804
Birch,new_data_scaled,0,2,10,0.01,50,0.5414138551123283,0.6754360054737789,1.2168498605861071
Birch,new_data_scaled,0,2,10,0.01,60,0.38741907330443903,0.5888188156669162,0.9762378889713552
Birch,new_data_scaled,0,2,10,0.01,75,0.4869237455177018,0.6550157218219622,1.1419394673396641
Birch,new_data_scaled,0,2,10,0.01,100,0.46888575601526566,0.658757439067164,1.1276431950824297
Birch,new_data_scaled,0,2,10,0.01,150,0.42019444356137525,0.6524099792247728,1.072604422786148
Birch,new_data_scaled,0,2,10,0.01,200,0.34449089521073795,0.5919683463926814,0.9364592416034193
Birch,new_data_scaled,0,2,10,0.01,250,0.4993961700125869,0.6402435905839199,1.1396397605965067
Birch,new_data_scaled,0,2,10,0.01,300,0.4993961700125869,0.6402435905839199,1.1396397605965067
Birch,new_data_scaled,0,2,10,0.01,400,0.39298568693252217,0.5913966235386648,0.9843823104711871
Birch,new_data_scaled,0,2,10,0.01,500,0.3593968817949047,0.569939484740302,0.9293363665352067
Birch,new_data_scaled,0,2,10,0.01,600,0.4993961700125869,0.6402435905839199,1.1396397605965067
Birch,new_data_scaled,0,2,10,0.01,750,0.4993961700125869,0.6402435905839199,1.1396397605965067
Birch,new_data_scaled,0,2,10,0.01,1000,0.4993961700125869,0.6402435905839199,1.1396397605965067
Birch,new_data_scaled,0,2,10,0.025,2,0.4806090163420644,0.6641232346877937,1.144732251029858
Birch,new_data_scaled,0,2,10,0.025,5,0.18085971739083312,0.5255603837769318,0.7064201011677649
Birch,new_data_scaled,0,2,10,0.025,10,0.1880176979352975,0.5238618148553215,0.711879512790619
Birch,new_data_scaled,0,2,10,0.025,25,0.4065701955170157,0.6368064488923273,1.043376644409343
Birch,new_data_scaled,0,2,10,0.025,40,0.42294079930123885,0.6595603967275331,1.082501196028772
Birch,new_data_scaled,0,2,10,0.025,50,0.46837213611075046,0.6715408946281227,1.1399130307388732
Birch,new_data_scaled,0,2,10,0.025,60,0.5108578138381146,0.661666498938354,1.1725243127764686
Birch,new_data_scaled,0,2,10,0.025,75,0.5384554265298402,0.7002504363667703,1.2387058628966106
Birch,new_data_scaled,0,2,10,0.025,100,0.41661888599519886,0.6323687831521281,1.048987669147327
Birch,new_data_scaled,0,2,10,0.025,150,0.4121768838573014,0.6468802361839118,1.059057120041213
Birch,new_data_scaled,0,2,10,0.025,200,0.5386872885740368,0.7011478791160438,1.2398351676900807
Birch,new_data_scaled,0,2,10,0.025,250,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,300,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,400,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,500,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,600,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,750,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.025,1000,0.36990129674248484,0.5959485897042641,0.965849886446749
Birch,new_data_scaled,0,2,10,0.05,2,0.4977927204416656,0.6331045151913568,1.1308972356330225
Birch,new_data_scaled,0,2,10,0.05,5,0.4783950446305053,0.6709518840923375,1.1493469287228428
Birch,new_data_scaled,0,2,10,0.05,10,0.44237792784645125,0.6052425996610196,1.0476205275074708
Birch,new_data_scaled,0,2,10,0.05,25,0.4356775051362115,0.634129419122375,1.0698069242585864
Birch,new_data_scaled,0,2,10,0.05,40,0.4886393876390795,0.6710596392399347,1.1596990268790142
Birch,new_data_scaled,0,2,10,0.05,50,0.4079326402410834,0.655226888148842,1.0631595283899253
Birch,new_data_scaled,0,2,10,0.05,60,0.5157686709710999,0.6788651109147003,1.1946337818858002
Birch,new_data_scaled,0,2,10,0.05,75,0.4069791343444298,0.6525476486806411,1.059526783025071
Birch,new_data_scaled,0,2,10,0.05,100,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,150,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,200,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,250,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,300,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,400,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,500,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,600,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,750,0.40732084802709817,0.6530092207512572,1.0603300687783555
Birch,new_data_scaled,0,2,10,0.05,1000,0.40732084802709817,0.6530092207512572,1.0603300687783555
