name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,new_data_scaled,8,2,10,0.1,2,0.6406732096778082,0.6899864049765873,1.3306596146543954
DEC,new_data_scaled,8,2,10,0.2,2,0.4866227774862833,0.624500627891211,1.1111234053774943
DEC,new_data_scaled,8,2,10,0.3,2,0.4916381330308672,0.6432199285896635,1.1348580616205306
DEC,new_data_scaled,8,2,10,0.4,2,0.48557947965434234,0.6229818442447308,1.1085613238990732
DEC,new_data_scaled,8,2,10,0.5,2,0.4791323459491869,0.6132526976626345,1.0923850436118214
DEC,new_data_scaled,8,2,10,0.6,2,0.477684982086545,0.6130362277315354,1.0907212098180805
DEC,new_data_scaled,8,2,10,0.7,2,0.47511868468169016,0.6168951190912881,1.0920138037729783
DEC,new_data_scaled,8,2,10,0.8,2,0.46889826429188414,0.6077360449493342,1.0766343092412183
DEC,new_data_scaled,8,2,10,0.9,2,0.46989323512790543,0.605814168855816,1.0757074039837213
DEC,new_data_scaled,8,2,10,1,2,0.4582936387887308,0.6060634844584578,1.0643571232471887
