name,prefix,seed,dim,variance,k,min_cluster_size,ari,nmi,sum
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,2,0.0023898677863822882,0.42284301113721035,0.4252328789235926
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,3,0.005814720851494794,0.435210328637398,0.4410250494888928
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,5,0.0025879968163924484,0.4338357999665614,0.43642379678295384
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,10,0.005508867096781175,0.42425432301177546,0.4297631901085566
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,15,-0.004443647628569444,0.3888263514980742,0.38438270386950474
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,20,-0.003430907284229673,0.3570960936202899,0.3536651863360602
MultiDensityDBSCAN,new_data_scaled,0,2,1,5,25,-0.001801122654299027,0.33772117544838165,0.3359200527940826
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,2,0.002432988287349967,0.4249573175205205,0.42739030580787046
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,3,0.004942928013205934,0.4384989066383,0.44344183465150594
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,5,0.008606537491305032,0.4465480240637368,0.4551545615550418
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,10,0.008926074593948424,0.43972944587338464,0.44865552046733304
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,15,0.008213563812340285,0.4239634985158086,0.4321770623281489
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,20,0.0101727648399525,0.40108403532876824,0.41125680016872074
MultiDensityDBSCAN,new_data_scaled,0,2,1,6,25,0.011656769830982645,0.4021352134202033,0.41379198325118594
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,2,0.002911743622928284,0.42777988872265027,0.43069163234557856
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,3,0.0053550985751701355,0.4418160325098174,0.4471711310849875
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,5,0.010915280091737103,0.4498794709670673,0.4607947510588044
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,10,0.01843624333343412,0.46340315618599776,0.4818393995194319
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,15,0.02103460293996226,0.4561697744374303,0.4772043773773925
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,20,0.024081546763792604,0.44079762591258936,0.46487917267638196
MultiDensityDBSCAN,new_data_scaled,0,2,1,7,25,0.013764119408989764,0.42289489171908085,0.4366590111280706
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,2,0.0028101202611173965,0.43059622034943795,0.43340634061055533
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,3,0.006095290423440252,0.4455486974759911,0.45164398789943133
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,5,0.010983568647553229,0.45975696467541527,0.4707405333229685
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,10,0.022817370311920698,0.47885090999618,0.5016682803081007
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,15,0.03608167867536028,0.4838157471597158,0.5198974258350761
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,20,0.03582561631722555,0.48020277197786754,0.5160283882950931
MultiDensityDBSCAN,new_data_scaled,0,2,1,10,25,0.040338843977484454,0.4790390103141864,0.5193778542916708
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,2,0.0027944538509642627,0.43169535613401067,0.43448980998497494
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,3,0.006306690460671924,0.44830519043054057,0.4546118808912125
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,5,0.011824105678744899,0.46541517661760995,0.47723928229635487
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,10,0.026721596684303718,0.4917889616606248,0.5185105583449285
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,15,0.049941301365627105,0.5088276352454859,0.558768936611113
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,20,0.076324261236227,0.5247982547771797,0.6011225160134067
MultiDensityDBSCAN,new_data_scaled,0,2,1,15,25,0.0733068296297517,0.51389597749496,0.5872028071247116
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,2,0.002791219342279061,0.4323500768980131,0.43514129624029213
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,3,0.006464881300677217,0.4518627362281731,0.4583276175288503
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,5,0.013281911517206037,0.47203931261654397,0.48532122413375
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,10,0.03155006711824875,0.49840065092166186,0.5299507180399106
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,15,0.05850117721183788,0.5175960622062252,0.5760972394180631
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,20,0.10209033296649,0.5343916087897922,0.6364819417562821
MultiDensityDBSCAN,new_data_scaled,0,2,1,20,25,0.10536183904817926,0.5395686646600014,0.6449305037081807
MultiDensityDBSCAN,new_data_scaled,0,2,1,25,2,0.002796719862293799,0.43315301477796014,0.43594973464025394
MultiDensityDBSCAN,new_data_scaled,0,2,1,25,3,0.006406940195781412,0.45136145868079003,0.45776839887657145
MultiDensityDBSCAN,new_data_scaled,0,2,1,25,5,0.012642932011929337,0.47184658504878235,0.4844895170607117
MultiDensityDBSCAN,new_data_scaled,0,2,1,25,10,0.029113638333676275,0.5022741441075074,0.5313877824411837
MultiDensityDBSCAN,new_data_scaled,0,2,1,25,15,0.06929672480116371,0.5193474081233053,0.5886441329244689
