name,prefix,seed,dim,n_clusters ,cluster_loss_weight,alpha,embedding_size,ari,nmi,sum
IDEC,new_data_scaled,1,2,10,1,0.1,2,0.49517775509144074,0.6241494619408403,1.119327217032281
IDEC,new_data_scaled,1,2,10,1,0.2,2,0.47549236458531385,0.6104735290781578,1.0859658936634715
IDEC,new_data_scaled,1,2,10,1,0.3,2,0.46975172898758955,0.6071128505229478,1.0768645795105374
IDEC,new_data_scaled,1,2,10,1,0.4,2,0.45772799301725053,0.5976690502842716,1.055397043301522
IDEC,new_data_scaled,1,2,10,1,0.5,2,0.4758118762988808,0.6078084259547878,1.0836203022536686
IDEC,new_data_scaled,1,2,10,1,0.6,2,0.4701391842113773,0.6043457448966615,1.0744849291080387
IDEC,new_data_scaled,1,2,10,1,0.7,2,0.46661615143856716,0.6010094819240661,1.0676256333626333
IDEC,new_data_scaled,1,2,10,1,0.8,2,0.4611583742253977,0.5930938746336266,1.0542522488590242
IDEC,new_data_scaled,1,2,10,1,0.9,2,0.45965280900686156,0.592730690437054,1.0523834994439154
IDEC,new_data_scaled,1,2,10,1,1,2,0.45975281819316416,0.5939817041565342,1.0537345223496983
IDEC,new_data_scaled,1,2,10,0.1,0.1,2,0.5753873989304998,0.6460848528872439,1.2214722518177439
IDEC,new_data_scaled,1,2,10,0.1,0.2,2,0.4728378380029432,0.6077682436056393,1.0806060816085825
IDEC,new_data_scaled,1,2,10,0.1,0.3,2,0.4687652456564003,0.6066240921744525,1.0753893378308528
IDEC,new_data_scaled,1,2,10,0.1,0.4,2,0.4652885513225049,0.6025989247830569,1.067887476105562
IDEC,new_data_scaled,1,2,10,0.1,0.5,2,0.48782443688594085,0.6162786286266653,1.104103065512606
IDEC,new_data_scaled,1,2,10,0.1,0.6,2,0.48848934565228136,0.6150980868694698,1.1035874325217512
IDEC,new_data_scaled,1,2,10,0.1,0.7,2,0.48584429298040094,0.6093187047634924,1.0951629977438933
IDEC,new_data_scaled,1,2,10,0.1,0.8,2,0.48636600544001296,0.6107870048113662,1.0971530102513791
IDEC,new_data_scaled,1,2,10,0.1,0.9,2,0.487284703967946,0.6111252219610154,1.0984099259289613
IDEC,new_data_scaled,1,2,10,0.1,1,2,0.4877989701595806,0.6115015778686875,1.099300548028268
IDEC,new_data_scaled,1,2,10,0.01,0.1,2,0.41878193482039383,0.6015494209097079,1.0203313557301017
IDEC,new_data_scaled,1,2,10,0.01,0.2,2,0.4790357241654154,0.6450395860151263,1.1240753101805416
IDEC,new_data_scaled,1,2,10,0.01,0.3,2,0.6098502149006416,0.669095297403768,1.2789455123044098
IDEC,new_data_scaled,1,2,10,0.01,0.4,2,0.6259906703579117,0.6805512098611401,1.3065418802190518
IDEC,new_data_scaled,1,2,10,0.01,0.5,2,0.6119176241077444,0.6697104254174476,1.281628049525192
IDEC,new_data_scaled,1,2,10,0.01,0.6,2,0.5659340566239762,0.6712540702587114,1.2371881268826876
IDEC,new_data_scaled,1,2,10,0.01,0.7,2,0.6151946439190156,0.6706480852204845,1.2858427291395
IDEC,new_data_scaled,1,2,10,0.01,0.8,2,0.6064994405495372,0.6773100188204543,1.2838094593699916
IDEC,new_data_scaled,1,2,10,0.01,0.9,2,0.6158328975743348,0.676972843296101,1.2928057408704356
IDEC,new_data_scaled,1,2,10,0.01,1,2,0.6079278981715079,0.6728187659374676,1.2807466641089755
