name,prefix,seed,dim,n_clusters,epsilon,ari,nmi,sum
SpectACl,new_data_scaled,4,2,10,0.001,-0.006878493887889186,0.023562182530872652,0.016683688642983467
SpectACl,new_data_scaled,4,2,10,0.002,-0.008658303847206296,0.044522367684961144,0.035864063837754846
SpectACl,new_data_scaled,4,2,10,0.003,-0.013518033420134608,0.11343947823955088,0.09992144481941627
SpectACl,new_data_scaled,4,2,10,0.004,-0.012040501556016055,0.16307355348339084,0.1510330519273748
SpectACl,new_data_scaled,4,2,10,0.005,-0.005882589574266484,0.21821800953503456,0.21233541996076807
SpectACl,new_data_scaled,4,2,10,0.006,-0.002387201201518799,0.25029915500859456,0.24791195380707576
SpectACl,new_data_scaled,4,2,10,0.007,0.007837258641270379,0.27942174107805845,0.28725899971932883
SpectACl,new_data_scaled,4,2,10,0.008,0.019998861112968686,0.3280535216358516,0.3480523827488203
SpectACl,new_data_scaled,4,2,10,0.009,0.03444028686887311,0.36709713858357385,0.40153742545244697
SpectACl,new_data_scaled,4,2,10,0.01,0.03785262850008569,0.3847603701980512,0.4226129986981369
SpectACl,new_data_scaled,4,2,10,0.02,0.27087400598060807,0.6467169705927996,0.9175909765734077
SpectACl,new_data_scaled,4,2,10,0.03,0.40315834455209976,0.724912857456392,1.1280712020084918
SpectACl,new_data_scaled,4,2,10,0.04,0.7092000007594609,0.8657286721193369,1.574928672878798
SpectACl,new_data_scaled,4,2,10,0.05,0.675723317280752,0.8405979572515725,1.5163212745323245
SpectACl,new_data_scaled,4,2,10,0.06,0.7866569040392419,0.8628308993198464,1.6494878033590883
SpectACl,new_data_scaled,4,2,10,0.07,0.7770617911608341,0.8517096988870441,1.6287714900478782
SpectACl,new_data_scaled,4,2,10,0.08,0.7455843799262266,0.8229865793025117,1.5685709592287385
SpectACl,new_data_scaled,4,2,10,0.09,0.7221246041827685,0.8103840502531637,1.532508654435932
SpectACl,new_data_scaled,4,2,10,0.1,0.6702581486676321,0.7569915873436198,1.427249736011252
SpectACl,new_data_scaled,4,2,10,0.12,0.5881092221517852,0.7386408679045369,1.326750090056322
SpectACl,new_data_scaled,4,2,10,0.15,0.7460033423479514,0.7779852227428465,1.5239885650907978
SpectACl,new_data_scaled,4,2,10,0.2,0.4576676179784333,0.6616191853961487,1.119286803374582
SpectACl,new_data_scaled,4,2,10,0.25,0.5378567053420207,0.6854926625861384,1.223349367928159
SpectACl,new_data_scaled,4,2,10,0.3,0.5922982533594594,0.6897416158194367,1.2820398691788961
SpectACl,new_data_scaled,4,2,10,0.4,0.2648503808910912,0.5017380346827434,0.7665884155738345
SpectACl,new_data_scaled,4,2,10,0.5,0.457224392110952,0.6181582123169227,1.0753826044278747
