name,prefix,seed,dim,radius,merge,clunum,ari,nmi,sum
DaDC,low_data,0,2,0.01,True,1082,0.07380813913175126,0.5316165997630691,0.6054247388948203
DaDC,low_data,0,2,0.02,True,564,0.19508606280826488,0.609586162879729,0.8046722256879939
DaDC,low_data,0,2,0.03,True,347,0.3014598051576498,0.6527553837757607,0.9542151889334105
DaDC,low_data,0,2,0.04,True,226,0.45750678689169966,0.7000282307264516,1.1575350176181511
DaDC,low_data,0,2,0.05,True,108,0.02840308698428136,0.1751591789567079,0.20356226594098925
DaDC,low_data,0,2,0.06,True,134,0.5913733921254234,0.7300536069234084,1.3214269990488319
DaDC,low_data,0,2,0.07,True,89,0.503140087037329,0.7091675706005478,1.2123076576378768
DaDC,low_data,0,2,0.08,True,85,0.5999820360095677,0.712785139714329,1.3127671757238968
DaDC,low_data,0,2,0.09,True,40,0.02610424040694851,0.1665032483028956,0.1926074887098441
DaDC,low_data,0,2,0.1,True,62,0.8214768605633674,0.7815589324837192,1.6030357930470867
DaDC,low_data,0,2,0.11,True,49,0.6601693889252149,0.7256400097496127,1.3858093986748277
DaDC,low_data,0,2,0.12,True,43,0.6478508174020242,0.6939455783210183,1.3417963957230425
DaDC,low_data,0,2,0.13,True,35,0.6682665430139504,0.6922155800654722,1.3604821230794226
DaDC,low_data,0,2,0.14,True,29,0.6197750219093467,0.6730600823715277,1.2928351042808743
DaDC,low_data,0,2,0.15,True,26,0.6015858839839447,0.6715932398066847,1.2731791237906296
DaDC,low_data,0,2,0.18,True,10,0.02519306618227981,0.14145717068385288,0.1666502368661327
DaDC,low_data,0,2,0.2,True,17,0.4037233834650555,0.56739672307104,0.9711201065360955
DaDC,low_data,0,2,0.25,True,5,0.0006265600630117512,0.008824790943152716,0.009451351006164468
DaDC,low_data,0,2,0.3,True,2,0.06956907650631113,0.20164156218521465,0.2712106386915258
DaDC,low_data,0,2,0.4,True,3,0.018986974971776722,0.08842380784486123,0.10741078281663795
DaDC,low_data,0,2,0.5,True,2,0.0003809424577968696,0.005477544204174849,0.005858486661971718
DaDC,low_data,0,5,0.01,True,4100,0.0018782093559362597,0.4198737023917073,0.42175191174764354
DaDC,low_data,0,5,0.02,True,2390,0.043039228408000584,0.47761378721784287,0.5206530156258434
DaDC,low_data,0,5,0.03,True,1497,0.12717310132671317,0.5351719521885355,0.6623450535152486
DaDC,low_data,0,5,0.04,True,1021,0.30471019066660465,0.6061358353217257,0.9108460259883303
DaDC,low_data,0,5,0.05,True,774,0.3156666902177552,0.6389033203715595,0.9545700105893147
DaDC,low_data,0,5,0.06,True,666,0.4732937437947044,0.6948443553197569,1.1681380991144612
DaDC,low_data,0,5,0.07,True,602,0.6141213248404747,0.7320308022468442,1.346152127087319
DaDC,low_data,0,5,0.08,True,561,0.5718115076677913,0.7385077222804798,1.310319229948271
DaDC,low_data,0,5,0.09,True,529,0.6930372462062552,0.7606984830875863,1.4537357292938413
DaDC,low_data,0,5,0.1,True,521,0.7348603619737035,0.7707635364777897,1.5056238984514931
DaDC,low_data,0,5,0.11,True,515,0.5342686975234888,0.7059007205264424,1.2401694180499312
DaDC,low_data,0,5,0.12,True,506,0.5193794765093813,0.6844469946112554,1.2038264711206366
DaDC,low_data,0,5,0.13,True,494,0.5091538571966574,0.6976891936857881,1.2068430508824455
DaDC,low_data,0,5,0.14,True,489,0.5492906388294355,0.7148622868872379,1.2641529257166733
DaDC,low_data,0,5,0.15,True,473,0.4241610497734549,0.6526336370144201,1.076794686787875
DaDC,low_data,0,5,0.18,True,431,0.36426136915130664,0.6233803514930395,0.9876417206443462
DaDC,low_data,0,5,0.2,True,399,0.48819898814425017,0.6880244739203633,1.1762234620646135
DaDC,low_data,0,5,0.25,True,282,0.3499600394107665,0.6008718628269687,0.9508319022377352
DaDC,low_data,0,5,0.3,True,199,0.27958906650873827,0.5272528514530754,0.8068419179618137
DaDC,low_data,0,5,0.4,True,114,0.1864888210955843,0.47099058090482243,0.6574794020004067
DaDC,low_data,0,5,0.5,True,42,0.011972900205267777,0.09558983238922737,0.10756273259449514
DaDC,low_data,0,10,0.01,True,4945,0.00013341216871432153,0.4081644727923707,0.40829788496108504
DaDC,low_data,0,10,0.02,True,3554,0.014290673227993761,0.4410442476979891,0.4553349209259829
DaDC,low_data,0,10,0.03,True,2555,0.09626803696818668,0.4895910598596129,0.5858590968277996
DaDC,low_data,0,10,0.04,True,1716,0.1948171849551876,0.5448256994644843,0.739642884419672
DaDC,low_data,0,10,0.05,True,1427,0.3106376927800271,0.5871192501044139,0.897756942884441
DaDC,low_data,0,10,0.06,True,1048,0.512439595841919,0.6339017562265098,1.1463413520684287
DaDC,low_data,0,10,0.07,True,845,0.593671649496599,0.6702445166045171,1.263916166101116
DaDC,low_data,0,10,0.08,True,723,0.6924064209316518,0.7237551985505959,1.4161616194822477
DaDC,low_data,0,10,0.09,True,715,0.6560731026764267,0.7163531113341378,1.3724262140105645
DaDC,low_data,0,10,0.1,True,685,0.6589926334627395,0.7240353299447875,1.3830279634075269
DaDC,low_data,0,10,0.11,True,625,0.6968702381962857,0.7540452700195943,1.45091550821588
DaDC,low_data,0,10,0.12,True,585,0.7509343651093746,0.7707783884026325,1.521712753512007
DaDC,low_data,0,10,0.13,True,553,0.7973070482819118,0.7992629871766859,1.5965700354585977
DaDC,low_data,0,10,0.14,True,575,0.6652780883225342,0.7477456448434704,1.4130237331660047
DaDC,low_data,0,10,0.15,True,539,0.8527948086435024,0.8003073571717768,1.6531021658152794
DaDC,low_data,0,10,0.18,True,541,0.5365580916057039,0.6798372905023542,1.216395382108058
DaDC,low_data,0,10,0.2,True,515,0.6306194411268053,0.7114081675958476,1.342027608722653
DaDC,low_data,0,10,0.25,True,515,0.27784922327472317,0.5684699818111341,0.8463192050858572
DaDC,low_data,0,10,0.3,True,501,0.17750568181166196,0.47303473683299885,0.6505404186446608
DaDC,low_data,0,10,0.4,True,486,0.30944806150085646,0.542897131404811,0.8523451929056675
DaDC,low_data,0,10,0.5,True,431,0.16922689755341072,0.4610161880536865,0.6302430856070972
DaDC,low_data,0,50,0.01,True,5000,0.0,0.4074430677441709,0.4074430677441709
DaDC,low_data,0,50,0.02,True,4584,0.005168304491696284,0.4178711214506545,0.42303942594235083
DaDC,low_data,0,50,0.03,True,3315,0.06462687130148576,0.4699013678123712,0.5345282391138569
DaDC,low_data,0,50,0.04,True,2730,0.16985028917830045,0.5104185160746146,0.6802688052529151
DaDC,low_data,0,50,0.05,True,1710,0.26000169245927834,0.5706592379836137,0.830660930442892
DaDC,low_data,0,50,0.06,True,1309,0.49075821140855475,0.6261850566676348,1.1169432680761895
DaDC,low_data,0,50,0.07,True,1365,0.5279022572003126,0.6460611817423727,1.1739634389426854
DaDC,low_data,0,50,0.08,True,1724,0.3412396555933566,0.5974047530489823,0.9386444086423389
DaDC,low_data,0,50,0.09,True,867,0.6637712068889324,0.7202667560330528,1.3840379629219852
DaDC,low_data,0,50,0.1,True,1426,0.5398719332298015,0.6438989441286637,1.1837708773584652
DaDC,low_data,0,50,0.11,True,841,0.8512160692458536,0.7686944787954154,1.619910548041269
DaDC,low_data,0,50,0.12,True,978,0.8163924230879017,0.7504489971675293,1.566841420255431
DaDC,low_data,0,50,0.13,True,789,0.865795769861475,0.7851889209440575,1.6509846908055326
DaDC,low_data,0,50,0.14,True,767,0.8636869290817092,0.7878556539114469,1.651542582993156
DaDC,low_data,0,50,0.15,True,668,0.8973262985863376,0.8138848819628638,1.7112111805492014
DaDC,low_data,0,50,0.18,True,525,0.9335131874860763,0.859326515180766,1.7928397026668423
DaDC,low_data,0,50,0.2,True,754,0.9250535124736895,0.819179735607785,1.7442332480814744
DaDC,low_data,0,50,0.25,True,532,0.8837729993253737,0.8302376625830635,1.7140106619084372
DaDC,low_data,0,50,0.3,True,566,0.6142709880991318,0.7447307042907678,1.3590016923898998
DaDC,low_data,0,50,0.4,True,505,0.472654581106096,0.6225679643617162,1.0952225454678122
DaDC,low_data,0,50,0.5,True,504,0.41309117795455613,0.61815945384322,1.031250631797776
DaDC,low_data,0,100,0.01,True,5000,0.0,0.4074430677441708,0.4074430677441708
DaDC,low_data,0,100,0.02,True,4985,0.00011404682623959317,0.4077633469998729,0.4078773938261125
DaDC,low_data,0,100,0.03,True,3161,0.06986962709319547,0.4762831909633083,0.5461528180565037
DaDC,low_data,0,100,0.04,True,2795,0.19479275172386615,0.5141895970357127,0.7089823487595788
DaDC,low_data,0,100,0.05,True,1960,0.2552847583067524,0.5603775200288452,0.8156622783355976
DaDC,low_data,0,100,0.06,True,1127,0.3898534122498809,0.6449527573138518,1.0348061695637327
DaDC,low_data,0,100,0.07,True,1100,0.5775550706523089,0.6851116725243673,1.2626667431766763
DaDC,low_data,0,100,0.08,True,1213,0.6965382118477794,0.691541139166438,1.3880793510142175
DaDC,low_data,0,100,0.09,True,1312,0.668899974739157,0.6684118352191353,1.3373118099582921
DaDC,low_data,0,100,0.1,True,1126,0.7439589324973203,0.7120190139467371,1.4559779464440572
DaDC,low_data,0,100,0.11,True,890,0.8352139042155372,0.7630616360322932,1.5982755402478304
DaDC,low_data,0,100,0.12,True,1107,0.838893108431412,0.7351416475841708,1.5740347560155827
DaDC,low_data,0,100,0.13,True,1194,0.8369139486258109,0.7246745349206967,1.5615884835465077
DaDC,low_data,0,100,0.14,True,1311,0.8348638677145256,0.7120409095275354,1.546904777242061
