name,prefix,seed,dim,variance,k,min_cluster_size,ari,nmi,sum
MultiDensityDBSCAN,low_data,0,2,1,5,2,0.003097722776828449,0.4239859413530975,0.42708366412992593
MultiDensityDBSCAN,low_data,0,2,1,5,3,0.0059714886961251025,0.4350027512450405,0.44097423994116564
MultiDensityDBSCAN,low_data,0,2,1,5,5,0.012534117306242473,0.4402610083786544,0.4527951256848969
MultiDensityDBSCAN,low_data,0,2,1,5,10,0.018232225635970017,0.44270430965872953,0.4609365352946996
MultiDensityDBSCAN,low_data,0,2,1,5,15,0.02886134679959932,0.4220186299367013,0.45087997673630065
MultiDensityDBSCAN,low_data,0,2,1,5,20,0.028099810230529192,0.4233001328059364,0.45139994303646563
MultiDensityDBSCAN,low_data,0,2,1,5,25,0.029944186094829385,0.4203995957475801,0.45034378184240953
MultiDensityDBSCAN,low_data,0,2,1,6,2,0.002712305523418535,0.4268489730541636,0.42956127857758214
MultiDensityDBSCAN,low_data,0,2,1,6,3,0.006513997913904026,0.4399829269875839,0.4464969249014879
MultiDensityDBSCAN,low_data,0,2,1,6,5,0.01605238730315031,0.44845160749185303,0.46450399479500337
MultiDensityDBSCAN,low_data,0,2,1,6,10,0.027528550696806247,0.4547094719776418,0.48223802267444804
MultiDensityDBSCAN,low_data,0,2,1,6,15,0.03907886396042675,0.4517283193230924,0.49080718328351913
MultiDensityDBSCAN,low_data,0,2,1,6,20,0.026349056820156865,0.4376442393857692,0.46399329620592605
MultiDensityDBSCAN,low_data,0,2,1,6,25,0.03519316577973147,0.438750511203349,0.4739436769830805
MultiDensityDBSCAN,low_data,0,2,1,7,2,0.00268389846205401,0.42828909229151413,0.43097299075356815
MultiDensityDBSCAN,low_data,0,2,1,7,3,0.006592238709632696,0.44328010850519545,0.44987234721482816
MultiDensityDBSCAN,low_data,0,2,1,7,5,0.011868907382396125,0.45361299085493506,0.46548189823733116
MultiDensityDBSCAN,low_data,0,2,1,7,10,0.031657565713781026,0.47221028395995496,0.503867849673736
MultiDensityDBSCAN,low_data,0,2,1,7,15,0.054564047762508894,0.47564171291810486,0.5302057606806138
MultiDensityDBSCAN,low_data,0,2,1,7,20,0.05827688603331401,0.4708942104571568,0.5291710964904708
MultiDensityDBSCAN,low_data,0,2,1,7,25,0.05273471409645757,0.47114836884093364,0.5238830829373912
MultiDensityDBSCAN,low_data,0,2,1,10,2,0.0028528342328015223,0.43186048999539944,0.43471332422820097
MultiDensityDBSCAN,low_data,0,2,1,10,3,0.006731610198275789,0.4484311547951303,0.4551627649934061
MultiDensityDBSCAN,low_data,0,2,1,10,5,0.015198530123833093,0.4639289108308114,0.4791274409546445
MultiDensityDBSCAN,low_data,0,2,1,10,10,0.03147644122216002,0.48651236359184125,0.5179888048140012
MultiDensityDBSCAN,low_data,0,2,1,10,15,0.07052532783377083,0.5008128368184674,0.5713381646522383
MultiDensityDBSCAN,low_data,0,2,1,10,20,0.07322099701711597,0.5055661245616978,0.5787871215788137
MultiDensityDBSCAN,low_data,0,2,1,10,25,0.10137636273686389,0.5216738687051364,0.6230502314420003
MultiDensityDBSCAN,low_data,0,2,1,15,2,0.0028048537704745214,0.43297805109871496,0.43578290486918947
MultiDensityDBSCAN,low_data,0,2,1,15,3,0.006520243365730222,0.45233514759076215,0.45885539095649236
MultiDensityDBSCAN,low_data,0,2,1,15,5,0.013912776417304082,0.4700095402276304,0.4839223166449345
MultiDensityDBSCAN,low_data,0,2,1,15,10,0.044071687867759266,0.497891544813455,0.5419632326812143
MultiDensityDBSCAN,low_data,0,2,1,15,15,0.07159355073402028,0.5192446013504132,0.5908381520844335
MultiDensityDBSCAN,low_data,0,2,1,15,20,0.08916576271294525,0.5381316086992779,0.6272973714122232
MultiDensityDBSCAN,low_data,0,2,1,15,25,0.10169934771269885,0.5383269071417894,0.6400262548544883
MultiDensityDBSCAN,low_data,0,2,1,20,2,0.002793711431151981,0.43312202884822504,0.435915740279377
MultiDensityDBSCAN,low_data,0,2,1,20,3,0.006475779403582117,0.4517306948885347,0.4582064742921168
MultiDensityDBSCAN,low_data,0,2,1,20,5,0.013570474913607642,0.47204234698795394,0.4856128219015616
MultiDensityDBSCAN,low_data,0,2,1,20,10,0.0411422263131528,0.5038324122077917,0.5449746385209445
MultiDensityDBSCAN,low_data,0,2,1,20,15,0.06175584450450501,0.5237980873031455,0.5855539318076505
MultiDensityDBSCAN,low_data,0,2,1,20,20,0.10987976624722642,0.5515712966595593,0.6614510629067857
MultiDensityDBSCAN,low_data,0,2,1,20,25,0.10751299380045241,0.548825695218783,0.6563386890192354
MultiDensityDBSCAN,low_data,0,2,1,25,2,0.002789912572608983,0.4331906286396068,0.43598054121221574
MultiDensityDBSCAN,low_data,0,2,1,25,3,0.006646971034487338,0.4538944253314946,0.46054139636598196
MultiDensityDBSCAN,low_data,0,2,1,25,5,0.01301154829421436,0.47454174299874535,0.4875532912929597
MultiDensityDBSCAN,low_data,0,2,1,25,10,0.030817010957949247,0.5045145354852322,0.5353315464431814
MultiDensityDBSCAN,low_data,0,2,1,25,15,0.06853316550066621,0.5257283937091128,0.5942615592097791
MultiDensityDBSCAN,low_data,0,2,1,25,20,0.13031087644241107,0.5507846491005358,0.681095525542947
MultiDensityDBSCAN,low_data,0,2,1,25,25,0.13125334788364143,0.5533813904197459,0.6846347383033873
MultiDensityDBSCAN,low_data,0,2,1,30,2,0.0028301700992231964,0.4337082504098778,0.436538420509101
MultiDensityDBSCAN,low_data,0,2,1,30,3,0.006624245128664719,0.4538620895803913,0.46048633470905603
