name,prefix,seed,dim,cluster_all,bandwidth,ari,nmi,sum
MeanShift,low_data,0,2,True,0.01,0.1059221110163498,0.5561758859306245,0.6620979969469742
MeanShift,low_data,0,2,True,0.02,0.3605025128310144,0.6675648516210971,1.0280673644521117
MeanShift,low_data,0,2,True,0.03,0.6923763687703891,0.7434336668802396,1.4358100356506287
MeanShift,low_data,0,2,True,0.04,0.8330452995001706,0.7977582361208536,1.6308035356210242
MeanShift,low_data,0,2,True,0.05,0.853148878098967,0.8124315191217365,1.6655803972207035
MeanShift,low_data,0,2,True,0.06,0.877352203149231,0.8336947589054542,1.7110469620546853
MeanShift,low_data,0,2,True,0.07,0.8753684510658952,0.8301373350936893,1.7055057861595846
MeanShift,low_data,0,2,True,0.08,0.8560127533244971,0.8138742269539024,1.6698869802783995
MeanShift,low_data,0,2,True,0.09,0.7618175037769331,0.7615153204854582,1.5233328242623914
MeanShift,low_data,0,2,True,0.1,0.7134396865160683,0.7288772295372644,1.4423169160533327
MeanShift,low_data,0,2,True,0.11,0.7054251601395569,0.7309723718631912,1.436397532002748
MeanShift,low_data,0,2,True,0.12,0.6737375945454225,0.7364364283884051,1.4101740229338275
MeanShift,low_data,0,2,True,0.13,0.5864631602318703,0.6882249405171008,1.2746881007489712
MeanShift,low_data,0,2,True,0.14,0.5396145412434625,0.6309485326154228,1.1705630738588853
MeanShift,low_data,0,2,True,0.15,0.4454603171581707,0.5960680121658652,1.041528329324036
MeanShift,low_data,0,2,True,0.16,0.4387473872738142,0.5839435584622612,1.0226909457360753
MeanShift,low_data,0,2,True,0.17,0.3774884512579225,0.5486730242613348,0.9261614755192573
MeanShift,low_data,0,2,True,0.18,0.20965387729193544,0.3848766537121465,0.5945305310040819
MeanShift,low_data,0,2,True,0.19,0.05600408657656494,0.1751313186756202,0.23113540525218515
MeanShift,low_data,0,2,True,0.2,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.21,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.22,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.23,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.24,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.25,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.28,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.3,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.35,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.4,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.45,0.0,0.0,0.0
MeanShift,low_data,0,2,True,0.5,0.0,0.0,0.0
MeanShift,low_data,0,2,False,0.01,0.09392855826342064,0.5032615119491359,0.5971900702125565
MeanShift,low_data,0,2,False,0.02,0.14811457651242574,0.5384410064740495,0.6865555829864752
MeanShift,low_data,0,2,False,0.03,0.2734042186006574,0.5894720344129384,0.8628762530135958
MeanShift,low_data,0,2,False,0.04,0.4723273716226527,0.6618981043637011,1.1342254759863537
MeanShift,low_data,0,2,False,0.05,0.6454184708454647,0.7167304024412493,1.362148873286714
MeanShift,low_data,0,2,False,0.06,0.7506753067654243,0.7649644202941921,1.5156397270596162
MeanShift,low_data,0,2,False,0.07,0.79773250885559,0.7905645400986088,1.5882970489541988
MeanShift,low_data,0,2,False,0.08,0.8396850802249767,0.8197043176925505,1.6593893979175272
MeanShift,low_data,0,2,False,0.09,0.7679241970092149,0.7690697638205828,1.5369939608297978
MeanShift,low_data,0,2,False,0.1,0.7501978127687897,0.7587024465688139,1.5089002593376035
MeanShift,low_data,0,2,False,0.11,0.7486120517612471,0.7542655379702323,1.5028775897314794
MeanShift,low_data,0,2,False,0.12,0.7220391707050055,0.7515696403370506,1.4736088110420562
MeanShift,low_data,0,2,False,0.13,0.6541435308113456,0.7049948561123701,1.3591383869237157
MeanShift,low_data,0,2,False,0.14,0.5852813617387782,0.6580011054110119,1.2432824671497902
MeanShift,low_data,0,2,False,0.15,0.5357142189892807,0.6321372350599985,1.1678514540492793
MeanShift,low_data,0,2,False,0.16,0.5309309645499074,0.6422893381569451,1.1732203027068526
MeanShift,low_data,0,2,False,0.17,0.5185422178325789,0.6178623624578976,1.1364045802904765
MeanShift,low_data,0,2,False,0.18,0.3520001750181793,0.5320574784268235,0.8840576534450029
MeanShift,low_data,0,2,False,0.19,0.2149137691607783,0.38138302693376513,0.5962967960945434
MeanShift,low_data,0,2,False,0.2,0.2326219929519838,0.3792856568087557,0.6119076497607395
MeanShift,low_data,0,2,False,0.21,0.21648014280264016,0.3297551829255551,0.5462353257281953
MeanShift,low_data,0,2,False,0.22,0.19104865069359508,0.3030774945328856,0.4941261452264807
MeanShift,low_data,0,2,False,0.23,0.17511086315771474,0.3052045887897375,0.48031545194745223
MeanShift,low_data,0,2,False,0.24,0.1663017993318962,0.30489159649451064,0.47119339582640685
MeanShift,low_data,0,2,False,0.25,0.1584642716113944,0.29978184867848295,0.4582461202898773
MeanShift,low_data,0,2,False,0.28,0.13047444180627552,0.27761027077060285,0.4080847125768784
MeanShift,low_data,0,2,False,0.3,0.11063147509444135,0.2592977746529341,0.3699292497473754
MeanShift,low_data,0,2,False,0.35,0.05795267127003014,0.17834195063258218,0.23629462190261233
MeanShift,low_data,0,2,False,0.4,0.0324514073528521,0.12819862352766634,0.16065003088051844
MeanShift,low_data,0,2,False,0.45,0.02230987058529565,0.10619146582338793,0.12850133640868358
MeanShift,low_data,0,2,False,0.5,0.011149437181599041,0.07156842622191154,0.08271786340351057
