name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,low_data,5,2,10,0.1,2,0.5025896600044083,0.6585171480260669,1.1611068080304752
DEC,low_data,5,2,10,0.2,2,0.4985092864605229,0.6288256188689837,1.1273349053295065
DEC,low_data,5,2,10,0.3,2,0.447646161245316,0.602068805122531,1.049714966367847
DEC,low_data,5,2,10,0.4,2,0.4046671950933767,0.5926432214390079,0.9973104165323846
DEC,low_data,5,2,10,0.5,2,0.4019124075402678,0.5954134998054682,0.997325907345736
DEC,low_data,5,2,10,0.6,2,0.4011130448096096,0.5937992196931742,0.9949122645027837
DEC,low_data,5,2,10,0.7,2,0.4022414383664691,0.5938095006879155,0.9960509390543846
DEC,low_data,5,2,10,0.8,2,0.21254037612579407,0.46097772955512367,0.6735181056809177
DEC,low_data,5,2,10,0.9,2,0.16891073999451273,0.38318708174081967,0.5520978217353324
DEC,low_data,5,2,10,1,2,0.16087830445723725,0.3614984186877661,0.5223767231450034
DEC,low_data,5,5,10,0.1,2,0.6210636491086887,0.7687538779995869,1.3898175271082756
DEC,low_data,5,5,10,0.1,5,0.6972394725010057,0.8183170826341659,1.5155565551351717
DEC,low_data,5,5,10,0.2,2,0.6400289986222564,0.7711818809774502,1.4112108795997065
DEC,low_data,5,5,10,0.2,5,0.701792246480082,0.8239164847401297,1.5257087312202118
DEC,low_data,5,5,10,0.3,2,0.5196561225033249,0.7222972221007682,1.2419533446040931
DEC,low_data,5,5,10,0.3,5,0.5963072533335665,0.7729824006240419,1.3692896539576083
DEC,low_data,5,5,10,0.4,2,0.48696017783580586,0.7097257515444819,1.1966859293802878
DEC,low_data,5,5,10,0.4,5,0.611625292081969,0.7931792023053046,1.4048044943872737
DEC,low_data,5,5,10,0.5,2,0.48736004529560806,0.6686585508203584,1.1560185961159664
DEC,low_data,5,5,10,0.5,5,0.4163250054558205,0.6975983386426503,1.1139233440984708
DEC,low_data,5,5,10,0.6,2,0.5769853048029092,0.7121648054365242,1.2891501102394334
DEC,low_data,5,5,10,0.6,5,0.5092497966833887,0.723894709849473,1.2331445065328617
DEC,low_data,5,5,10,0.7,2,0.5738362556031412,0.7113318448187184,1.2851681004218596
DEC,low_data,5,5,10,0.7,5,0.5017972536943258,0.7212739682621976,1.2230712219565234
DEC,low_data,5,5,10,0.8,2,0.5791173040886746,0.7154347542959347,1.2945520583846093
DEC,low_data,5,5,10,0.8,5,0.5083839851984776,0.7238507288314598,1.2322347140299375
DEC,low_data,5,5,10,0.9,2,0.6008249840539007,0.7128261106641935,1.3136510947180944
DEC,low_data,5,5,10,0.9,5,0.49306668515737334,0.7144230006120628,1.2074896857694362
