name,prefix,seed,dim,n_clusters,threshold,branching_factor,ari,nmi,sum
Birch,low_data,0,2,10,0.01,2,0.711085756133345,0.7777751960735751,1.4888609522069203
Birch,low_data,0,2,10,0.01,5,0.5817700711327097,0.7297409102765843,1.311510981409294
Birch,low_data,0,2,10,0.025,2,0.6187808779743517,0.7314902261644672,1.350271104138819
Birch,low_data,0,2,10,0.025,5,0.542354512052,0.6849975596530044,1.2273520717050044
Birch,low_data,0,2,10,0.05,2,0.5313246878453168,0.6688921579379282,1.200216845783245
Birch,low_data,0,2,10,0.05,5,0.33045435588447364,0.5580114444670493,0.8884658003515229
Birch,low_data,0,2,10,0.075,2,0.5524313201272177,0.6306523292826898,1.1830836494099075
Birch,low_data,0,2,10,0.075,5,0.6101208272850293,0.6891990137701984,1.2993198410552278
Birch,low_data,0,2,10,0.1,2,0.41691489219301325,0.5903504662223642,1.0072653584153775
Birch,low_data,0,2,10,0.1,5,0.2517178216475783,0.5174117628758393,0.7691295845234176
Birch,low_data,0,2,10,0.125,2,0.5358077933814521,0.6503581360077182,1.1861659293891704
Birch,low_data,0,2,10,0.125,5,0.5183720410768589,0.6591477093480127,1.1775197504248716
Birch,low_data,0,2,10,0.15,2,0.3130524167397018,0.538210428762851,0.8512628455025528
Birch,low_data,0,2,10,0.15,5,0.47196734587935973,0.6459976628535805,1.1179650087329402
Birch,low_data,0,2,10,0.2,2,0.4870212712890844,0.6034254165352119,1.0904466878242962
Birch,low_data,0,2,10,0.2,5,0.31057050616983495,0.5160421473765531,0.826612653546388
Birch,low_data,0,2,10,0.25,2,0.3317186618798535,0.5022843382743437,0.8340030001541971
Birch,low_data,0,2,10,0.25,5,0.3943802711489785,0.5559616219982719,0.9503418931472505
Birch,low_data,0,2,10,0.3,2,0.0,0.0,0.0
Birch,low_data,0,2,10,0.3,5,0.0,0.0,0.0
Birch,low_data,0,5,10,0.01,2,0.42907828735208686,0.7053292040941174,1.1344074914462041
Birch,low_data,0,5,10,0.01,5,0.42303956848753144,0.7022392797867033,1.1252788482742346
Birch,low_data,0,5,10,0.025,2,0.17238527105815052,0.48282271469423327,0.6552079857523838
Birch,low_data,0,5,10,0.025,5,0.17555950812796026,0.49352445205969664,0.6690839601876569
Birch,low_data,0,5,10,0.05,2,0.17247367888718318,0.4835566539976344,0.6560303328848176
