name,prefix,seed,dim,xi,min_cluster_size,predecessor_correction,ari,nmi,sum
OPTICS,low_data,0,2,0.01,10,True,0.018544439065134408,0.3820954191053595,0.4006398581704939
OPTICS,low_data,0,2,0.01,50,True,0.01669269724269841,0.37253631665723086,0.38922901389992925
OPTICS,low_data,0,2,0.01,100,True,0.07808661739812002,0.48904716276554655,0.5671337801636666
OPTICS,low_data,0,2,0.01,150,True,0.1562468702891473,0.587491390987818,0.7437382612769653
OPTICS,low_data,0,2,0.01,200,True,0.1785921894562267,0.5734449110189115,0.7520371004751382
OPTICS,low_data,0,2,0.01,250,True,0.23400013766153097,0.6222649089390968,0.8562650466006277
OPTICS,low_data,0,2,0.01,300,True,0.2888484007522643,0.659971924565314,0.9488203253175782
OPTICS,low_data,0,2,0.01,350,True,0.2358910112398586,0.6150153791758198,0.8509063904156784
OPTICS,low_data,0,2,0.01,400,True,0.22567509340765995,0.6086861768758638,0.8343612702835237
OPTICS,low_data,0,2,0.01,500,True,0.35081326469890495,0.6462649126973956,0.9970781773963006
OPTICS,low_data,0,2,0.02,10,True,0.018967986905646425,0.3769200849624811,0.3958880718681275
OPTICS,low_data,0,2,0.02,50,True,0.031708216600781616,0.3901237598640962,0.4218319764648778
OPTICS,low_data,0,2,0.02,100,True,0.0976051606635609,0.5174169915216851,0.6150221521852459
OPTICS,low_data,0,2,0.02,150,True,0.1626529234468015,0.5816621733438537,0.7443150967906552
OPTICS,low_data,0,2,0.02,200,True,0.18744572919304733,0.570643995938409,0.7580897251314563
OPTICS,low_data,0,2,0.02,250,True,0.40842864168841664,0.7005296081792219,1.1089582498676385
OPTICS,low_data,0,2,0.02,300,True,0.7011819453914802,0.815367958441266,1.5165499038327461
OPTICS,low_data,0,2,0.02,350,True,0.6965237755184588,0.823660742126051,1.52018451764451
OPTICS,low_data,0,2,0.02,400,True,0.6153329798251227,0.7900345285330335,1.405367508358156
OPTICS,low_data,0,2,0.02,500,True,0.6190768321755471,0.7714482910513103,1.3905251232268574
OPTICS,low_data,0,2,0.03,10,True,0.015337355935090398,0.37654504339671613,0.3918823993318065
OPTICS,low_data,0,2,0.03,50,True,0.08113064230904136,0.4422497044344013,0.5233803467434427
OPTICS,low_data,0,2,0.03,100,True,0.10393731415100631,0.49214396193539317,0.5960812760863995
OPTICS,low_data,0,2,0.03,150,True,0.16374935659623854,0.5600831245425512,0.7238324811387897
OPTICS,low_data,0,2,0.03,200,True,0.41463834642486974,0.6981621506016287,1.1128004970264984
OPTICS,low_data,0,2,0.03,250,True,0.44960487528323956,0.72140931281509,1.1710141880983296
OPTICS,low_data,0,2,0.03,300,True,0.7563507318033696,0.8406120253210267,1.5969627571243965
OPTICS,low_data,0,2,0.03,350,True,0.7474604515481363,0.8456635193664207,1.593123970914557
OPTICS,low_data,0,2,0.03,400,True,0.6474973638416722,0.8034124122043873,1.4509097760460596
OPTICS,low_data,0,2,0.03,500,True,0.6536497775368271,0.7927142451283945,1.4463640226652217
OPTICS,low_data,0,2,0.04,10,True,0.01201107813512885,0.36404217293389246,0.3760532510690213
OPTICS,low_data,0,2,0.04,50,True,0.09476685457537337,0.45794034027802194,0.5527071948533953
OPTICS,low_data,0,2,0.04,100,True,0.17750526013449777,0.5878166109145346,0.7653218710490324
OPTICS,low_data,0,2,0.04,150,True,0.41776861935546583,0.7140009160887418,1.1317695354442077
OPTICS,low_data,0,2,0.04,200,True,0.4771398144908303,0.7418405613898298,1.21898037588066
OPTICS,low_data,0,2,0.04,250,True,0.4771398144908303,0.7418405613898298,1.21898037588066
OPTICS,low_data,0,2,0.04,300,True,0.7940442040577451,0.8661637405412145,1.6602079445989597
OPTICS,low_data,0,2,0.04,350,True,0.7625665178139934,0.8564349871076048,1.6190015049215982
OPTICS,low_data,0,2,0.04,400,True,0.6526143270735626,0.8050854033363706,1.4576997304099333
OPTICS,low_data,0,2,0.04,500,True,0.6610586327336024,0.7972705822215849,1.4583292149551874
OPTICS,low_data,0,2,0.05,10,True,0.009861278971511492,0.3528558848304376,0.3627171638019491
OPTICS,low_data,0,2,0.05,50,True,0.31564996448404853,0.6193075812346593,0.9349575457187078
OPTICS,low_data,0,2,0.05,100,True,0.46034678760764214,0.7351736409510177,1.1955204285586598
OPTICS,low_data,0,2,0.05,150,True,0.4391770411122969,0.7293654993304951,1.168542540442792
OPTICS,low_data,0,2,0.05,200,True,0.9126550330328935,0.931935181690905,1.8445902147237985
OPTICS,low_data,0,2,0.05,250,True,0.9126550330328935,0.931935181690905,1.8445902147237985
OPTICS,low_data,0,2,0.05,300,True,0.8895397233065376,0.9225659638339087,1.8121056871404462
OPTICS,low_data,0,2,0.05,350,True,0.8094987724126476,0.886698733420082,1.6961975058327297
OPTICS,low_data,0,2,0.05,400,True,0.7012989528723093,0.838402597581727,1.5397015504540361
OPTICS,low_data,0,2,0.05,500,True,0.680297811042312,0.8116705376145181,1.49196834865683
OPTICS,low_data,0,2,0.06,10,True,0.01252834358151908,0.34158601463599036,0.3541143582175095
OPTICS,low_data,0,2,0.06,50,True,0.44069821874899934,0.7049353135504873,1.1456335322994866
OPTICS,low_data,0,2,0.06,100,True,0.6604345495877326,0.8446892216745135,1.5051237712622463
OPTICS,low_data,0,2,0.06,150,True,0.6368149992753304,0.8427988767154654,1.4796138759907957
OPTICS,low_data,0,2,0.06,200,True,0.9388370394487516,0.9497560305281352,1.8885930699768867
OPTICS,low_data,0,2,0.06,250,True,0.9388370394487516,0.9497560305281352,1.8885930699768867
