name,prefix,seed,dim,density_threshold,distance_threshold,gauss_cutoff,ari,nmi,sum
dpca,low_data,0,2,0.01,0.01,True,0.3895961427291941,0.5949346627532567,0.9845308054824508
dpca,low_data,0,2,0.01,0.02,True,0.6747294385567811,0.7072279603286459,1.381957398885427
dpca,low_data,0,2,0.01,0.03,True,0.7572880220686544,0.7634323547528726,1.5207203768215272
dpca,low_data,0,2,0.01,0.04,True,0.7713402007654679,0.7749311166475265,1.5462713174129945
dpca,low_data,0,2,0.01,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.01,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.01,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.01,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.01,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.01,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.01,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.01,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.01,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.01,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.01,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.02,0.01,True,0.3893925444327033,0.5951058734728304,0.9844984179055337
dpca,low_data,0,2,0.02,0.02,True,0.6747331768373163,0.7074802350870171,1.3822134119243334
dpca,low_data,0,2,0.02,0.03,True,0.7570506900941486,0.7637030877260773,1.520753777820226
dpca,low_data,0,2,0.02,0.04,True,0.7711226388405642,0.77527968022569,1.5464023190662544
dpca,low_data,0,2,0.02,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.02,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.02,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.02,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.02,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.02,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.02,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.02,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.02,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.02,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.02,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.03,0.01,True,0.38939331664033855,0.5951813652395412,0.9845746818798797
dpca,low_data,0,2,0.03,0.02,True,0.6747340075640577,0.707561886039885,1.3822958936039427
dpca,low_data,0,2,0.03,0.03,True,0.7570527298668894,0.7638276892260238,1.5208804190929133
dpca,low_data,0,2,0.03,0.04,True,0.7711283610605713,0.7754722291904386,1.5466005902510098
dpca,low_data,0,2,0.03,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.03,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.03,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.03,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.03,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.03,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.03,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.03,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.03,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.03,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.03,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.04,0.01,True,0.3893944749506505,0.5952946388081624,0.9846891137588129
dpca,low_data,0,2,0.04,0.02,True,0.6747352536526245,0.7076843978131026,1.3824196514657272
dpca,low_data,0,2,0.04,0.03,True,0.7570555855399473,0.7640032362134883,1.5210588217534355
dpca,low_data,0,2,0.04,0.04,True,0.7711304047005183,0.775561195320719,1.5466916000212372
dpca,low_data,0,2,0.04,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.04,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.04,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.04,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.04,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.04,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.04,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.04,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.04,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.04,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.04,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.05,0.01,True,0.3889877636421932,0.5955261697179658,0.9845139333601589
dpca,low_data,0,2,0.05,0.02,True,0.6747398226281713,0.7080321446536839,1.3827719672818553
dpca,low_data,0,2,0.05,0.03,True,0.7570617048048679,0.7644371041096428,1.5214988089145107
dpca,low_data,0,2,0.05,0.04,True,0.7711459361911648,0.7759376740777376,1.5470836102689023
dpca,low_data,0,2,0.05,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.05,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.05,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.05,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.05,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.05,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.05,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.05,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.05,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.05,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.05,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.06,0.01,True,0.388785036574099,0.595623977638725,0.984409014212824
dpca,low_data,0,2,0.06,0.02,True,0.6747427301450845,0.7082031756425211,1.3829459057876057
dpca,low_data,0,2,0.06,0.03,True,0.7570645604457359,0.7646232695257876,1.5216878299715235
dpca,low_data,0,2,0.06,0.04,True,0.7711504320919337,0.7761077203842998,1.5472581524762334
dpca,low_data,0,2,0.06,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.06,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.06,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.06,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.06,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.06,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
dpca,low_data,0,2,0.06,0.15,True,0.47117775336725526,0.6104100655563586,1.0815878189236139
dpca,low_data,0,2,0.06,0.2,True,0.4613282021074374,0.610442021510521,1.0717702236179583
dpca,low_data,0,2,0.06,0.3,True,0.0,0.0,0.0
dpca,low_data,0,2,0.06,0.4,True,0.0,0.0,0.0
dpca,low_data,0,2,0.06,,True,0.4720460285140949,0.6101862848544671,1.082232313368562
dpca,low_data,0,2,0.07,0.01,True,0.3885820852554318,0.595670231066982,0.9842523163224138
dpca,low_data,0,2,0.07,0.02,True,0.674743976220671,0.7083004365123311,1.383044412733002
dpca,low_data,0,2,0.07,0.03,True,0.7570682319689451,0.7647686527091957,1.521836884678141
dpca,low_data,0,2,0.07,0.04,True,0.7711504320919337,0.7761077203842998,1.5472581524762334
dpca,low_data,0,2,0.07,0.05,True,0.7685919812193854,0.7767780194497271,1.5453700006691125
dpca,low_data,0,2,0.07,0.06,True,0.7568692407128748,0.7719651205542676,1.5288343612671422
dpca,low_data,0,2,0.07,0.07,True,0.7380559339225317,0.7590931070628271,1.4971490409853587
dpca,low_data,0,2,0.07,0.08,True,0.7476278415847982,0.7688050372734285,1.5164328788582266
dpca,low_data,0,2,0.07,0.09,True,0.6875217582193364,0.7442939576263106,1.431815715845647
dpca,low_data,0,2,0.07,0.1,True,0.6698736668942608,0.731518615842792,1.4013922827370529
