name,prefix,seed,dim,k,nn,alpha,theta,ari,nmi,sum
SCAR,low_data,0,100,10,10,0.5,500,0.03540308371076215,0.11095613710470204,0.14635922081546418
SCAR,low_data,0,100,10,10,0.5,1000,0.08133913532980382,0.16199870127289892,0.24333783660270275
SCAR,low_data,0,100,10,10,0.5,2000,0.06040207573753322,0.1439130496173339,0.20431512535486712
SCAR,low_data,0,100,10,10,0.5,2500,0.0509134569689768,0.12051720886926265,0.17143066583823946
SCAR,low_data,0,100,10,10,0.5,3000,0.04278934697584873,0.11662748804796498,0.1594168350238137
SCAR,low_data,0,100,10,10,0.5,4000,0.0970100570755801,0.16764440921590829,0.26465446629148837
SCAR,low_data,0,100,10,10,0.6,500,0.05105924551938181,0.12912674410815778,0.1801859896275396
SCAR,low_data,0,100,10,10,0.6,1000,0.059120869101947235,0.1487415179429816,0.20786238704492882
SCAR,low_data,0,100,10,10,0.6,2000,0.1649962249373792,0.2981169888433768,0.463113213780756
SCAR,low_data,0,100,10,10,0.6,2500,0.13641266906292987,0.19892219610189524,0.33533486516482514
SCAR,low_data,0,100,10,10,0.6,3000,0.0927123630111235,0.1849785369554269,0.2776908999665504
SCAR,low_data,0,100,10,10,0.6,4000,0.03470141547482128,0.09338031321660246,0.12808172869142376
SCAR,low_data,0,100,10,10,0.7,500,0.13134041362745083,0.26573821703033046,0.39707863065778126
SCAR,low_data,0,100,10,10,0.7,1000,0.12629098630718655,0.2874591107236096,0.4137500970307961
SCAR,low_data,0,100,10,10,0.7,2000,0.14022113839427783,0.2629417369112538,0.40316287530553163
SCAR,low_data,0,100,10,10,0.7,2500,0.07720531118012847,0.15178418090356874,0.2289894920836972
SCAR,low_data,0,100,10,10,0.7,3000,0.06822660303954627,0.1481177143891288,0.21634431742867505
SCAR,low_data,0,100,10,10,0.7,4000,0.07047291022181872,0.163257444339934,0.23373035456175273
SCAR,low_data,0,100,10,10,0.8,500,0.0960610469673476,0.1801278914269132,0.27618893839426084
SCAR,low_data,0,100,10,10,0.8,1000,0.0635262627094249,0.1286512184720587,0.1921774811814836
SCAR,low_data,0,100,10,10,0.8,2000,0.07278651984862398,0.16689826331482133,0.23968478316344533
