name,prefix,seed,dim,n_clusters ,alpha,embedding_size,ari,nmi,sum
DEC,low_data,8,2,10,0.1,2,0.4149119705607658,0.631456745460011,1.0463687160207766
DEC,low_data,8,2,10,0.2,2,0.5065962911252868,0.6643821845242165,1.1709784756495032
DEC,low_data,8,2,10,0.3,2,0.5001667522566339,0.6593642731075212,1.159531025364155
DEC,low_data,8,2,10,0.4,2,0.5129586843708932,0.6718260005928492,1.1847846849637425
DEC,low_data,8,2,10,0.5,2,0.48992399697604894,0.6486662521794773,1.1385902491555262
DEC,low_data,8,2,10,0.6,2,0.23215364521705442,0.41256071896646623,0.6447143641835207
DEC,low_data,8,2,10,0.7,2,0.3737295066479039,0.5297693664547595,0.9034988731026634
DEC,low_data,8,2,10,0.8,2,0.4669705678389705,0.5764873995546759,1.0434579673936464
DEC,low_data,8,2,10,0.9,2,0.36869725995180797,0.5250523575203573,0.8937496174721653
DEC,low_data,8,2,10,1,2,0.3993124570883818,0.501638113217689,0.9009505703060708
DEC,low_data,8,5,10,0.1,2,0.5393479489213197,0.7127642075036049,1.2521121564249245
DEC,low_data,8,5,10,0.1,5,0.6694661742866417,0.8021632461570368,1.4716294204436786
DEC,low_data,8,5,10,0.2,2,0.6342013309531213,0.7620886439274268,1.3962899748805482
DEC,low_data,8,5,10,0.2,5,0.5621744047386434,0.7482761640057499,1.3104505687443933
DEC,low_data,8,5,10,0.3,2,0.5462193768264434,0.7166622314413515,1.262881608267795
DEC,low_data,8,5,10,0.3,5,0.6341642503397221,0.758598363739169,1.3927626140788911
DEC,low_data,8,5,10,0.4,2,0.6353199382117725,0.7510203546517474,1.3863402928635198
DEC,low_data,8,5,10,0.4,5,0.6398296813405047,0.7634031635348908,1.4032328448753955
DEC,low_data,8,5,10,0.5,2,0.6344327184517571,0.7505134466847908,1.3849461651365478
DEC,low_data,8,5,10,0.5,5,0.6466363485576148,0.7716908951199809,1.4183272436775956
DEC,low_data,8,5,10,0.6,2,0.6361622066237823,0.7523775802808196,1.388539786904602
DEC,low_data,8,5,10,0.6,5,0.6649568446076023,0.7852522005339347,1.450209045141537
DEC,low_data,8,5,10,0.7,2,0.6427820838071455,0.7613673628134419,1.4041494466205875
DEC,low_data,8,5,10,0.7,5,0.5491469210566422,0.7329774943825781,1.2821244154392204
DEC,low_data,8,5,10,0.8,2,0.6422169398729449,0.7586385102172336,1.4008554500901784
DEC,low_data,8,5,10,0.8,5,0.5054105128176107,0.6984327954472581,1.2038433082648687
DEC,low_data,8,5,10,0.9,2,0.5766894687334535,0.7490155572998113,1.3257050260332648
DEC,low_data,8,5,10,0.9,5,0.4857691312553527,0.6918956921949735,1.1776648234503262
DEC,low_data,8,5,10,1,2,0.6675105560640545,0.7742814008215964,1.441791956885651
DEC,low_data,8,5,10,1,5,0.4945524109684239,0.6945787519578449,1.1891311629262689
