name,prefix,seed,dim,n_clusters,reconstruction_loss_weight,embedding_size,ari,nmi,sum
DipEncoder,low_data,8,2,10,,2,0.7259311091621523,0.7496677955169041,1.4755989046790563
DipEncoder,low_data,8,2,10,10,2,0.7430141457792653,0.7598715727791271,1.5028857185583924
DipEncoder,low_data,8,2,10,100,2,0.753175167655329,0.7621046771269927,1.5152798447823217
DipEncoder,low_data,8,2,10,1000,2,0.7216590488750957,0.7288771432090809,1.4505361920841766
DipEncoder,low_data,8,5,10,,2,0.5409142484016691,0.7028405168083202,1.2437547652099892
DipEncoder,low_data,8,5,10,,5,0.5166706379765628,0.7237058609233692,1.240376498899932
DipEncoder,low_data,8,5,10,10,2,0.33708437075650066,0.5633598064492459,0.9004441772057465
DipEncoder,low_data,8,5,10,10,5,0.574455362603069,0.7217506785672656,1.2962060411703344
DipEncoder,low_data,8,5,10,100,2,0.2721418926558127,0.5143158079197891,0.7864577005756018
DipEncoder,low_data,8,5,10,100,5,0.6033766911725681,0.7510820623299501,1.3544587535025183
DipEncoder,low_data,8,5,10,1000,2,0.23204541456579847,0.5005069691324282,0.7325523836982266
DipEncoder,low_data,8,5,10,1000,5,0.6399543112162234,0.7539366239464805,1.393890935162704
DipEncoder,low_data,8,10,10,,2,0.4538095854026423,0.7197630173036559,1.1735726027062983
DipEncoder,low_data,8,10,10,,5,0.6006914573386408,0.7319224031504871,1.3326138604891278
DipEncoder,low_data,8,10,10,,10,0.8752918779765333,0.9078887382785616,1.783180616255095
DipEncoder,low_data,8,10,10,10,2,0.41092480959762495,0.6272569850266765,1.0381817946243015
DipEncoder,low_data,8,10,10,10,5,0.7595970724762663,0.8258675001836304,1.5854645726598968
DipEncoder,low_data,8,10,10,10,10,0.8568032548219054,0.8831729906332471,1.7399762454551526
DipEncoder,low_data,8,10,10,100,2,0.43859165675949535,0.688845337169319,1.1274369939288142
DipEncoder,low_data,8,10,10,100,5,0.7064765727086039,0.8180438177287117,1.5245203904373157
DipEncoder,low_data,8,10,10,100,10,0.8297163704344943,0.8549098144850096,1.6846261849195039
DipEncoder,low_data,8,10,10,1000,2,0.31701618360977396,0.5612938364458185,0.8783100200555924
DipEncoder,low_data,8,10,10,1000,5,0.7454898344095096,0.8282409462870466,1.5737307806965561
DipEncoder,low_data,8,10,10,1000,10,0.7445640090873742,0.827075741512043,1.571639750599417
DipEncoder,low_data,8,50,10,,2,0.7697167814172124,0.86192323075882,1.6316400121760326
DipEncoder,low_data,8,50,10,,5,0.4613653790823159,0.6877772736577463,1.1491426527400623
DipEncoder,low_data,8,50,10,,10,0.4780193727716222,0.6848836395145521,1.1629030122861743
DipEncoder,low_data,8,50,10,10,2,0.7688422220676792,0.8597863568885625,1.6286285789562416
DipEncoder,low_data,8,50,10,10,5,0.4822370606152253,0.6937136130357935,1.1759506736510188
DipEncoder,low_data,8,50,10,10,10,0.4780375965516934,0.6856831569314169,1.1637207534831102
DipEncoder,low_data,8,50,10,100,2,0.7703055681632165,0.8580787229862543,1.6283842911494708
DipEncoder,low_data,8,50,10,100,5,0.48239424318512414,0.6934241287850731,1.1758183719701973
DipEncoder,low_data,8,50,10,100,10,0.45878448588242665,0.6814709077006302,1.1402553935830568
DipEncoder,low_data,8,50,10,1000,2,0.7583843525443164,0.8490525713101537,1.6074369238544701
DipEncoder,low_data,8,50,10,1000,5,0.48338993228357807,0.6956141423555965,1.1790040746391746
DipEncoder,low_data,8,50,10,1000,10,0.45857973142065633,0.6816378071385478,1.1402175385592042
DipEncoder,low_data,8,100,10,,2,0.7378549647822906,0.8703425639544496,1.6081975287367403
DipEncoder,low_data,8,100,10,,5,0.44991515503819296,0.709265355265755,1.1591805103039479
DipEncoder,low_data,8,100,10,,10,0.3322737124808289,0.6096333043183898,0.9419070167992187
DipEncoder,low_data,8,100,10,10,2,0.7223533871452407,0.8673861738470141,1.5897395609922547
DipEncoder,low_data,8,100,10,10,5,0.4506214823143962,0.7103053239902883,1.1609268063046845
DipEncoder,low_data,8,100,10,10,10,0.3318190587298261,0.6077858351669649,0.939604893896791
DipEncoder,low_data,8,100,10,100,2,0.724439727511843,0.8612371670836617,1.5856768945955046
DipEncoder,low_data,8,100,10,100,5,0.35935526796761413,0.6768408817572298,1.036196149724844
DipEncoder,low_data,8,100,10,100,10,0.3320035657365456,0.6041885347823481,0.9361921005188938
DipEncoder,low_data,8,100,10,1000,2,0.7213580800184907,0.853749106858498,1.5751071868769886
DipEncoder,low_data,8,100,10,1000,5,0.45154951223671824,0.7095663119918889,1.1611158242286073
DipEncoder,low_data,8,100,10,1000,10,0.33134237132896405,0.6048239980718809,0.936166369400845
