name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,low_data,9,2,0.001,2,10,0.01,0.7622705170696876,0.7738027985701728,1.5360733156398605
DipMeans,low_data,9,2,0.001,2,12,0.01,0.8294508809160532,0.8139587336331157,1.643409614549169
DipMeans,low_data,9,2,0.001,2,15,0.01,0.7996655639830824,0.8174869063418789,1.6171524703249613
DipMeans,low_data,9,2,0.001,2,20,0.01,0.7068847475176595,0.7977580333065706,1.5046427808242302
DipMeans,low_data,9,2,0.001,2,25,0.01,0.5475566531637905,0.7629402539135081,1.3104969070772987
DipMeans,low_data,9,2,0.001,2,30,0.01,0.5475566531637905,0.7629402539135081,1.3104969070772987
DipMeans,low_data,9,2,0.001,5,10,0.01,0.7995892264308434,0.8022471160519885,1.601836342482832
DipMeans,low_data,9,2,0.001,5,12,0.01,0.845648920178488,0.8375535905710589,1.683202510749547
DipMeans,low_data,9,2,0.001,5,15,0.01,0.8632993952582823,0.8466006697626886,1.7099000650209708
DipMeans,low_data,9,2,0.001,5,20,0.01,0.6851318909402448,0.7863047571485757,1.4714366480888206
DipMeans,low_data,9,2,0.001,5,25,0.01,0.5543488746558362,0.7634962121638323,1.3178450868196685
DipMeans,low_data,9,2,0.001,5,30,0.01,0.5543488746558362,0.7634962121638323,1.3178450868196685
DipMeans,low_data,9,2,0.001,7,10,0.01,0.8120860316610576,0.8055570735765457,1.6176431052376032
DipMeans,low_data,9,2,0.001,7,12,0.01,0.8494769388084107,0.8403557428989248,1.6898326817073355
DipMeans,low_data,9,2,0.001,7,15,0.01,0.788053955480301,0.8137023758702226,1.6017563313505236
DipMeans,low_data,9,2,0.001,7,20,0.01,0.7095561432251665,0.8013830698562858,1.5109392130814523
DipMeans,low_data,9,2,0.001,7,25,0.01,0.5579885044141458,0.7687035763311334,1.3266920807452793
DipMeans,low_data,9,2,0.001,7,30,0.01,0.5579885044141458,0.7687035763311334,1.3266920807452793
DipMeans,low_data,9,2,0.001,10,12,0.01,0.8210130158839736,0.819922205283774,1.6409352211677475
DipMeans,low_data,9,2,0.001,10,15,0.01,0.788053955480301,0.8137023758702228,1.6017563313505239
DipMeans,low_data,9,2,0.001,10,20,0.01,0.7223503801329244,0.8071646510979726,1.529515031230897
DipMeans,low_data,9,2,0.001,10,25,0.01,0.5576858563725178,0.7685987727124663,1.3262846290849841
DipMeans,low_data,9,2,0.001,10,30,0.01,0.5576858563725178,0.7685987727124663,1.3262846290849841
DipMeans,low_data,9,2,0.001,12,15,0.01,0.8522050692515565,0.8406700551110103,1.6928751243625668
DipMeans,low_data,9,2,0.001,12,20,0.01,0.7154826300943299,0.7989904017207725,1.5144730318151023
DipMeans,low_data,9,2,0.001,12,25,0.01,0.550763459664157,0.7677283823466203,1.3184918420107774
DipMeans,low_data,9,2,0.001,12,30,0.01,0.550763459664157,0.7677283823466204,1.3184918420107774
DipMeans,low_data,9,2,0.001,15,20,0.01,0.7858104672386482,0.8253050834979436,1.6111155507365917
DipMeans,low_data,9,2,0.001,15,25,0.01,0.5506866883986652,0.7683535275945327,1.3190402159931978
