name,prefix,seed,dim,significance,n_clusters_init,max_n_clusters,split_viewers_threshold,ari,nmi,sum
DipMeans,low_data,2,2,0.001,2,10,0.01,0.7615659186728979,0.7723575569452095,1.5339234756181073
DipMeans,low_data,2,2,0.001,2,12,0.01,0.8279584586317312,0.8115684093702302,1.6395268680019615
DipMeans,low_data,2,2,0.001,2,15,0.01,0.7994216939775253,0.8171835698563376,1.6166052638338628
DipMeans,low_data,2,2,0.001,2,20,0.01,0.6854124738390506,0.7868518625636038,1.4722643364026544
DipMeans,low_data,2,2,0.001,2,25,0.01,0.5551206878569872,0.7640766859213295,1.3191973737783167
DipMeans,low_data,2,2,0.001,2,30,0.01,0.5551206878569872,0.7640766859213295,1.3191973737783167
DipMeans,low_data,2,2,0.001,5,10,0.01,0.7850248993644987,0.7803597493386757,1.5653846487031744
DipMeans,low_data,2,2,0.001,5,12,0.01,0.8271647116854955,0.8104573330579102,1.6376220447434058
DipMeans,low_data,2,2,0.001,5,15,0.01,0.7982202548688765,0.8158859049166616,1.6141061597855382
DipMeans,low_data,2,2,0.001,5,20,0.01,0.7068847475176595,0.7977580333065706,1.5046427808242302
DipMeans,low_data,2,2,0.001,5,25,0.01,0.5472113415380623,0.7624116874483652,1.3096230289864275
DipMeans,low_data,2,2,0.001,5,30,0.01,0.5472113415380623,0.7624116874483652,1.3096230289864275
DipMeans,low_data,2,2,0.001,7,10,0.01,0.8126289049470093,0.8061767357253677,1.618805640672377
DipMeans,low_data,2,2,0.001,7,12,0.01,0.8472119089633736,0.8381966172919325,1.6854085262553062
DipMeans,low_data,2,2,0.001,7,15,0.01,0.7797543009837267,0.8041327190369775,1.583887020020704
DipMeans,low_data,2,2,0.001,7,20,0.01,0.7068847475176595,0.7977580333065706,1.5046427808242302
DipMeans,low_data,2,2,0.001,7,25,0.01,0.5468458139350414,0.7625143147633204,1.3093601286983618
DipMeans,low_data,2,2,0.001,7,30,0.01,0.5468458139350414,0.7625143147633204,1.3093601286983618
DipMeans,low_data,2,2,0.001,10,12,0.01,0.819339910760824,0.8187172484857652,1.6380571592465891
DipMeans,low_data,2,2,0.001,10,15,0.01,0.8533153978529856,0.8416015460150339,1.6949169438680194
DipMeans,low_data,2,2,0.001,10,20,0.01,0.7854239917612008,0.8244155610776279,1.6098395528388287
DipMeans,low_data,2,2,0.001,10,25,0.01,0.5504691347266106,0.7672010330779949,1.3176701678046054
DipMeans,low_data,2,2,0.001,10,30,0.01,0.5504691347266106,0.7672010330779949,1.3176701678046054
DipMeans,low_data,2,2,0.001,12,15,0.01,0.8527424707866061,0.8413813864387193,1.6941238572253254
DipMeans,low_data,2,2,0.001,12,20,0.01,0.7170377499589657,0.8014281158276386,1.5184658657866044
DipMeans,low_data,2,2,0.001,12,25,0.01,0.5509599034827892,0.7680713353046551,1.3190312387874443
DipMeans,low_data,2,2,0.001,12,30,0.01,0.5509599034827892,0.768071335304655,1.3190312387874443
DipMeans,low_data,2,2,0.001,15,20,0.01,0.7072340335788484,0.7980367010786552,1.5052707346575036
DipMeans,low_data,2,2,0.001,15,25,0.01,0.5478953924915425,0.7631878849114511,1.3110832774029935
DipMeans,low_data,2,2,0.001,15,30,0.01,0.5478953924915425,0.7631878849114511,1.3110832774029935
DipMeans,low_data,2,2,0.001,2,10,0.02,0.7615659186728979,0.7723575569452095,1.5339234756181073
DipMeans,low_data,2,2,0.001,2,12,0.02,0.8279584586317312,0.8115684093702302,1.6395268680019615
