name,prefix,seed,dim,n_clusters,linkage,ari,nmi,sum
AgglomerativeClustering,low_data,0,2,10,ward,0.8112356317281434,0.8310458455813368,1.64228147730948
AgglomerativeClustering,low_data,0,2,10,complete,0.6073803010241692,0.6868239428714612,1.2942042438956305
AgglomerativeClustering,low_data,0,2,10,average,0.47675175301910966,0.666532393224138,1.1432841462432477
AgglomerativeClustering,low_data,0,2,10,single,0.001116052753945821,0.015054765413178742,0.016170818167124564
AgglomerativeClustering,low_data,0,5,10,ward,0.7276376962063418,0.820895606089421,1.5485333022957628
AgglomerativeClustering,low_data,0,5,10,complete,0.305309952261432,0.5734322794374024,0.8787422316988344
AgglomerativeClustering,low_data,0,5,10,average,0.01464005598770998,0.10968891951224097,0.12432897549995095
AgglomerativeClustering,low_data,0,5,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,low_data,0,10,10,ward,0.7350945924849838,0.8296572454136409,1.5647518378986247
AgglomerativeClustering,low_data,0,10,10,complete,0.3710681855935726,0.6027272588728313,0.9737954444664039
AgglomerativeClustering,low_data,0,10,10,average,0.00274923822470843,0.032036040354152674,0.0347852785788611
AgglomerativeClustering,low_data,0,10,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,low_data,0,50,10,ward,0.7437067369522594,0.849854278667783,1.5935610156200424
AgglomerativeClustering,low_data,0,50,10,complete,0.03337117516540655,0.1921342027340696,0.22550537789947614
AgglomerativeClustering,low_data,0,50,10,average,0.00042907405028627194,0.006300595077341897,0.006729669127628169
AgglomerativeClustering,low_data,0,50,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,low_data,0,100,10,ward,0.6271411478336377,0.8109807718633195,1.4381219196969572
AgglomerativeClustering,low_data,0,100,10,complete,0.13479208824815497,0.40094910527644667,0.5357411935246017
AgglomerativeClustering,low_data,0,100,10,average,0.00025181355102388617,0.003787776499355374,0.00403959005037926
AgglomerativeClustering,low_data,0,100,10,single,0.00025181355102388617,0.003787776499355374,0.00403959005037926
