name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
ldakmeans,low_data,0,2,10,1,0.7846556379969097,0.7909191858815686,1.5755748238784784
ldakmeans,low_data,0,2,10,2,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,3,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,4,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,5,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,6,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,7,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,8,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,9,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,2,10,10,0.784369708597339,0.7908462850402002,1.5752159936375392
ldakmeans,low_data,0,5,10,1,0.7200914263046213,0.8110412419173977,1.531132668222019
ldakmeans,low_data,0,5,10,2,0.7214619986315348,0.812551908747941,1.5340139073794758
ldakmeans,low_data,0,5,10,3,0.7218880075130618,0.8131806572491305,1.5350686647621923
ldakmeans,low_data,0,5,10,4,0.7218880075130618,0.8131806572491305,1.5350686647621923
ldakmeans,low_data,0,5,10,5,0.7218880075130618,0.8131806572491305,1.5350686647621923
ldakmeans,low_data,0,5,10,6,0.7218880075130618,0.8131806572491305,1.5350686647621923
ldakmeans,low_data,0,5,10,7,0.7220636759746842,0.8132123752906008,1.535276051265285
ldakmeans,low_data,0,5,10,8,0.7220636759746842,0.8132123752906008,1.535276051265285
ldakmeans,low_data,0,5,10,9,0.7220636759746842,0.8132123752906008,1.535276051265285
ldakmeans,low_data,0,5,10,10,0.7220636759746842,0.8132123752906008,1.535276051265285
ldakmeans,low_data,0,10,10,1,0.7060652639450615,0.8006531781399545,1.506718442085016
ldakmeans,low_data,0,10,10,2,0.7060652639450615,0.8006531781399545,1.506718442085016
ldakmeans,low_data,0,10,10,3,0.7060652639450615,0.8006531781399545,1.506718442085016
ldakmeans,low_data,0,10,10,4,0.7012179249500566,0.7973927358461784,1.498610660796235
ldakmeans,low_data,0,10,10,5,0.7012179249500566,0.7973927358461784,1.498610660796235
ldakmeans,low_data,0,10,10,6,0.7012179249500566,0.7973927358461784,1.498610660796235
ldakmeans,low_data,0,10,10,7,0.7012179249500566,0.7973927358461784,1.498610660796235
ldakmeans,low_data,0,10,10,8,0.7052090217879904,0.800049012091654,1.5052580338796444
ldakmeans,low_data,0,10,10,9,0.7052090217879904,0.800049012091654,1.5052580338796444
ldakmeans,low_data,0,10,10,10,0.7012179249500566,0.7973927358461784,1.498610660796235
ldakmeans,low_data,0,50,10,1,0.7389397189846961,0.8407357678952893,1.5796754868799854
ldakmeans,low_data,0,50,10,2,0.7396828394146242,0.8417590806452583,1.5814419200598824
ldakmeans,low_data,0,50,10,3,0.7390605430350189,0.8411081740806329,1.5801687171156518
ldakmeans,low_data,0,50,10,4,0.7382396980914336,0.8397961820554917,1.5780358801469254
ldakmeans,low_data,0,50,10,5,0.7402036645352528,0.842946476129942,1.5831501406651949
ldakmeans,low_data,0,50,10,6,0.7387266032247547,0.8403689702253285,1.5790955734500831
ldakmeans,low_data,0,50,10,7,0.7395818416514126,0.8413536343879539,1.5809354760393663
ldakmeans,low_data,0,50,10,8,0.7396337504192892,0.842016790813465,1.5816505412327544
ldakmeans,low_data,0,50,10,9,0.7401740663357355,0.842910971686631,1.5830850380223664
ldakmeans,low_data,0,50,10,10,0.7382463929590861,0.8401493878912144,1.5783957808503004
ldakmeans,low_data,0,100,10,1,0.62556204375518,0.8075899649852957,1.4331520087404757
ldakmeans,low_data,0,100,10,2,0.6255381796245683,0.8075645983573599,1.433102777981928
ldakmeans,low_data,0,100,10,3,0.6253011045176474,0.8068144752196634,1.4321155797373109
ldakmeans,low_data,0,100,10,4,0.6254643392301817,0.8070131773878554,1.4324775166180372
ldakmeans,low_data,0,100,10,5,0.6255357585888959,0.8075633547077384,1.4330991132966342
ldakmeans,low_data,0,100,10,6,0.6255686149215072,0.807601127712955,1.4331697426344623
ldakmeans,low_data,0,100,10,7,0.6253391492682333,0.8068599103520703,1.4321990596203036
ldakmeans,low_data,0,100,10,8,0.6254148879093858,0.8069530643482641,1.4323679522576498
ldakmeans,low_data,0,100,10,9,0.6256789402601802,0.8076291672744371,1.4333081075346175
ldakmeans,low_data,0,100,10,10,0.6255613520505472,0.8075916629588324,1.4331530150093796
