name,prefix,seed,dim,n_clusters,n_init,ari,nmi,sum
ldakmeans,low_data,1,2,10,1,0.7846556379969097,0.7909191858815686,1.5755748238784784
ldakmeans,low_data,1,2,10,2,0.7846556379969097,0.7909191858815686,1.5755748238784784
ldakmeans,low_data,1,2,10,3,0.7846556379969097,0.7909191858815686,1.5755748238784784
ldakmeans,low_data,1,2,10,4,0.7846556379969097,0.7909191858815686,1.5755748238784784
ldakmeans,low_data,1,2,10,5,0.7846761348461738,0.7909331278862908,1.5756092627324647
ldakmeans,low_data,1,2,10,6,0.7846761348461738,0.7909331278862908,1.5756092627324647
ldakmeans,low_data,1,2,10,7,0.7844381410507767,0.7908773571258473,1.575315498176624
ldakmeans,low_data,1,2,10,8,0.7844381410507767,0.7908773571258473,1.575315498176624
ldakmeans,low_data,1,2,10,9,0.7844381410507767,0.7908773571258473,1.575315498176624
ldakmeans,low_data,1,2,10,10,0.7844381410507767,0.7908773571258473,1.575315498176624
ldakmeans,low_data,1,5,10,1,0.7197536326520487,0.810304512840628,1.5300581454926767
ldakmeans,low_data,1,5,10,2,0.7214012035364687,0.8123018872599046,1.5337030907963733
ldakmeans,low_data,1,5,10,3,0.7214163370634679,0.8127606559668316,1.5341769930302993
ldakmeans,low_data,1,5,10,4,0.7214163370634679,0.8127606559668316,1.5341769930302993
ldakmeans,low_data,1,5,10,5,0.7215579270913695,0.8126692833829159,1.5342272104742853
ldakmeans,low_data,1,5,10,6,0.7225717797147423,0.8136893053991839,1.5362610851139262
ldakmeans,low_data,1,5,10,7,0.7225717797147423,0.8136893053991839,1.5362610851139262
ldakmeans,low_data,1,5,10,8,0.7225717797147423,0.8136893053991839,1.5362610851139262
ldakmeans,low_data,1,5,10,9,0.7225717797147423,0.8136893053991839,1.5362610851139262
ldakmeans,low_data,1,5,10,10,0.7225717797147423,0.8136893053991839,1.5362610851139262
ldakmeans,low_data,1,10,10,1,0.7021138768449013,0.7975915276451631,1.4997054044900644
ldakmeans,low_data,1,10,10,2,0.7021138768449013,0.7975915276451631,1.4997054044900644
ldakmeans,low_data,1,10,10,3,0.7042826359145299,0.7980461740121189,1.5023288099266487
ldakmeans,low_data,1,10,10,4,0.7042826359145299,0.7980461740121189,1.5023288099266487
ldakmeans,low_data,1,10,10,5,0.703095635575632,0.7976504381380708,1.5007460737137028
ldakmeans,low_data,1,10,10,6,0.703095635575632,0.7976504381380708,1.5007460737137028
ldakmeans,low_data,1,10,10,7,0.7020686580226007,0.7959320107458988,1.4980006687684995
ldakmeans,low_data,1,10,10,8,0.703095635575632,0.7976504381380708,1.5007460737137028
ldakmeans,low_data,1,10,10,9,0.7042989512821288,0.7983178229286098,1.5026167742107386
ldakmeans,low_data,1,10,10,10,0.7042989512821288,0.7983178229286098,1.5026167742107386
ldakmeans,low_data,1,50,10,1,0.739425313464269,0.8413860690310268,1.5808113824952956
ldakmeans,low_data,1,50,10,2,0.7400719865274124,0.8429425438508324,1.5830145303782448
ldakmeans,low_data,1,50,10,3,0.7394269491394053,0.8410618542002546,1.58048880333966
ldakmeans,low_data,1,50,10,4,0.6488346544517827,0.7870461974331261,1.4358808518849089
ldakmeans,low_data,1,50,10,5,0.7397577797245621,0.8421696770247991,1.5819274567493613
ldakmeans,low_data,1,50,10,6,0.7399711063923528,0.8423514783439023,1.582322584736255
ldakmeans,low_data,1,50,10,7,0.738631614790628,0.8401308559384764,1.5787624707291044
ldakmeans,low_data,1,50,10,8,0.7407199020394041,0.8434178529156904,1.5841377549550946
ldakmeans,low_data,1,50,10,9,0.7393493298343753,0.8416118506860817,1.580961180520457
ldakmeans,low_data,1,50,10,10,0.7397900480504778,0.8423340056224735,1.5821240536729513
ldakmeans,low_data,1,100,10,1,0.6256822761809038,0.8081096444438097,1.4337919206247136
ldakmeans,low_data,1,100,10,2,0.6253204729641155,0.806837562073325,1.4321580350374405
ldakmeans,low_data,1,100,10,3,0.6255599686396162,0.8075941342864362,1.4331541029260524
ldakmeans,low_data,1,100,10,4,0.6253190895180848,0.8068360631649486,1.4321551526830334
ldakmeans,low_data,1,100,10,5,0.6252948788531514,0.8068070160689197,1.432101894922071
ldakmeans,low_data,1,100,10,6,0.6253336155906771,0.8068538569123394,1.4321874725030166
ldakmeans,low_data,1,100,10,7,0.6255151708477655,0.8070759950152557,1.4325911658630213
ldakmeans,low_data,1,100,10,8,0.6254093547180015,0.8069501689962153,1.4323595237142168
ldakmeans,low_data,1,100,10,9,0.6253775381782749,0.80690789681691,1.432285434995185
ldakmeans,low_data,1,100,10,10,0.6256018158379966,0.8076396465853175,1.433241462423314
