name,prefix,seed,dim,n_clusters,nearest_neighbors,ari,nmi,sum
SpectralClustering,low_data,5,2,10,3,0.020425228386486995,0.10200501303524843,0.12243024142173543
SpectralClustering,low_data,5,2,10,4,0.5460013150185764,0.7022330280159483,1.2482343430345249
SpectralClustering,low_data,5,2,10,5,0.6884773538230028,0.7912274747540139,1.4797048285770167
SpectralClustering,low_data,5,2,10,6,0.7644512981288745,0.8278450495672811,1.5922963476961556
SpectralClustering,low_data,5,2,10,7,0.6655183931109226,0.7861991950113322,1.4517175881222548
SpectralClustering,low_data,5,2,10,8,0.6615201804911848,0.7872293813679461,1.4487495618591308
SpectralClustering,low_data,5,2,10,9,0.666245716349141,0.7831155271249073,1.4493612434740482
SpectralClustering,low_data,5,2,10,10,0.6670377871802423,0.7878442277249619,1.4548820149052042
SpectralClustering,low_data,5,2,10,11,0.6701952845465966,0.7875364861485834,1.45773177069518
SpectralClustering,low_data,5,2,10,12,0.6795046816319746,0.7938738087629975,1.473378490394972
SpectralClustering,low_data,5,2,10,13,0.675845702578297,0.7838561569099249,1.4597018594882218
SpectralClustering,low_data,5,2,10,14,0.68344424532172,0.7958725744205782,1.4793168197422983
SpectralClustering,low_data,5,2,10,15,0.6832445553982962,0.7988675693925107,1.482112124790807
SpectralClustering,low_data,5,2,10,16,0.6830288915297543,0.7975256894790694,1.4805545810088239
SpectralClustering,low_data,5,2,10,17,0.6854371274389466,0.7933196144898942,1.4787567419288408
SpectralClustering,low_data,5,2,10,18,0.6997960989603482,0.8154105969680635,1.5152066959284118
SpectralClustering,low_data,5,2,10,19,0.7829765550112285,0.8446623241587271,1.6276388791699556
SpectralClustering,low_data,5,2,10,20,0.782867441232609,0.836240114224802,1.619107555457411
SpectralClustering,low_data,5,2,10,25,0.6796621941519765,0.7962198665726552,1.4758820607246317
SpectralClustering,low_data,5,2,10,30,0.5951170978510477,0.7568663915968905,1.3519834894479383
SpectralClustering,low_data,5,2,10,35,0.6686235525217585,0.7906549872198343,1.4592785397415928
SpectralClustering,low_data,5,2,10,40,0.6637369797513059,0.7976422347990056,1.4613792145503115
SpectralClustering,low_data,5,2,10,45,0.658388836831162,0.7824606347717065,1.4408494716028684
SpectralClustering,low_data,5,2,10,50,0.5739507740067278,0.7422362707511131,1.3161870447578408
SpectralClustering,low_data,5,2,10,55,0.5690603815978508,0.7402491969365738,1.3093095785344246
SpectralClustering,low_data,5,2,10,60,0.5513687064796136,0.7273321610610654,1.278700867540679
SpectralClustering,low_data,5,2,10,65,0.5506758112019182,0.7307305351353791,1.2814063463372973
SpectralClustering,low_data,5,2,10,70,0.5296924816071091,0.716228494565812,1.245920976172921
SpectralClustering,low_data,5,2,10,75,0.5237812345485688,0.7098051542329358,1.2335863887815046
SpectralClustering,low_data,5,2,10,80,0.523460145520087,0.7161253504684387,1.2395854959885257
SpectralClustering,low_data,5,2,10,85,0.5193251129949514,0.7154330331211511,1.2347581461161026
SpectralClustering,low_data,5,2,10,90,0.5248260848850791,0.7247389576421384,1.2495650425272173
SpectralClustering,low_data,5,2,10,95,0.5207986868558275,0.72283559559161,1.2436342824474376
SpectralClustering,low_data,5,2,10,100,0.5194966575135455,0.7220058491787097,1.2415025066922551
SpectralClustering,low_data,5,2,10,110,0.5154181030428341,0.7201786257183629,1.2355967287611969
SpectralClustering,low_data,5,2,10,120,0.5124465471520575,0.718168665969386,1.2306152131214434
SpectralClustering,low_data,5,2,10,130,0.5107315659964595,0.717538502465625,1.2282700684620846
SpectralClustering,low_data,5,2,10,140,0.509193624756009,0.715762328313541,1.22495595306955
SpectralClustering,low_data,5,2,10,150,0.5076558590446105,0.7138599029653786,1.221515762009989
SpectralClustering,low_data,5,2,10,160,0.5069327685558411,0.7123140969262537,1.219246865482095
SpectralClustering,low_data,5,2,10,170,0.5066060622549399,0.711147747032643,1.2177538092875828
SpectralClustering,low_data,5,2,10,180,0.5056313573303511,0.7093692676035421,1.2150006249338934
SpectralClustering,low_data,5,2,10,190,0.5056031043804038,0.7083226710954661,1.2139257754758699
SpectralClustering,low_data,5,2,10,200,0.5093694297700154,0.7101081233456368,1.2194775531156523
SpectralClustering,low_data,5,2,10,220,0.5108199723649066,0.7088874730974264,1.219707445462333
SpectralClustering,low_data,5,2,10,240,0.5156168750429563,0.7106229561836191,1.2262398312265754
SpectralClustering,low_data,5,2,10,260,0.5164961561639271,0.7072290623123145,1.2237252184762415
SpectralClustering,low_data,5,2,10,280,0.5142097866810866,0.7030573480356825,1.2172671347167692
SpectralClustering,low_data,5,2,10,300,0.5083915259733889,0.7000950515472194,1.2084865775206084
SpectralClustering,low_data,5,2,10,350,0.5096697992778632,0.6997646699281536,1.2094344692060166
SpectralClustering,low_data,5,2,10,400,0.5148657797841902,0.7026200894564718,1.217485869240662
SpectralClustering,low_data,5,2,10,450,0.5224959863301608,0.7057345868508169,1.2282305731809777
SpectralClustering,low_data,5,2,10,500,0.5278940897001762,0.7082275798655935,1.2361216695657697
SpectralClustering,low_data,5,5,10,3,0.2875878786157515,0.6530474302884736,0.9406353089042251
SpectralClustering,low_data,5,5,10,4,0.509340602729172,0.8020114362184831,1.3113520389476552
SpectralClustering,low_data,5,5,10,5,0.5161715975673897,0.8060333617280638,1.3222049592954535
SpectralClustering,low_data,5,5,10,6,0.514958931319569,0.8044092141825631,1.319368145502132
SpectralClustering,low_data,5,5,10,7,0.5456551311451446,0.8186497121587951,1.3643048433039398
SpectralClustering,low_data,5,5,10,8,0.5460583630841636,0.8189863425373436,1.3650447056215071
